"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.437424975,       1.114803229,     0.07178852595,       4.075857377
          0,           0,           1,      -2.192586119,       0.335881202,      0.2828704954,       3.316943211
          0,           0,           2,      -2.432005447,    0.009825988533,     0.05648918152,       3.070202492
          0,           0,           3,      -2.575310152,     -0.1535334279,     -0.1275505204,       2.916464144
          0,           0,           4,      -2.750447999,     -0.3123973806,     -0.3194475759,       2.754834258
          0,           0,           5,      -2.884937529,     -0.4722631584,     -0.4738939974,       2.611792203
          0,           0,           6,      -2.985327504,     -0.5763587322,     -0.5913621041,       2.502396342
          0,           0,           7,      -3.145299394,     -0.7190810307,     -0.7318839895,       2.351015077
          0,           0,           8,      -3.255068137,      -0.806981634,       -0.84512985,       2.232439255
          0,           0,           9,      -3.368500201,     -0.9032813375,     -0.9456487193,       2.114110301
          0,           0,          10,      -3.485136697,     -0.9806187177,      -1.034811755,       1.990958767
          0,           0,          11,      -3.590533895,      -1.039954254,      -1.121264013,        1.87960309
          0,           0,          12,      -3.677843918,      -1.104785556,      -1.212868529,       1.782777652
          0,           0,          13,      -3.752664556,      -1.150777681,       -1.29866754,       1.698632612
          0,           0,          14,      -3.821091581,      -1.197717924,      -1.374753608,        1.61994751
          0,           0,          15,      -3.895664591,      -1.239817324,       -1.43547629,       1.534069599
          0,           0,          16,      -3.955576708,      -1.276297388,      -1.493611253,       1.466092707
          0,           0,          17,      -4.020962599,      -1.312365551,      -1.543860013,       1.389252195
          0,           0,          18,      -4.068415391,      -1.345141297,      -1.598177396,        1.33383609
          0,           0,          19,      -4.119971568,       -1.37479941,      -1.645045848,       1.269416039
          0,           0,          20,      -4.155814117,      -1.404115957,      -1.694142816,       1.223960122
          0,           0,          21,      -4.197804246,      -1.430068588,      -1.736369463,       1.167739996
          0,           0,          22,      -4.227209897,      -1.456319678,      -1.780856828,       1.129890074
          0,           0,          23,      -4.265184129,      -1.480501236,      -1.819211651,       1.077250444
          0,           0,          24,      -4.291808918,      -1.505008613,      -1.860559371,       1.044037515
          0,           0,          25,      -4.327021819,      -1.528152722,      -1.896360191,      0.9934424288
          0,           0,          26,      -4.351531012,      -1.551855056,      -1.935636388,      0.9628440506
          0,           0,          27,      -4.383484224,      -1.574236984,       -1.96967238,      0.9144182779
          0,           0,          28,      -4.405818321,      -1.597380725,      -2.007277839,      0.8857265513
          0,           0,          29,      -4.434539635,      -1.619089465,      -2.039849627,      0.8392617463
          0,           0,          30,      -4.454958084,      -1.641592845,       -2.07602901,      0.8120719278
          0,           0,          31,      -4.480809018,      -1.662564919,      -2.107428046,      0.7671600028
          0,           0,          32,      -4.499607709,      -1.684284489,      -2.142525808,      0.7411924579
          0,           0,          33,      -4.522871762,      -1.704397675,      -2.173066362,      0.6976521968
          0,           0,          34,      -4.540223935,       -1.72523069,      -2.207369699,      0.6727189325
          0,           0,          35,      -4.561088003,      -1.744404268,      -2.237261382,      0.6305239451
          0,           0,          36,      -4.577092454,      -1.764316103,       -2.27091901,      0.6064624858
          0,           0,          37,        -4.5957478,      -1.782548443,      -2.300245691,      0.5655465305
          0,           0,          38,      -4.610521825,      -1.801572927,      -2.333286136,      0.5421684431
          0,           0,          39,      -4.627208429,      -1.818927521,       -2.36204963,      0.5024264897
          0,           0,          40,       -4.64089975,      -1.837145131,      -2.394444199,      0.4795907583
          0,           0,          41,      -4.655874103,      -1.853715931,      -2.422620775,       0.440976685
          0,           0,          42,      -4.668626045,      -1.871220374,       -2.45433097,      0.4186336548
          0,           0,          43,        -4.6821229,      -1.887098986,      -2.481902363,      0.3811637609
          0,           0,          44,      -4.694054244,      -1.903969927,      -2.512906983,      0.3593190016
          0,           0,          45,      -4.706278585,      -1.919227643,      -2.539878386,      0.3230297359
          0,           0,          46,      -4.717486755,       -1.93552104,      -2.570178433,      0.3017226985
          0,           0,          47,      -4.728617052,       -1.95020726,      -2.596564156,      0.2666555871
          0,           0,          48,      -4.739183793,      -1.965960423,      -2.626158977,       0.245951928
          0,           0,          49,      -4.749376187,      -1.980111351,      -2.651956126,      0.2121503452
          0,           0,          50,      -4.759374877,      -1.995354082,      -2.680821382,      0.1921195986
          0,           0,          51,      -4.768766125,      -2.009003345,      -2.706000843,      0.1596217294
          0,           0,          52,      -4.778264544,       -2.02376763,      -2.734089266,       0.140332956
          0,           0,          53,       -4.78697526,      -2.036952982,      -2.758602679,       0.109179082
          0,           0,          54,      -4.796036995,      -2.051276106,      -2.785845471,     0.09070087386
          0,           0,          55,      -4.804175867,      -2.064039321,      -2.809627175,      0.0609233243
          0,           0,          56,      -4.812863302,      -2.077961158,      -2.835936395,      0.0433116461
          0,           0,          57,      -4.820527944,      -2.090343641,      -2.858909135,     0.01492352783
          0,           0,          58,      -4.828899651,      -2.103901009,       -2.88419033,   -0.001778063054
          0,           0,          59,      -4.836174585,      -2.115938274,      -2.906282908,      -0.028774479
          0,           0,          60,      -4.844280966,       -2.12916013,      -2.930459447,    -0.04451277409
          0,           0,          61,      -4.851234234,       -2.14087867,      -2.951626367,    -0.07010267612
          0,           0,          62,      -4.859114311,      -2.153784922,      -2.974657385,    -0.08479831863
          0,           0,          63,      -4.865797096,      -2.165202796,      -2.994886169,      -0.108950425
          0,           0,          64,      -4.873478089,      -2.177806143,      -3.016768569,     -0.1225131114
          0,           0,          65,      -4.879927658,      -2.188935769,      -3.036073122,     -0.1452053429
          0,           0,          66,      -4.887428321,      -2.201244987,         -3.056829,     -0.1575725033
          0,           0,          67,      -4.893672509,      -2.212096397,      -3.075234208,     -0.1788240787
          0,           0,          68,      -4.901006642,      -2.224118707,      -3.094890791,     -0.1899853223
          0,           0,          69,      -4.907068251,      -2.234700823,      -3.112413763,     -0.2098642519
          0,           0,          70,      -4.914248428,      -2.246442188,      -3.130983916,     -0.2198580488
          0,           0,          71,      -4.920148672,      -2.256762357,      -3.147620152,     -0.2384635576
          0,           0,          72,      -4.927189078,      -2.268226168,      -3.165094851,     -0.2473603249
          0,           0,          73,      -4.932949774,      -2.278288319,      -3.180819135,     -0.2647999218
          0,           0,          74,      -4.939867555,        -2.2894736,       -3.19717821,     -0.2726901531
          0,           0,          75,      -4.945511295,      -2.299276613,      -3.211960983,     -0.2890680459
          0,           0,          76,      -4.952326293,      -2.310177045,      -3.227197024,     -0.2960623629
          0,           0,          77,      -4.957875701,       -2.31971416,        -3.2410279,     -0.3114804341
          0,           0,          78,      -4.964608905,      -2.330318518,      -3.255170364,     -0.3177138243
          0,           0,          79,      -4.970085038,      -2.339578378,      -3.268076383,     -0.3322784706
          0,           0,          80,      -4.976756612,       -2.34987259,      -3.281202018,     -0.3379113156
          0,           0,          81,      -4.982177263,      -2.358841683,      -3.293250812,     -0.3517382385
