"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,           0,      -5.284698573,      -5.300112177,      -6.421032795,      -6.123929676,      -4.713187049
          0,           0,           1,      -5.166347728,      -4.966221515,      -5.311695467,      -5.097143029,      -4.588917462
          0,           0,           2,      -5.007147965,      -4.836530649,      -5.203573416,      -5.049824164,      -4.432776314
          0,           0,           3,      -4.846667768,      -4.696908814,      -5.120552717,      -4.939340475,      -4.272982874
          0,           0,           4,      -4.794618234,      -4.678465069,      -5.039397172,      -4.866656529,      -4.228210686
          0,           0,           5,      -4.759772082,      -4.697009813,      -4.986333056,      -4.828692439,      -4.184412226
          0,           0,           6,      -4.752910812,      -4.802097007,      -5.009473299,      -4.860838998,      -4.196762044
          0,           0,           7,      -4.726386919,      -4.883592945,      -5.032484327,      -4.906617743,       -4.16976366
          0,           0,           8,      -4.732057018,      -4.812220071,      -5.014372925,      -4.887098245,      -4.147324977
          0,           0,           9,      -4.759963543,      -4.815116491,      -5.013884304,      -4.872139218,      -4.182898338
          0,           0,          10,      -4.795852926,      -4.861094069,      -5.056882876,      -4.897571283,      -4.223430548
          0,           0,          11,        -4.8535701,      -4.952344915,      -5.127678348,      -4.960990024,      -4.276706432
          0,           0,          12,      -4.898704729,      -5.067020018,      -5.187467456,      -5.035015674,      -4.340857374
          0,           0,          13,      -4.939546502,      -5.149215893,      -5.247852337,      -5.111453788,      -4.382348978
          0,           0,          14,      -5.004074784,      -5.171941184,      -5.280317065,      -5.152838628,      -4.424747225
          0,           0,          15,      -5.051686606,      -5.178775625,      -5.315939223,      -5.195424244,      -4.478511586
          0,           0,          16,         -5.091525,      -5.188120903,       -5.37786807,      -5.258727104,       -4.51783725
          0,           0,          17,      -5.159004977,      -5.228977324,      -5.457255599,      -5.323288916,      -4.575724163
          0,           0,          18,      -5.242951781,      -5.309463815,      -5.547195644,      -5.382597164,      -4.655878755
          0,           0,          19,      -5.316615524,      -5.399925928,      -5.617500533,      -5.428685556,       -4.74529073
          0,           0,          20,      -5.388556542,      -5.502799251,      -5.693907014,      -5.493247361,        -4.8222892
          0,           0,          21,      -5.471489361,      -5.600413876,      -5.759224042,      -5.578639699,      -4.896122381
          0,           0,          22,       -5.55504227,      -5.693457373,      -5.816473789,      -5.681212908,      -4.974318008
          0,           0,          23,      -5.637818749,      -5.785522993,      -5.881621064,      -5.792082924,      -5.056370154
          0,           0,          24,      -5.727899964,      -5.877814339,      -5.966133065,      -5.896760302,      -5.144279891
          0,           0,          25,      -5.808815825,       -5.95640072,      -6.045947079,      -5.963924267,      -5.237347377
          0,           0,          26,      -5.894069254,      -6.036154755,      -6.151114915,      -6.027570795,       -5.32693699
          0,           0,          27,      -5.992794093,      -6.111445996,      -6.269306578,      -6.096791451,      -5.418458124
          0,           0,          28,      -6.096594169,      -6.187604505,      -6.385409327,      -6.184366525,      -5.514001448
          0,           0,          29,      -6.197160311,      -6.265852132,      -6.485063429,      -6.295154284,      -5.609916613
          0,           0,          30,      -6.281345823,      -6.337451825,      -6.551744908,      -6.406928806,      -5.702081722
          0,           0,          31,      -6.370986751,       -6.41784229,      -6.622882278,      -6.532608966,      -5.793992237
          0,           0,          32,      -6.472908617,      -6.506629716,      -6.706851478,      -6.652295517,      -5.892258183
