Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,1.22871,0,3.53916,0,6.08E-08,0,0,0,0,0,0,0.375568,0.65,-0.00217477,0.750704,1.41567,0.804299,0.00106772,0.00186359,0.000234524,0.00216055,1.13679,0,0,0,0,1.45527
1,1.19653,0,3.44395,0,6.08E-08,0,0,0,0,0,0,0.375278,0.65,0,0.750555,1.37758,0.728128,0.0010936,0.001894,0.00168566,0.00276128,1.13596,0,0,0,0,1.60523
2,1.23308,0,3.55209,0,6.08E-08,0,0,0,0,0,0,0.375608,0.65,-0.00248361,0.750724,1.42084,0.81464,0.0010638,0.00185913,3.38E-05,0.00214224,1.1369,0,0,0,0,1.43445
3,1.2061,0,3.47193,0,6.08E-08,0,0,0,0,0,0,0.376768,0.65,-0.00517682,0.751319,1.38877,0.750515,0.00162929,0.00151811,-0.00118248,0.00252141,1.1361,0,0,0,0,1.55251
4,1.20277,0,3.46204,0,6.08E-08,0,0,0,0,0,0,0.376916,0.65,-0.00552982,0.751396,1.38482,0.742598,0.00169998,0.00147511,-0.0013392,0.00261904,1.136,0,0,0,0,1.5674
5,0.981789,0,2.81663,0,6.06E-08,0,0,0,0,0,0,0.983554,0.65,-0.000774544,1.17893,1.12665,0.226272,0.00103873,0.000287543,0.000125318,0.00108505,1.13225,0,0,0,0,0.913745
6,0.981157,0,2.81474,0,6.06E-08,0,0,0,0,0,0,0.983187,0.65,-0.000822475,1.17863,1.1259,0.224763,0.0010444,0.00028704,0.000126077,0.00109044,1.13222,0,0,0,0,0.915712
7,0.97381,0,2.79287,0,6.06E-08,0,0,0,0,0,0,0.979204,0.65,-0.00134406,1.1753,1.11715,0.207261,0.00110668,0.000280454,0.000134458,0.00114956,1.13189,0,0,0,0,0.936905
8,0.863582,0,2.46833,0,6.04E-08,0,0,0,0,0,0,0.843995,0.65,0.0167353,1.06541,0.987331,-0.0523704,0.00153763,0.000143494,-0.000138321,0.00155049,1.12805,0,0,0,0,1.02728
9,0.870362,0,2.48791,0,6.05E-08,0,0,0,0,0,0,0.854802,0.65,0.0156906,1.07398,0.995166,-0.0367006,0.00149998,0.000151216,-0.000138368,0.00151392,1.12814,0,0,0,0,1.01884
