"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.875196878,       -9.67238369,      -16.04698339,       -10.9443717,      -4.268030877,      -10.91816018
          0,           0,           1,      -5.221129488,      -5.090345436,      -5.726030448,       -4.85821226,      -4.588588585,      -11.64385982
          0,           0,           2,      -5.213560412,      -4.982657332,      -5.273276332,      -5.088131375,      -4.578152009,      -11.64778563
          0,           0,           3,      -5.141617806,      -4.956008177,      -5.015129835,      -4.907136399,       -4.52394455,      -11.50939813
          0,           0,           4,      -5.026386324,      -4.932604964,      -4.897911813,      -4.791150554,       -4.41882155,      -11.43285672
          0,           0,           5,      -4.949468004,      -4.909662973,      -4.849184399,      -4.760072835,      -4.346566631,      -11.41481219
          0,           0,           6,      -4.918379995,      -4.899752706,      -4.851596167,       -4.78132231,      -4.315074864,       -11.3919663
          0,           0,           7,      -4.897294848,      -4.917840619,      -4.874861332,      -4.816118528,      -4.295127306,      -11.35721093
          0,           0,           8,      -4.870285196,      -4.961565622,      -4.898779276,       -4.84391926,      -4.272922062,      -11.34025336
          0,           0,           9,      -4.854706499,      -5.007096096,      -4.932150739,      -4.879851661,      -4.259199058,      -11.34600713
          0,           0,          10,      -4.851137606,      -5.008994257,      -4.972008876,      -4.925879335,      -4.252366428,      -11.36886569
          0,           0,          11,      -4.859195487,      -4.971296679,      -5.015854718,      -4.970112896,      -4.253831563,      -11.40066633
          0,           0,          12,      -4.882254874,      -4.952290181,      -5.070830764,      -5.012548035,      -4.272168091,      -11.43474301
          0,           0,          13,      -4.918946314,      -4.973748363,      -5.138842578,      -5.066906481,      -4.308974048,      -11.46948703
          0,           0,          14,      -4.961263316,       -5.02407273,      -5.209386075,      -5.135826981,      -4.354767454,      -11.50535718
          0,           0,          15,      -5.002420499,      -5.079854352,      -5.268887408,      -5.203441554,      -4.398337306,      -11.54366612
          0,           0,          16,      -5.041923087,       -5.12601984,      -5.316273015,      -5.254340431,      -4.436737459,      -11.58467234
          0,           0,          17,      -5.082495256,      -5.167402068,      -5.362455281,      -5.293910587,      -4.474470348,      -11.62774236
          0,           0,          18,       -5.12613427,      -5.216162927,       -5.41647399,       -5.33744781,      -4.516271524,      -11.66905641
          0,           0,          19,      -5.173393355,       -5.27722114,      -5.478970612,      -5.392638651,      -4.563574707,      -11.70210036
          0,           0,          20,      -5.223799498,      -5.345593519,      -5.544261742,      -5.457733178,      -4.614926765,      -11.71914611
          0,           0,          21,      -5.276024825,      -5.410837434,      -5.605860134,      -5.525624875,      -4.667603203,      -11.71436759
          0,           0,          22,      -5.328539845,      -5.466126513,      -5.661948423,      -5.588759112,      -4.719484878,      -11.68653519
          0,           0,          23,      -5.380299388,      -5.514359117,      -5.715590461,      -5.643513054,      -4.770006581,      -11.64053167
          0,           0,          24,      -5.430863038,       -5.56351178,      -5.770138988,      -5.691328636,      -4.819624166,      -11.58379206
          0,           0,          25,      -5.480077136,      -5.618912362,      -5.826109522,      -5.735850726,      -4.868702346,      -11.52289827
          0,           0,          26,       -5.52788361,      -5.680452555,      -5.881593568,      -5.779382682,      -4.917070176,       -11.4630291
          0,           0,          27,      -5.574295352,      -5.743761077,       -5.93445155,      -5.822021989,      -4.964258292,      -11.40725901
          0,           0,          28,      -5.619434612,      -5.803139838,      -5.984125821,      -5.862881234,      -5.009941323,      -11.35760807
          0,           0,          29,      -5.663498632,      -5.854892778,      -6.031460089,      -5.901530178,      -5.054127772,       -11.3143112
          0,           0,          30,      -5.706663982,       -5.89884706,      -6.077312757,      -5.938642221,      -5.097042334,      -11.27793914
          0,           0,          31,      -5.749067326,      -5.937254327,      -6.121441498,      -5.975491705,      -5.138968466,      -11.24880096
          0,           0,          32,      -5.790957695,      -5.972827734,      -6.162818399,      -6.013178153,      -5.180281546,      -11.22710157
          0,           0,          33,      -5.832708687,       -6.00750566,      -6.200675585,      -6.051662378,      -5.221411496,      -11.21363592
          0,           0,          34,      -5.874822183,      -6.042559649,      -6.235474539,      -6.090040185,      -5.262881087,      -11.20855349
          0,           0,          35,      -5.917717659,       -6.07879191,      -6.268835201,      -6.127005167,      -5.305153058,      -11.21085782
          0,           0,          36,      -5.961444634,      -6.116698055,      -6.302882274,      -6.161717967,      -5.348379725,      -11.21857227
          0,           0,          37,      -6.005563904,      -6.156555078,      -6.339560015,      -6.194558495,      -5.392264273,      -11.23043357
          0,           0,          38,       -6.04929125,      -6.198498838,      -6.380162136,      -6.226924707,      -5.436128863,      -11.24591794
          0,           0,          39,      -6.091891758,      -6.242571578,      -6.424983281,      -6.260480592,      -5.479229058,      -11.26512582
          0,           0,          40,       -6.13311997,      -6.288805582,      -6.473236603,      -6.296420659,      -5.521173617,      -11.28856412
          0,           0,          41,      -6.173286623,      -6.337140845,      -6.522931015,      -6.334948535,      -5.562059725,      -11.31560491
          0,           0,          42,      -6.213077003,      -6.387262913,      -6.571044736,      -6.375205661,      -5.602385861,      -11.34480447
          0,           0,          43,      -6.253180015,      -6.438415286,      -6.614197094,      -6.415495696,      -5.642740466,      -11.37454179
          0,           0,          44,       -6.29397843,      -6.489283651,      -6.649938478,      -6.453902934,      -5.683494408,      -11.40383127
          0,           0,          45,      -6.335443485,      -6.538182093,      -6.677898916,      -6.489021769,      -5.724659621,      -11.43127709
          0,           0,          46,      -6.377213871,      -6.583377183,       -6.69993614,       -6.52042275,       -5.76594653,      -11.45556599
          0,           0,          47,      -6.418798506,      -6.623568588,      -6.718967215,      -6.548838105,      -5.806961689,      -11.47627643
          0,           0,          48,      -6.459806598,      -6.658262099,      -6.737829989,      -6.575653312,      -5.847437097,      -11.49321834
          0,           0,          49,      -6.499960782,      -6.687743512,      -6.758660126,      -6.602382743,      -5.887234045,      -11.50631717
          0,           0,          50,      -6.539102465,      -6.712789516,      -6.782869537,      -6.630291683,       -5.92631061,      -11.51562593
          0,           0,          51,      -6.577155856,      -6.734356066,      -6.811310955,      -6.660215158,      -5.964643048,      -11.52166823
