Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,1.2391,0,3.57576,-0,6.08871e-08,0,0,0,0,0,0,0.374251,0.65,-0.00306242,0.750049,1.43031,0.833579,0.00052245,0.000861715,-8.20227e-05,0.00101106,1.13892,0,0,0,0,8.03216
1,1.21318,0,3.4997,-0,6.08707e-08,0,0,0,0,0,0,0.37375,0.65,0,0.749793,1.39988,0.772727,0.000459318,0.000798814,0.000589359,0.00109381,1.13851,0,0,0,0,9.246
2,1.10777,0,3.19156,-0,6.08125e-08,0,0,0,0,0,0,0.374251,0.65,0.00306242,0.750049,1.27662,0.526215,0.000820189,0.000682938,0.00130994,0.00168969,1.13706,0,0,0,0,9.82907
3,0.955688,0,2.74733,-0,6.07114e-08,0,0,0,0,0,0,0.375733,0.65,0.00607979,0.750808,1.09893,0.170831,0.00140219,0.000363976,0.00179216,0.00230445,1.13455,0,0,0,0,10.6066
4,0.790878,0,2.26716,-0,6.0583e-08,0,0,0,0,0,0,0.378213,0.65,0.00901567,0.752081,0.906864,-0.213304,0.00204423,-3.58273e-05,0.00194042,0.00281876,1.13136,0,0,0,0,10.7289
5,0.630212,0,1.80142,-0,6.04524e-08,0,0,0,0,0,0,0.381788,0.65,0.0117697,0.753924,0.720569,-0.585894,0.00259969,-0.000417981,0.00174507,0.00315886,1.12813,0,0,0,0,10.3058
6,0.497684,0,1.419,-0,6.0337e-08,0,0,0,0,0,0,0.386573,0.65,0.0141486,0.756399,0.567598,-0.891836,0.0028422,-0.000658279,0.00126745,0.00318086,1.12527,0,0,0,0,9.4741
7,0.418745,0,1.19139,-0,6.02403e-08,0,0,0,0,0,0,0.392596,0.65,0.0160135,0.759532,0.476556,-1.07392,0.00269241,-0.000679115,0.000777038,0.00288341,1.12288,0,0,0,0,8.6326
8,0.397527,0,1.12896,-0,6.01574e-08,0,0,0,0,0,0,0.39982,0.65,0.0174718,0.763323,0.451584,-1.12386,0.00249255,-0.000592935,0.000511705,0.0026127,1.12083,0,0,0,0,8.31926
9,0.413025,0,1.17194,-0,6.01174e-08,0,0,0,0,0,0,0.408221,0.65,0.018815,0.767788,0.468777,-1.08948,0.00232522,-0.000480346,0.000394463,0.00240686,1.11984,0,0,0,0,8.35496
10,0.439465,0,1.24807,-0,6.01573e-08,0,0,0,0,0,0,0.41782,0.65,0.0201793,0.772969,0.499229,-1.02857,0.00209067,-0.00035509,0.000307976,0.00214286,1.12083,0,0,0,0,8.27692
11,0.471081,0,1.34022,-0,6.02368e-08,0,0,0,0,0,0,0.428645,0.65,0.0215344,0.77891,0.536088,-0.954855,0.00181505,-0.000223797,0.000228429,0.00184301,1.12279,0,0,0,0,8.05381
12,0.51476,0,1.46645,-0,6.02976e-08,0,0,0,0,0,0,0.440705,0.65,0.0228498,0.785648,0.586582,-0.853868,0.00160378,-0.000102357,0.000169112,0.00161591,1.1243,0,0,0,0,7.97719
