"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.614631717,      -13.62368764,      -13.69472107,      -2.566924285,      -9.860296224
          0,           0,           1,      -4.861855921,      -4.333706102,      -4.025401053,       -2.80430181,      -10.20983488
          0,           0,           2,       -5.28603039,       -4.63350294,      -4.573149185,      -3.237781433,      -10.64480563
          0,           0,           3,      -5.449561372,      -4.753938459,      -4.642224357,      -3.400841973,      -11.02832885
          0,           0,           4,      -5.497470281,      -4.823960196,      -4.696094514,      -3.449355535,      -11.17607484
          0,           0,           5,      -5.524296717,      -4.881675436,      -4.721908371,      -3.476312755,      -11.26345525
          0,           0,           6,      -5.541141633,      -4.926381737,      -4.736965425,       -3.49320341,      -11.33026536
          0,           0,           7,      -5.550576122,      -4.958025826,       -4.74337356,      -3.502695594,      -11.39859937
          0,           0,           8,      -5.553540452,      -4.976027561,      -4.741881863,      -3.505739838,      -11.44677973
          0,           0,           9,       -5.55102187,      -4.979697441,      -4.733690264,      -3.503351442,      -11.48617709
          0,           0,          10,      -5.544360676,      -4.969023422,      -4.720545303,      -3.496909908,       -11.5234237
          0,           0,          11,      -5.535199663,      -4.945480244,      -4.704480632,      -3.488087614,       -11.5598121
          0,           0,          12,      -5.525285812,       -4.91220773,       -4.68754978,      -3.478642948,      -11.58832747
          0,           0,          13,      -5.515890156,      -4.872992194,      -4.671410676,      -3.469848463,      -11.61296629
          0,           0,          14,      -5.507662367,      -4.831392496,       -4.65712569,      -3.462338704,      -11.63478319
          0,           0,          15,      -5.500751685,      -4.790176495,      -4.645200245,      -3.456233848,       -11.6576924
          0,           0,          16,      -5.494949802,      -4.751152587,      -4.635666408,      -3.451287776,      -11.67939598
          0,           0,          17,      -5.489815827,      -4.715293562,      -4.628204897,      -3.447018635,      -11.69761913
          0,           0,          18,      -5.484834707,      -4.682969826,      -4.622301674,      -3.442873816,       -11.7136439
          0,           0,          19,      -5.479512561,      -4.654176425,      -4.617377435,      -3.438330945,       -11.7276787
          0,           0,          20,      -5.473435747,      -4.628704416,      -4.612898376,      -3.432959172,      -11.74007202
          0,           0,          21,      -5.466318895,      -4.606253203,      -4.608434735,      -3.426466129,      -11.75274609
          0,           0,          22,      -5.458020223,      -4.586495467,      -4.603690879,      -3.418709389,      -11.76405509
          0,           0,          23,      -5.448547057,      -4.569108387,       -4.59848433,      -3.409698982,      -11.77296812
          0,           0,          24,      -5.438027308,      -4.553784273,      -4.592721254,      -3.399565237,      -11.78009283
          0,           0,          25,      -5.426672106,      -4.540236194,      -4.586370729,      -3.388520137,      -11.78556113
          0,           0,          26,      -5.414723073,      -4.528203947,      -4.579444905,      -3.376803945,      -11.78952209
          0,           0,          27,      -5.402402511,      -4.517461357,      -4.572002196,      -3.364635937,      -11.79215704
          0,           0,          28,      -5.389868633,      -4.507823823,      -4.564143535,       -3.35217052,      -11.79411057
          0,           0,          29,      -5.377199757,      -4.499149989,       -4.55600321,      -3.339482451,      -11.79506145
          0,           0,          30,      -5.364394799,      -4.491338183,      -4.547743987,       -3.32656892,      -11.79395128
          0,           0,          31,      -5.351408755,      -4.484316826,      -4.539544665,      -3.313387337,      -11.79115475
          0,           0,          32,      -5.338183408,       -4.47803209,      -4.531577018,      -3.299887258,      -11.78706192
          0,           0,          33,      -5.324677239,      -4.472435765,      -4.523981211,      -3.286040124,      -11.78176427
          0,           0,          34,      -5.310892223,      -4.467477637,      -4.516857155,       -3.27186502,      -11.77539789
          0,           0,          35,      -5.296881201,      -4.463102907,      -4.510254625,      -3.257433802,       -11.7681486
          0,           0,          36,      -5.282743532,      -4.459253532,      -4.504175619,      -3.242864154,      -11.76032329
          0,           0,          37,      -5.268609059,      -4.455870321,      -4.498573035,      -3.228301423,      -11.75217792
          0,           0,          38,      -5.254623138,      -4.452892517,       -4.49335644,      -3.213902506,      -11.74354664
          0,           0,          39,      -5.240934475,      -4.450252627,      -4.488398403,      -3.199823556,       -11.7346406
          0,           0,          40,      -5.227684813,      -4.447866272,      -4.483537119,       -3.18621017,      -11.72573436
          0,           0,          41,      -5.215000907,      -4.445619278,      -4.478585299,      -3.173190059,      -11.71701701
          0,           0,          42,      -5.202985395,      -4.443356219,      -4.473339024,      -3.160864592,      -11.70863648
          0,           0,          43,      -5.191709444,       -4.44087475,      -4.467594076,      -3.149301934,      -11.70069014
          0,           0,          44,      -5.181205995,      -4.437931162,      -4.461171623,      -3.138530711,       -11.6932897
          0,           0,          45,       -5.17146691,      -4.434258967,       -4.45394127,      -3.128537539,      -11.68646587
          0,           0,          46,       -5.16244541,       -4.42960076,      -4.445846827,      -3.119269966,      -11.68013264
          0,           0,          47,       -5.15406338,      -4.423747426,      -4.436917002,      -3.110644391,      -11.67427026
          0,           0,          48,       -5.14622426,      -4.416576002,      -4.427265899,      -3.102559548,      -11.66876902
          0,           0,          49,       -5.13882639,      -4.408075672,      -4.417075835,       -3.09491042,      -11.66343565
          0,           0,          50,      -5.131775902,      -4.398353769,      -4.406571682,      -3.087601415,      -11.65823023
          0,           0,          51,      -5.124994762,      -4.387620664,      -4.395989301,      -3.080554431,      -11.65307084
          0,           0,          52,      -5.118424792,      -4.376158039,      -4.385549084,      -3.073712623,      -11.64776963
          0,           0,          53,      -5.112026131,      -4.364280177,      -4.375435802,      -3.067038395,      -11.64234176
          0,           0,          54,      -5.105771966,      -4.352297189,      -4.365788034,       -3.06050763,      -11.63672456
          0,           0,          55,      -5.099642331,      -4.340486818,      -4.356695905,      -3.054103057,      -11.63080124
          0,           0,          56,      -5.093618303,      -4.329076697,      -4.348204933,      -3.047808148,       -11.6246793
          0,           0,          57,      -5.087678239,      -4.318236922,      -4.340323841,      -3.041603213,      -11.61832104
          0,           0,          58,      -5.081796989,      -4.308080184,      -4.333033425,      -3.035464603,      -11.61168326
          0,           0,          59,      -5.075947313,      -4.298666703,      -4.326295499,       -3.02936619,      -11.60489301
          0,           0,          60,      -5.070102488,      -4.290011946,      -4.320060369,       -3.02328205,      -11.59784111
          0,           0,          61,      -5.064239575,      -4.282095118,      -4.314272164,        -3.0171898,      -11.59062589
          0,           0,          62,      -5.058342328,      -4.274867758,      -4.308872831,       -3.01107357,      -11.58331929
          0,           0,          63,      -5.052403514,      -4.268261709,      -4.303804664,      -3.004926354,      -11.57583602
          0,           0,          64,      -5.046424795,       -4.26219636,      -4.299011157,      -2.998749908,      -11.56838927
          0,           0,          65,      -5.040415733,       -4.25658476,      -4.294437566,      -2.992553757,      -11.56092323
          0,           0,          66,       -5.03439251,       -4.25133889,      -4.290031075,      -2.986353937,      -11.55351503
          0,           0,          67,      -5.028375494,      -4.246374046,      -4.285740947,       -2.98017058,      -11.54628082
          0,           0,          68,      -5.022386816,      -4.241611871,      -4.281518357,      -2.974025512,      -11.53909049
          0,           0,          69,      -5.016447952,       -4.23698278,       -4.27731671,      -2.967939849,      -11.53211879
          0,           0,          70,      -5.010577966,       -4.23242733,      -4.273091975,      -2.961932257,      -11.52524887
          0,           0,          71,      -5.004792334,       -4.22789664,      -4.268803135,      -2.956017798,      -11.51849028
          0,           0,          72,      -4.999101939,      -4.223352427,      -4.264413036,      -2.950206924,       -11.5118714
          0,           0,          73,      -4.993512952,      -4.218766399,      -4.259889053,      -2.944505387,      -11.50529167
          0,           0,          74,      -4.988026665,      -4.214119286,      -4.255203979,      -2.938914067,       -11.4988745
          0,           0,          75,      -4.982640083,      -4.209399721,      -4.250336818,      -2.933429588,      -11.49244062
          0,           0,          76,      -4.977346255,      -4.204603191,      -4.245273538,       -2.92804466,      -11.48613762
          0,           0,          77,      -4.972135094,      -4.199730526,      -4.240007223,      -2.922748908,      -11.47985982
          0,           0,          78,      -4.966993877,      -4.194786912,      -4.234538615,      -2.917529387,      -11.47362232
          0,           0,          79,      -4.961908142,      -4.189780683,      -4.228875416,      -2.912371486,      -11.46743268
          0,           0,          80,      -4.956862328,      -4.184722092,      -4.223032083,      -2.907259572,      -11.46126095
          0,           0,          81,      -4.951840594,      -4.179622378,      -4.217028692,      -2.902177801,      -11.45508411
          0,           0,          82,      -4.946827479,      -4.174492801,      -4.210889859,      -2.897110783,      -11.44894301
          0,           0,          83,      -4.941808604,       -4.16934401,      -4.204643558,      -2.892044263,      -11.44278045
          0,           0,          84,      -4.936771168,      -4.164185448,      -4.198319538,      -2.886965617,      -11.43659946
          0,           0,          85,      -4.931704454,       -4.15902515,      -4.191948194,      -2.881864332,      -11.43042986
          0,           0,          86,      -4.926600078,      -4.153869716,      -4.185559099,      -2.876732253,      -11.42419576
          0,           0,          87,      -4.921452238,      -4.148724573,      -4.179180176,       -2.87156381,      -11.41796929
          0,           0,          88,      -4.916257806,      -4.143594476,      -4.172836769,        -2.8663561,      -11.41169996
          0,           0,          89,      -4.911016217,      -4.138484011,      -4.166551023,      -2.861108767,      -11.40536742
          0,           0,          90,       -4.90572955,       -4.13339839,      -4.160341767,      -2.855824065,      -11.39903678
          0,           0,          91,      -4.900402204,      -4.128344001,       -4.15422421,      -2.850506521,      -11.39258702
          0,           0,          92,      -4.895040828,       -4.12332911,       -4.14821034,      -2.845162858,      -11.38616761
          0,           0,          93,      -4.889654031,      -4.118364237,      -4.142309087,      -2.839801677,      -11.37964658
          0,           0,          94,      -4.884252236,      -4.113462277,      -4.136526945,      -2.834433303,      -11.37311325
          0,           0,          95,      -4.878847442,      -4.108638701,      -4.130868429,      -2.829069534,      -11.36652398
          0,           0,          96,      -4.873453018,      -4.103911042,      -4.125336677,      -2.823723411,      -11.35986071
          0,           0,          97,      -4.868083608,      -4.099298505,      -4.119934044,      -2.818409123,      -11.35322688
          0,           0,          98,      -4.862754884,      -4.094821034,      -4.114662473,      -2.813141752,      -11.34649228
          0,           0,          99,      -4.857483482,      -4.090498462,      -4.109523943,      -2.807937218,      -11.33979271
          0,           0,         100,      -4.852286711,      -4.086349272,      -4.104520582,      -2.802812017,      -11.33305279
          0,           0,         101,      -4.847182429,      -4.082389032,      -4.099654914,      -2.797783119,      -11.32631309
          0,           0,         102,      -4.842188752,      -4.078629136,      -4.094929676,      -2.792867743,      -11.31962455
          0,           0,         103,       -4.83732368,      -4.075075175,      -4.090347652,      -2.788083042,      -11.31289807
          0,           0,         104,       -4.83260479,      -4.071725481,      -4.085911317,      -2.783445875,       -11.3062876
          0,           0,         105,      -4.828048677,      -4.068569702,        -4.0816223,      -2.778972336,       -11.2996696
          0,           0,         106,      -4.823670502,      -4.065587701,      -4.077480922,      -2.774677385,      -11.29314329
          0,           0,         107,      -4.819483347,      -4.062749035,       -4.07348548,       -2.77057428,      -11.28666831
          0,           0,         108,      -4.815497736,      -4.060012662,      -4.069631748,      -2.766674147,      -11.28022057
          0,           0,         109,      -4.811721041,      -4.057327676,      -4.065912489,      -2.762985416,      -11.27390906
          0,           0,         110,      -4.808157025,       -4.05463483,      -4.062317051,      -2.759513348,       -11.2676108
          0,           0,         111,      -4.804805569,      -4.051869257,      -4.058831338,      -2.756259701,      -11.26139428
          0,           0,         112,      -4.801662494,      -4.048964282,      -4.055437985,      -2.753222445,      -11.25521551
          0,           0,         113,      -4.798719629,      -4.045855727,      -4.052117039,      -2.750395655,      -11.24905246
          0,           0,         114,      -4.795965151,      -4.042487506,      -4.048846871,      -2.747769659,      -11.24294645
          0,           0,         115,      -4.793384107,      -4.038816846,      -4.045605661,      -2.745331318,      -11.23682027
          0,           0,         116,      -4.790959182,      -4.034819177,      -4.042373302,      -2.743064544,      -11.23069868
          0,           0,         117,      -4.788671622,      -4.030491688,      -4.039133502,      -2.740950994,       -11.2245664
          0,           0,         118,       -4.78650226,      -4.025855543,      -4.035875982,      -2.738970899,      -11.21841078
          0,           0,         119,       -4.78443258,      -4.020956069,      -4.032598424,      -2.737104013,      -11.21224077
          0,           0,         120,       -4.78244565,      -4.015860529,      -4.029308239,      -2.735330516,      -11.20603913
          0,           0,         121,      -4.780526917,      -4.010653914,      -4.026023663,      -2.733631877,      -11.19989292
          0,           0,         122,      -4.778664724,      -4.005433502,      -4.022774194,       -2.73199157,      -11.19368982
          0,           0,         123,      -4.776850548,      -4.000302482,      -4.019600109,      -2.730395613,      -11.18760393
          0,           0,         124,      -4.775078888,      -3.995363136,      -4.016551157,      -2.728832842,      -11.18151907
          0,           0,         125,      -4.773346888,      -3.990710586,      -4.013684271,      -2.727294969,      -11.17551158
          0,           0,         126,      -4.771653725,      -3.986427444,      -4.011060835,      -2.725776415,      -11.16960205
          0,           0,         127,      -4.769999833,      -3.982579172,      -4.008743547,      -2.724273954,      -11.16374009
          0,           0,         128,      -4.768386038,      -3.979210558,      -4.006793005,      -2.722786191,       -11.1579907
          0,           0,         129,      -4.766812753,      -3.976343611,      -4.005264325,      -2.721313005,      -11.15226754
          0,           0,         130,      -4.765279275,      -3.973976761,      -4.004203844,      -2.719854961,      -11.14670447
          0,           0,         131,      -4.763783259,       -3.97208505,      -4.003646316,      -2.718412774,      -11.14110132
          0,           0,         132,      -4.762320366,      -3.970621343,      -4.003612401,      -2.716986802,      -11.13559065
          0,           0,         133,       -4.76088415,      -3.969519084,      -4.004106682,      -2.715576664,      -11.13014135
          0,           0,         134,      -4.759466171,      -3.968696272,      -4.005116243,      -2.714180971,      -11.12462619
          0,           0,         135,      -4.758056259,      -3.968060085,      -4.006609856,      -2.712797153,      -11.11915382
          0,           0,         136,      -4.756642947,      -3.967512742,      -4.008537855,      -2.711421395,      -11.11359959
          0,           0,         137,      -4.755213996,      -3.966958633,       -4.01083271,      -2.710048687,      -11.10796725
          0,           0,         138,      -4.753757022,      -3.966310775,      -4.013410613,      -2.708672991,      -11.10226067
          0,           0,         139,      -4.752260095,      -3.965497274,      -4.016173962,      -2.707287451,      -11.09646973
          0,           0,         140,      -4.750712341,      -3.964466854,      -4.019014764,      -2.705884722,      -11.09055573
          0,           0,         141,      -4.749104541,      -3.963192953,      -4.021819191,      -2.704457381,       -11.0844987
          0,           0,         142,      -4.747429595,      -3.961674723,      -4.024472882,      -2.702998336,      -11.07837043
          0,           0,         143,      -4.745682868,      -3.959936665,      -4.026866737,      -2.701501274,      -11.07211076
          0,           0,         144,      -4.743862374,      -3.958025343,      -4.028902885,      -2.699961032,      -11.06573913
          0,           0,         145,      -4.741968833,      -3.956004407,      -4.030500094,      -2.698373953,      -11.05933281
          0,           0,         146,      -4.740005424,      -3.953948315,       -4.03159806,      -2.696737987,      -11.05284894
          0,           0,         147,      -4.737977372,      -3.951935167,      -4.032160124,      -2.695052702,       -11.0463185
          0,           0,         148,      -4.735891349,      -3.950039633,       -4.03217398,      -2.693319047,      -11.03979917
          0,           0,         149,      -4.733754736,      -3.948327007,       -4.03165019,      -2.691538987,      -11.03327383
          0,           0,         150,      -4.731574658,      -3.946847209,      -4.030618966,      -2.689714828,      -11.02673433
          0,           0,         151,      -4.729357076,      -3.945630288,      -4.029125479,      -2.687848517,      -11.02025541
          0,           0,         152,       -4.72710587,      -3.944683959,        -4.0272243,       -2.68594084,      -11.01383196
          0,           0,         153,      -4.724822064,      -3.943991621,      -4.024973753,      -2.683990665,      -11.00740111
          0,           0,         154,      -4.722503197,      -3.943511931,      -4.022430728,      -2.681994244,      -11.00103877
          0,           0,         155,      -4.720143046,      -3.943179883,      -4.019646357,      -2.679944794,      -10.99477125
          0,           0,         156,      -4.717731637,      -3.942910677,      -4.016662893,      -2.677832318,      -10.98848734
          0,           0,         157,        -4.7152556,       -3.94260305,      -4.013512052,      -2.675643737,      -10.98220566
          0,           0,         158,      -4.712698882,      -3.942145441,      -4.010214516,      -2.673363366,      -10.97601479
          0,           0,         159,      -4.710043811,      -3.941424118,      -4.006780683,      -2.670973772,      -10.96978143
          0,           0,         160,      -4.707272326,      -3.940331041,      -4.003212507,      -2.668456823,      -10.96348911
          0,           0,         161,       -4.70436738,      -3.938771715,      -3.999505963,      -2.665794947,      -10.95722974
          0,           0,         162,      -4.701314389,      -3.936673876,       -3.99565382,      -2.662972523,      -10.95097793
          0,           0,         163,      -4.698102484,       -3.93399378,      -3.991648735,      -2.659977127,      -10.94463731
          0,           0,         164,      -4.694725541,      -3.930719147,      -3.987486038,      -2.656800622,      -10.93828201
          0,           0,         165,      -4.691182768,      -3.926869772,       -3.98316589,      -2.653439852,      -10.93199664
          0,           0,         166,      -4.687478941,      -3.922496144,      -3.978694717,      -2.649897065,      -10.92564126
          0,           0,         167,      -4.683623934,      -3.917673681,      -3.974085942,      -2.646179624,      -10.91929514
          0,           0,         168,      -4.679631837,      -3.912494605,      -3.969359525,      -2.642299324,       -10.9130574
          0,           0,         169,      -4.675519716,      -3.907060528,      -3.964540512,      -2.638271359,      -10.90686437
          0,           0,         170,      -4.671305828,      -3.901474164,      -3.959657015,       -2.63411271,      -10.90068822
          0,           0,         171,      -4.667007867,      -3.895831416,      -3.954737531,      -2.629840537,      -10.89468036
          0,           0,         172,      -4.662641075,      -3.890214189,      -3.949807876,      -2.625470377,      -10.88885469
          0,           0,         173,       -4.65821662,       -3.88468665,      -3.944888004,      -2.621014572,      -10.88304871
          0,           0,         174,      -4.653740304,      -3.879292551,      -3.939989296,      -2.616480984,      -10.87739186
          0,           0,         175,      -4.649211875,      -3.874053495,       -3.93511235,      -2.611872238,      -10.87199746
          0,           0,         176,      -4.644624894,      -3.868969647,      -3.930245435,      -2.607185463,      -10.86670848
