Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,0.996665,0,79.5336,-0,8.56869e-08,0,0,0,0,0,0,1,5.3522e-08,0,1,31.8135,0.134849,9.35344e-15,4.73368e-05,0,4.73368e-05,1.00548,0,0,0,0,0.0468033
1,0.996923,0,79.5545,-0,8.56871e-08,0,0,0,0,0,0,0.999001,-0.000141592,0,0.999001,31.8218,0.151526,0.00399086,0.000565487,0,0.00403072,1.00548,0,0,0,0,0.432769
2,0.997092,0,79.5534,-0,8.56749e-08,0,0,0,0,0,0,0.997966,-0.000288179,0,0.997966,31.8214,0.150653,0.00343636,0.000486286,0,0.0034706,1.0053,0,0,0,0,0.401441
3,0.997229,0,79.5483,-0,8.56615e-08,0,0,0,0,0,0,0.996893,-0.000439859,0,0.996893,31.8193,0.146579,0.00281038,0.000397164,0,0.00283831,1.00509,0,0,0,0,0.362921
4,0.997276,0,79.5447,-0,8.56553e-08,0,0,0,0,0,0,0.995782,-0.000596789,0,0.995782,31.8179,0.143674,0.00248823,0.000351147,0,0.00251288,1.005,0,0,0,0,0.341337
5,0.997276,0,79.5423,-0,8.56534e-08,0,0,0,0,0,0,0.994631,-0.000759131,0,0.994631,31.8169,0.141786,0.00238464,0.000336042,0,0.0024082,1.00497,0,0,0,0,0.333991
6,0.997262,0,79.541,-0,8.56532e-08,0,0,0,0,0,0,0.993438,-0.000927049,0,0.993439,31.8164,0.140721,0.00237734,0.000334513,0,0.00240076,1.00497,0,0,0,0,0.333311
7,0.997246,0,79.5402,-0,8.56536e-08,0,0,0,0,0,0,0.992203,-0.00110071,0,0.992204,31.8161,0.140112,0.00239513,0.000336496,0,0.00241865,1.00497,0,0,0,0,0.334391
8,0.997234,0,79.5397,-0,8.5654e-08,0,0,0,0,0,0,0.990924,-0.00128029,0,0.990925,31.8159,0.139712,0.0024128,0.000338436,0,0.00243642,1.00498,0,0,0,0,0.335462
9,0.997225,0,79.5393,-0,8.56543e-08,0,0,0,0,0,0,0.989599,-0.00146596,0,0.9896,31.8157,0.139398,0.00242556,0.000339663,0,0.00244922,1.00498,0,0,0,0,0.336194
10,0.997218,0,79.539,-0,8.56545e-08,0,0,0,0,0,0,0.988228,-0.00165789,0,0.988229,31.8156,0.139133,0.00243418,0.000340288,0,0.00245785,1.00499,0,0,0,0,0.336643
11,0.997213,0,79.5387,-0,8.56546e-08,0,0,0,0,0,0,0.986807,-0.00185628,0,0.986809,31.8155,0.138916,0.00244012,0.000340514,0,0.00246376,1.00499,0,0,0,0,0.336911
12,0.997209,0,79.5385,-0,8.56547e-08,0,0,0,0,0,0,0.985337,-0.00206129,0,0.985339,31.8154,0.138755,0.00244452,0.000340505,0,0.00246812,1.00499,0,0,0,0,0.337077
13,0.997206,0,79.5384,-0,8.56548e-08,0,0,0,0,0,0,0.983815,-0.00227313,0,0.983817,31.8154,0.138653,0.00244819,0.000340371,0,0.00247173,1.00499,0,0,0,0,0.337197
14,0.997204,0,79.5383,-0,8.56549e-08,0,0,0,0,0,0,0.982239,-0.00249197,0,0.982242,31.8153,0.138609,0.00245154,0.000340172,0,0.00247503,1.00499,0,0,0,0,0.3373
15,0.997203,0,79.5384,-0,8.5655e-08,0,0,0,0,0,0,0.980609,-0.00271801,0,0.980612,31.8153,0.13862,0.00245476,0.000339931,0,0.00247819,1.00499,0,0,0,0,0.337397
16,0.997202,0,79.5384,-0,8.56551e-08,0,0,0,0,0,0,0.978921,-0.00295145,0,0.978926,31.8154,0.138681,0.00245787,0.000339651,0,0.00248123,1.005,0,0,0,0,0.33749
17,0.997202,0,79.5386,-0,8.56552e-08,0,0,0,0,0,0,0.977175,-0.00319247,0,0.97718,31.8154,0.138791,0.00246084,0.000339329,0,0.00248413,1.005,0,0,0,0,0.337579
18,0.997203,0,79.5388,-0,8.56553e-08,0,0,0,0,0,0,0.975369,-0.00344128,0,0.975375,31.8155,0.138947,0.00246367,0.000338963,0,0.00248688,1.005,0,0,0,0,0.337661
19,0.997204,0,79.539,-0,8.56554e-08,0,0,0,0,0,0,0.9735,-0.00369808,0,0.973507,31.8156,0.139147,0.00246635,0.000338551,0,0.00248947,1.005,0,0,0,0,0.337736
20,0.997207,0,79.5393,-0,8.56555e-08,0,0,0,0,0,0,0.971568,-0.00396307,0,0.971576,31.8157,0.139394,0.00246889,0.000338095,0,0.00249193,1.005,0,0,0,0,0.337805
21,0.997209,0,79.5397,-0,8.56556e-08,0,0,0,0,0,0,0.969569,-0.00423645,0,0.969578,31.8159,0.139685,0.00247132,0.000337598,0,0.00249427,1.005,0,0,0,0,0.33787
22,0.997213,0,79.5401,-0,8.56558e-08,0,0,0,0,0,0,0.967502,-0.00451843,0,0.967513,31.816,0.140022,0.00247364,0.000337059,0,0.00249649,1.00501,0,0,0,0,0.337931
23,0.997217,0,79.5406,-0,8.56559e-08,0,0,0,0,0,0,0.965366,-0.0048092,0,0.965378,31.8162,0.140406,0.00247586,0.000336482,0,0.00249862,1.00501,0,0,0,0,0.337988
24,0.997222,0,79.5411,-0,8.5656e-08,0,0,0,0,0,0,0.963157,-0.00510898,0,0.96317,31.8165,0.140837,0.002478,0.000335865,0,0.00250066,1.00501,0,0,0,0,0.338043
