"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.383142994,      -13.62544697,      -13.66598058,      -2.335435562,      -9.860155217
          0,           0,           1,      -4.577581561,      -4.257764518,       -3.74888796,      -2.525011433,      -10.20811832
          0,           0,           2,      -5.080443015,      -4.608439691,      -4.321331139,      -3.033799289,      -10.64271883
          0,           0,           3,      -5.227054454,      -4.723676628,      -4.409411579,      -3.179544372,      -11.02343974
          0,           0,           4,      -5.272591411,      -4.793478468,      -4.457697954,      -3.224984385,      -11.16877863
          0,           0,           5,      -5.301298097,      -4.848236394,      -4.485988237,      -3.253724535,      -11.25506288
          0,           0,           6,      -5.321293952,      -4.889694033,      -4.505106918,      -3.273712154,      -11.32018205
          0,           0,           7,      -5.334654761,      -4.918158518,      -4.517066381,      -3.287059966,      -11.38596646
          0,           0,           8,      -5.341971727,      -4.933267399,      -4.522163767,      -3.294371457,      -11.43201527
          0,           0,           9,      -5.343501767,       -4.93397397,      -4.520476773,      -3.295911447,      -11.46885854
          0,           0,          10,      -5.339691787,      -4.919603211,      -4.512505439,      -3.292143383,      -11.50227035
          0,           0,          11,      -5.331483087,      -4.891184656,      -4.499422972,      -3.284026075,      -11.53417958
          0,           0,          12,      -5.320244715,      -4.851849135,      -4.482971424,      -3.272939426,      -11.55794907
          0,           0,          13,       -5.30749961,      -4.806029613,      -4.465082663,      -3.260405969,      -11.57728164
          0,           0,          14,      -5.294581672,      -4.757976706,      -4.447462269,      -3.247749757,      -11.59343425
          0,           0,          15,      -5.282437644,      -4.710903801,       -4.43130938,      -3.235901293,      -11.60948331
          0,           0,          16,       -5.27159185,      -4.666785912,      -4.417246651,        -3.2253655,      -11.62447725
          0,           0,          17,      -5.262208832,      -4.626561591,      -4.405405385,      -3.216288239,      -11.63646596
          0,           0,          18,       -5.25417047,      -4.590458729,      -4.395571369,       -3.20853701,      -11.64659796
          0,           0,          19,      -5.247189857,      -4.558287426,      -4.387358323,      -3.201816736,      -11.65516193
          0,           0,          20,       -5.24087224,      -4.529672403,      -4.380327962,      -3.195731325,      -11.66247707
          0,           0,          21,      -5.234825655,      -4.504193646,      -4.374093469,      -3.189892616,      -11.66949022
