Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,0.937188,0,2.70281,-0,6.06593e-08,0,0,0,0,0,0,0.862639,0.23926,-0.00139669,0.895206,1.08113,0.124066,0.000707883,0.00010042,9.14605e-05,0.000720796,1.13197,0,0,0,0,7.40334
1,0.928295,0,2.67663,-0,6.06502e-08,0,0,0,0,0,0,0.852113,0.23926,-0.0027972,0.88507,1.07065,0.103121,0.000665374,7.39378e-05,8.49995e-05,0.000674844,1.13175,0,0,0,0,7.12121
2,0.918532,0,2.64816,-0,6.06446e-08,0,0,0,0,0,0,0.841095,0.23926,-0.00423729,0.874474,1.05926,0.0803396,0.00068565,6.21411e-05,8.66886e-05,0.000693897,1.13161,0,0,0,0,7.18654
3,0.908958,0,2.62002,-0,6.06352e-08,0,0,0,0,0,0,0.829395,0.23926,-0.00574421,0.863235,1.04801,0.0578278,0.000719091,5.27409e-05,8.98471e-05,0.000726599,1.13137,0,0,0,0,7.33354
4,0.899349,0,2.59174,-0,6.06251e-08,0,0,0,0,0,0,0.816856,0.23926,-0.00732925,0.851207,1.0367,0.0352082,0.000755183,4.39339e-05,9.25634e-05,0.000762102,1.13112,0,0,0,0,7.49771
5,0.890056,0,2.56439,-0,6.06149e-08,0,0,0,0,0,0,0.803354,0.23926,-0.00898886,0.838274,1.02576,0.0133281,0.000790527,3.53547e-05,9.41971e-05,0.000796904,1.13087,0,0,0,0,7.66761
6,0.881213,0,2.53837,-0,6.06052e-08,0,0,0,0,0,0,0.788795,0.23926,-0.0107152,0.824352,1.01535,-0.00748504,0.000824116,2.73252e-05,9.47558e-05,0.000829996,1.13063,0,0,0,0,7.82264
7,0.87325,0,2.51495,-0,6.05964e-08,0,0,0,0,0,0,0.773115,0.23926,-0.0124979,0.809388,1.00598,-0.0262239,0.000853748,2.01182e-05,9.42195e-05,0.000859166,1.13041,0,0,0,0,7.96416
8,0.866116,0,2.49397,-0,6.05886e-08,0,0,0,0,0,0,0.756281,0.23926,-0.0143268,0.793355,0.99759,-0.043005,0.000879388,1.4009e-05,9.28988e-05,0.000884392,1.13022,0,0,0,0,8.08594
9,0.85996,0,2.47588,-0,6.05818e-08,0,0,0,0,0,0,0.738284,0.23926,-0.0161936,0.776255,0.990353,-0.0574788,0.000900751,9.02765e-06,9.10637e-05,0.000905387,1.13005,0,0,0,0,8.18704
10,0.941984,0,2.71843,-0,6.06894e-08,0,0,0,0,0,0,0.872902,0.23926,0,0.905098,1.08737,0.136562,6.46971e-06,2.30853e-05,-0.000337097,0.000337948,1.13272,0,0,0,0,5.10952
11,0.878905,0,2.53122,-0,6.05961e-08,0,0,0,0,0,0,0.332926,0.23926,-0.0345563,0.411436,1.01249,-0.0132057,0.00113525,-3.78625e-05,-3.98659e-05,0.00113658,1.13041,0,0,0,0,9.23438
12,0.890043,0,2.56392,-0,6.06072e-08,0,0,0,0,0,0,0.310711,0.23926,-0.0336944,0.393601,1.02557,0.0129543,0.00113433,-3.31682e-05,-5.02946e-05,0.00113593,1.13068,0,0,0,0,9.25506
13,0.447964,0,1.28239,-0,6.03199e-08,0,0,0,0,0,0,0.152925,0.23926,0.016937,0.284461,0.512956,-1.01227,0.00229705,-0.000606998,0.00104154,0.00259416,1.12357,0,0,0,0,8.89859
14,0.377833,0,1.0809,-0,6.02878e-08,0,0,0,0,0,0,0.160135,0.23926,0.0191693,0.288541,0.432361,-1.17346,0.00210345,-0.000574997,0.000613682,0.00226533,1.12278,0,0,0,0,7.80778
15,0.363246,0,1.03919,-0,6.02869e-08,0,0,0,0,0,0,0.168783,0.23926,0.020915,0.293548,0.415674,-1.20684,0.00186855,-0.000456575,0.000384911,0.00196166,1.12276,0,0,0,0,7.2446
16,0.387202,0,1.1083,-0,6.03108e-08,0,0,0,0,0,0,0.178839,0.23926,0.022523,0.29956,0.443321,-1.15154,0.0016562,-0.000313968,0.000278342,0.00170852,1.12335,0,0,0,0,7.05791
17,0.426652,0,1.22297,-0,6.03751e-08,0,0,0,0,0,0,0.190329,0.23926,0.0241562,0.306682,0.489188,-1.05981,0.00143583,-0.000180755,0.000206243,0.00146178,1.12494,0,0,0,0,6.91165
18,0.466549,0,1.33911,-0,6.04335e-08,0,0,0,0,0,0,0.203289,0.23926,0.0257783,0.315018,0.535643,-0.966899,0.00128447,-8.46983e-05,0.000156174,0.0012967,1.12638,0,0,0,0,6.85945
19,0.503771,0,1.44634,-0,6.04467e-08,0,0,0,0,0,0,0.217725,0.23926,0.0273529,0.32465,0.578534,-0.881116,0.00123484,-1.19996e-05,0.000125803,0.00124129,1.12671,0,0,0,0,7.04877
20,0.541189,0,1.55321,-0,6.0433e-08,0,0,0,0,0,0,0.233622,0.23926,0.0288492,0.335644,0.621286,-0.795614,0.00123702,4.88153e-05,0.000104868,0.00124242,1.12637,0,0,0,0,7.38219
21,0.571818,0,1.64226,-0,6.04685e-08,0,0,0,0,0,0,0.250939,0.23926,0.030245,0.348038,0.656906,-0.724373,0.00116101,7.5128e-05,8.24489e-05,0.00116636,1.12725,0,0,0,0,7.41565
