Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,0.824145,0,2.36968,-0,6.05225e-08,0,0,0,0,0,0,0.561416,0.526372,-0.0317909,0.770238,0.947874,-0.142437,0.00126994,-6.04772e-05,8.61066e-06,0.00127141,1.12858,0,0,0,0,9.49677
1,0.833345,0,2.39666,-0,6.05324e-08,0,0,0,0,0,0,0.539112,0.526372,-0.0318223,0.754137,0.958663,-0.120859,0.00127325,-5.83095e-05,-6.12967e-06,0.0012746,1.12883,0,0,0,0,9.53823
2,0.843849,0,2.42749,-0,6.0544e-08,0,0,0,0,0,0,0.517279,0.526372,-0.0316114,0.738677,0.970995,-0.0961955,0.00127156,-5.3701e-05,-1.98927e-05,0.00127284,1.12912,0,0,0,0,9.56322
3,0.854978,0,2.46017,-0,6.05565e-08,0,0,0,0,0,0,0.496047,0.526372,-0.0311875,0.72395,0.984069,-0.0700476,0.00126825,-4.75347e-05,-3.25548e-05,0.00126956,1.12942,0,0,0,0,9.57816
4,0.866211,0,2.49318,-0,6.05689e-08,0,0,0,0,0,0,0.475543,0.526372,-0.030581,0.710031,0.997271,-0.0436429,0.00126568,-4.05988e-05,-4.43968e-05,0.00126711,1.12973,0,0,0,0,9.59197
5,0.946546,0,2.73113,-0,6.06815e-08,0,0,0,0,0,0,0.953403,0.526372,0,1.08906,1.09245,0.146717,7.81007e-06,2.7877e-05,-0.000331175,0.000332437,1.13252,0,0,0,0,5.03696
6,0.940538,0,2.71198,-0,6.06511e-08,0,0,0,0,0,0,0.944321,0.526372,-0.00123603,1.08112,1.08479,0.131402,0.000769361,0.000145529,9.80332e-05,0.000789117,1.13177,0,0,0,0,7.70333
7,0.877292,0,2.52574,-0,6.0581e-08,0,0,0,0,0,0,0.455883,0.526372,-0.0298183,0.696984,1.0103,-0.0175939,0.00126569,-3.34375e-05,-5.59929e-05,0.00126737,1.13003,0,0,0,0,9.60669
8,0.329941,0,0.9401,-0,6.01087e-08,0,0,0,0,0,0,0.322629,0.526372,0.0169642,0.617612,0.37604,-1.28611,0.00271988,-0.000787235,0.000800097,0.00294239,1.11836,0,0,0,0,7.86336
9,0.307546,0,0.874239,-0,6.00023e-08,0,0,0,0,0,0,0.330282,0.526372,0.0185091,0.621688,0.349696,-1.33879,0.00255708,-0.000709917,0.000536048,0.0027074,1.11574,0,0,0,0,7.54501
10,0.316402,0,0.897747,-0,5.99183e-08,0,0,0,0,0,0,0.339181,0.526372,0.0199321,0.626505,0.359099,-1.31999,0.00248655,-0.000629817,0.000432634,0.0026013,1.11368,0,0,0,0,7.69089
