Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,0.850493,0,2.44951,-0,6.05981e-08,0,0,0,0,0,0,1.04611,1.14845,-0.00988056,1.55351,0.979802,-0.0785805,0.00102513,0.000217971,9.95081e-05,0.00105276,1.13046,0,0,0,0,8.54523
1,0.849271,0,2.44589,-0,6.05964e-08,0,0,0,0,0,0,1.04215,1.14845,-0.010292,1.55084,0.978355,-0.0814736,0.00102966,0.000218971,9.83887e-05,0.00105728,1.13041,0,0,0,0,8.56567
2,0.845618,0,2.43505,-0,6.05903e-08,0,0,0,0,0,0,1.02998,1.14845,-0.0114986,1.5427,0.974019,-0.0901457,0.00104338,0.000222413,9.55085e-05,0.00107109,1.13026,0,0,0,0,8.62503
3,0.841833,0,2.42379,-0,6.05836e-08,0,0,0,0,0,0,1.01711,1.14845,-0.0127224,1.53414,0.969516,-0.0991534,0.00105784,0.000225775,9.30154e-05,0.00108566,1.1301,0,0,0,0,8.67879
4,0.837511,0,2.41094,-0,6.0576e-08,0,0,0,0,0,0,1.00357,1.14845,-0.0139594,1.52521,0.964378,-0.109429,0.00107275,0.000229191,9.07163e-05,0.00110071,1.12991,0,0,0,0,8.72956
5,0.832331,0,2.39557,-0,6.05672e-08,0,0,0,0,0,0,0.989407,1.14845,-0.0152024,1.51595,0.958228,-0.121728,0.00109002,0.000232916,8.84593e-05,0.00111813,1.12969,0,0,0,0,8.77847
6,0.826008,0,2.37684,-0,6.0557e-08,0,0,0,0,0,0,0.974687,1.14845,-0.0164383,1.50639,0.950737,-0.136711,0.00111114,0.000236571,8.59262e-05,0.00113929,1.12944,0,0,0,0,8.83505
7,0.849624,0,2.44952,-0,6.06451e-08,0,0,0,0,0,0,1.1277,1.14845,0,1.60955,0.979808,-0.0785692,1.30188e-05,4.64956e-05,-0.000617389,0.000619274,1.13162,0,0,0,0,6.39995
8,0.865875,0,2.49467,-0,6.06141e-08,0,0,0,0,0,0,1.12118,1.14845,-0.000887687,1.60499,0.997869,-0.042446,0.00109957,0.000248237,0.000138598,0.00113573,1.13085,0,0,0,0,8.78064
9,0.86697,0,2.49796,-0,6.06165e-08,0,0,0,0,0,0,1.11449,1.14845,-0.0017778,1.60032,0.999184,-0.0398165,0.000965136,0.000206892,0.00011962,0.000994285,1.13091,0,0,0,0,8.21351
