"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.455922249,      -9.280824176,      -10.07188228,      -10.04678606,      -3.846666929,      -11.49802438
          0,           0,           1,      -4.887486235,      -4.821526129,      -5.333957775,      -4.565409871,      -4.260547744,      -11.53409261
          0,           0,           2,      -4.927572471,      -4.775215956,      -5.122195917,      -4.835144745,      -4.307828098,      -11.44609168
          0,           0,           3,       -5.00413638,      -4.825918905,      -5.023906736,      -4.854875769,      -4.406528166,      -11.47683911
          0,           0,           4,      -4.993669185,      -4.843334924,      -4.979938974,      -4.823886501,      -4.401370466,      -11.50579965
          0,           0,           5,      -4.995886775,      -4.847744974,      -4.956732656,       -4.80370436,       -4.40023504,      -11.48796585
          0,           0,           6,      -5.018700293,      -4.853694896,       -4.93430717,      -4.800177248,      -4.420013465,      -11.48274802
          0,           0,           7,      -5.043131593,      -4.857926555,      -4.914002562,      -4.809883486,      -4.443187476,      -11.46983246
          0,           0,           8,      -5.055944334,      -4.858312375,      -4.902763845,      -4.825163814,      -4.454366743,      -11.44543755
          0,           0,           9,      -5.058722021,      -4.857942529,      -4.902846762,       -4.83777647,       -4.45312789,      -11.41678375
          0,           0,          10,      -5.060038552,      -4.860755257,      -4.910159509,      -4.845795176,      -4.449465382,      -11.38151417
          0,           0,          11,       -5.06540796,      -4.868519106,      -4.919630499,      -4.852945624,      -4.450950671,      -11.33582918
          0,           0,          12,      -5.075408708,      -4.881429951,      -4.928751913,      -4.863282378,      -4.458998075,      -11.27435548
          0,           0,          13,       -5.08831705,      -4.899009894,      -4.937902402,      -4.878537103,      -4.471672049,      -11.19529096
          0,           0,          14,      -5.102299023,      -4.920364636,      -4.948504933,      -4.898061729,      -4.486233953,      -11.10102923
          0,           0,          15,      -5.115913012,      -4.944192394,       -4.96174448,      -4.919757249,      -4.500156424,      -10.99863056
          0,           0,          16,      -5.129396543,      -4.969710793,      -4.977658105,       -4.94226857,      -4.512896855,      -10.89863692
          0,           0,          17,      -5.143564766,       -4.99627623,       -4.99638829,      -4.964129604,      -4.525601612,      -10.80625462
          0,           0,          18,      -5.158470743,      -5.023932202,      -5.017900571,      -4.984627248,      -4.539216841,      -10.71675798
          0,           0,          19,       -5.17399531,      -5.052801775,      -5.041381625,      -5.004965264,      -4.554066685,       -10.6267413
          0,           0,          20,      -5.191735184,      -5.084048255,      -5.066603874,      -5.025717365,      -4.572217724,      -10.53567574
          0,           0,          21,      -5.210411056,      -5.117815101,      -5.092786881,      -5.047581064,       -4.59212013,      -10.44112003
          0,           0,          22,      -5.227296941,       -5.15360654,      -5.119256881,      -5.070869721,      -4.610733599,      -10.34514014
          0,           0,          23,      -5.242063166,      -5.190945591,      -5.145513275,      -5.095465303,      -4.627215123,      -10.24901684
          0,           0,          24,      -5.254599926,       -5.22905411,      -5.171340669,      -5.121132075,      -4.640914975,       -10.1624612
          0,           0,          25,      -5.265594685,      -5.267423793,      -5.196799939,      -5.147776028,      -4.652317638,      -10.08432485
          0,           0,          26,      -5.276628527,      -5.305959037,      -5.222091957,      -5.175406065,      -4.663236848,      -10.01626963
          0,           0,          27,      -5.289487346,      -5.344625301,      -5.247493704,      -5.204125254,      -4.675828313,      -9.952777581
          0,           0,          28,      -5.304976549,      -5.383085545,      -5.273364103,      -5.234085952,      -4.691097724,       -9.90450979
          0,           0,          29,      -5.323702086,      -5.421325725,      -5.300148754,      -5.265478174,      -4.709599165,       -9.87100814
          0,           0,          30,      -5.345006905,       -5.45899371,      -5.328303412,      -5.298618528,      -4.730656006,      -9.842103709
          0,           0,          31,      -5.370312787,      -5.495453207,      -5.358214169,      -5.333788048,      -4.755709597,      -9.819307197
          0,           0,          32,      -5.398952052,      -5.531057461,      -5.390134798,       -5.37129511,      -4.784236149,      -9.802149087
          0,           0,          33,      -5.431413523,      -5.565932887,      -5.424171625,      -5.411267456,      -4.816703231,      -9.789935084
          0,           0,          34,      -5.468100863,      -5.599848311,      -5.460337857,      -5.453834542,      -4.853559445,      -9.781827184
          0,           0,          35,      -5.507635481,      -5.633725164,      -5.498543624,      -5.499045527,      -4.893403752,      -9.777083559
          0,           0,          36,       -5.55003921,      -5.667972206,      -5.538612263,      -5.546791916,      -4.936226356,      -9.774335003
