"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
0, 9.997500181200000e-01, -3.633228550030646e-05, 1.435083341220744e-01, -4.223039898720000e-01, -9.467741399478086e-02, 1.369676329314179e-01, 0.000000000000000e+00, 0.000000000000000e+00, -1.290603067477450e+00
1, 9.990000128750000e-01, -1.454633389843079e-04, -1.159696712651676e-01, 1.027536434533468e-01, -7.980490390330423e-02, -2.005041040658860e-02, 0.000000000000000e+00, 0.000000000000000e+00, 6.694361541649878e-01
2, 9.977599978450000e-01, -3.274087222641381e-04, -1.229194782175803e-01, 1.293014683244120e-01, -1.015404305384711e-01, -2.422081559644649e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.778065785299679e-02
3, 9.960200190539999e-01, -5.893938985080824e-04, -1.344247902164759e-01, 1.505857358775401e-01, -1.035430720618890e-01, -2.895802156096158e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.415204662301742e-02
4, 9.937800168990000e-01, -9.451650727582735e-04, -1.475088342384747e-01, 1.737301066394592e-01, -1.129110769655279e-01, -3.435253398711834e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.220131446082502e-02
5, 9.910500049590000e-01, -1.416750770919387e-03, -1.519532733805021e-01, 1.831939878117309e-01, -1.263749812906471e-01, -3.618396209192438e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.724735109759348e-02
6, 9.878399968150000e-01, -2.033327972274196e-03, -1.501169242966160e-01, 1.838244838160939e-01, -1.441031204212430e-01, -3.623512728208629e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.285651207344113e-02
7, 9.841300249100000e-01, -2.829666943889619e-03, -1.402511462797147e-01, 1.732066366717454e-01, -1.649303508939730e-01, -3.410033231227938e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.943995698406416e-02
8, 9.799500107769999e-01, -3.817124794380972e-03, -1.209489343809364e-01, 1.494344701063163e-01, -1.863242839186131e-01, -2.949356212287330e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.563221208582571e-02
9, 9.752799868580000e-01, -4.992685948932402e-03, -9.214619619022428e-02, 1.124814615373172e-01, -2.046837039639680e-01, -2.240280211633365e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.092063970389629e-02
10, 9.701499938960000e-01, -6.310796381260407e-03, -5.585108916992028e-02, 6.525046738777385e-02, -2.161563555807582e-01, -1.332710465664409e-02, 0.000000000000000e+00, 0.000000000000000e+00, 6.005424835360958e-03
11, 9.645400047300000e-01, -7.714975848546637e-03, -1.635910461653503e-02, 1.358234822994257e-02, -2.177293605539641e-01, -3.357849600919817e-03, 0.000000000000000e+00, 0.000000000000000e+00, 9.826195115759434e-04
12, 9.584699869160000e-01, -9.132470326653951e-03, 1.974493256692487e-02, -3.406067833297555e-02, -2.086441565905202e-01, 5.846480850378833e-03, 0.000000000000000e+00, 0.000000000000000e+00, -3.178997927224076e-03
13, 9.519400000570000e-01, -1.051001058016749e-02, 4.582179303251735e-02, -6.933666674590448e-02, -1.915573031785465e-01, 1.252093993761132e-02, 0.000000000000000e+00, 0.000000000000000e+00, -4.217562162882558e-03
14, 9.449599981310000e-01, -1.182086595087610e-02, 5.838399844583646e-02, -8.777421797579198e-02, -1.716210130148104e-01, 1.571629301250933e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.896804244532132e-03
15, 9.375399947170000e-01, -1.306963604678852e-02, 5.926109990590091e-02, -9.127724899708335e-02, -1.539867766473144e-01, 1.587350661843477e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.419599867855241e-03
16, 9.296900033950000e-01, -1.428313955358533e-02, 5.412051216782026e-02, -8.648698180679099e-02, -1.416054856140740e-01, 1.444378601418137e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.394403471771662e-03
17, 9.214000105860000e-01, -1.549893163565587e-02, 4.850164962082784e-02, -8.024420814809032e-02, -1.346383772626212e-01, 1.291047796262744e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.818847519480781e-03
18, 9.126999974250000e-01, -1.674386415911771e-02, 4.584791895810141e-02, -7.696347309827718e-02, -1.318065311807601e-01, 1.213635127867860e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.428035234851719e-03
19, 9.035800099370001e-01, -1.803891354398791e-02, 4.698571819336649e-02, -7.793830014358168e-02, -1.312800347467102e-01, 1.237018233125279e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.832970499506127e-03
20, 8.940600156780000e-01, -1.938813921025660e-02, 5.155723840089629e-02, -8.291991234720356e-02, -1.315888432919835e-01, 1.348809184455313e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.178049616220911e-03
21, 8.841500282290000e-01, -2.078757699195316e-02, 5.854681713767729e-02, -9.077971959604222e-02, -1.317769337269796e-01, 1.523520293168785e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.617595968303570e-03
22, 8.738499879840000e-01, -2.222973748417632e-02, 6.683728173652116e-02, -1.002281092369799e-01, -1.313558878872731e-01, 1.732795953943761e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.242414343738683e-03
23, 8.631799817090000e-01, -2.370320098739601e-02, 7.566849287905199e-02, -1.103314806796421e-01, -1.303119609339713e-01, 1.954483032757656e-02, 0.000000000000000e+00, 0.000000000000000e+00, 9.849818164822377e-04
24, 8.521599769590000e-01, -2.519786168877333e-02, 8.442403852863717e-02, -1.203658828199616e-01, -1.287081459132375e-01, 2.175536075113373e-02, 0.000000000000000e+00, 0.000000000000000e+00, 8.881257343151508e-04
25, 8.407700061800000e-01, -2.671101281369787e-02, 9.296794030174001e-02, -1.301295253879886e-01, -1.267913107188770e-01, 2.389497382581980e-02, 0.000000000000000e+00, 0.000000000000000e+00, 8.415280485708475e-04
26, 8.290500044819999e-01, -2.823376350768971e-02, 1.011991526762625e-01, -1.395095837099047e-01, -1.246677618993204e-01, 2.597028517733662e-02, 0.000000000000000e+00, 0.000000000000000e+00, 8.415425336336131e-04
27, 8.170099854470000e-01, -2.976257761861819e-02, 1.092544104458593e-01, -1.486463942946579e-01, -1.224586434146302e-01, 2.799761190129013e-02, 0.000000000000000e+00, 0.000000000000000e+00, 8.196278809336000e-04
28, 8.046399950980000e-01, -3.129696834344453e-02, 1.172714674276222e-01, -1.576888329826354e-01, -1.202081233856917e-01, 3.001246702672244e-02, 0.000000000000000e+00, 0.000000000000000e+00, 7.184192347235150e-04
29, 7.919700145720000e-01, -3.283155332436686e-02, 1.253339155347750e-01, -1.667537042621670e-01, -1.178953615321531e-01, 3.204765255405043e-02, 0.000000000000000e+00, 0.000000000000000e+00, 5.648152360269424e-04
30, 7.790099978450000e-01, -3.436336588512023e-02, 1.335734923518710e-01, -1.759654451717136e-01, -1.155474467386316e-01, 3.411237974282325e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.015855928292735e-04
31, 7.657799720760000e-01, -3.588804061995578e-02, 1.419439299477129e-01, -1.852959882307250e-01, -1.130971520981383e-01, 3.622104708634557e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.625720869121989e-04
32, 7.522799968720000e-01, -3.740330865428344e-02, 1.504800416009153e-01, -1.947712605224466e-01, -1.105573999436256e-01, 3.836507440341905e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.120280512687362e-04
33, 7.385200262070000e-01, -3.890555114849012e-02, 1.590637987470552e-01, -2.042714963442582e-01, -1.078647780174995e-01, 4.053766112927243e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.888986397853850e-04
34, 7.245299816130000e-01, -4.038898162912546e-02, 1.677049061486118e-01, -2.137987016050185e-01, -1.050385202484459e-01, 4.271731103870884e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.909635813304564e-04
35, 7.103199958800001e-01, -4.185007054007916e-02, 1.763187287686517e-01, -2.232642825783944e-01, -1.020398615393865e-01, 4.489779934059747e-02, 0.000000000000000e+00, 0.000000000000000e+00, 4.408680576327484e-04
36, 6.958900094030001e-01, -4.328635329563984e-02, 1.849672564938037e-01, -2.327306834047198e-01, -9.890827607913169e-02, 4.707908137364450e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.976558494262334e-04
37, 6.812700033190000e-01, -4.469250129904087e-02, 1.936292623068611e-01, -2.421791662156909e-01, -9.561561007563046e-02, 4.926833320528948e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.306944256539154e-04
38, 6.664699912070000e-01, -4.606541734549046e-02, 2.023111966330787e-01, -2.516137384679024e-01, -9.219724209174011e-02, 5.145673211825653e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.642631720235968e-05
39, 6.514999866490000e-01, -4.740216958767494e-02, 2.109092135140283e-01, -2.609236436381499e-01, -8.862931859534179e-02, 5.362935143739745e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.063167419958312e-05
40, 6.363800168040000e-01, -4.869916105591070e-02, 2.194145030914095e-01, -2.701011260463859e-01, -8.494417634308901e-02, 5.577388412032645e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.288642684050577e-06
41, 6.211299896240000e-01, -4.995312711169627e-02, 2.277640655569924e-01, -2.790796586240999e-01, -8.112417688216192e-02, 5.788467487325287e-02, 0.000000000000000e+00, 0.000000000000000e+00, 2.263161168739092e-04
42, 6.057599782940000e-01, -5.116187989748347e-02, 2.359887971558302e-01, -2.878912314590402e-01, -7.720368540550743e-02, 5.995922660247073e-02, 0.000000000000000e+00, 0.000000000000000e+00, 3.712695215085523e-04
43, 5.902799963950000e-01, -5.232340746703865e-02, 2.440507852947977e-01, -2.964964579350414e-01, -7.316334939850103e-02, 6.199784823889781e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.719233818460675e-06
44, 5.747100114820000e-01, -5.343516069925093e-02, 2.519772599598377e-01, -3.049280963314946e-01, -6.903189941795740e-02, 6.399799984674695e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.857147588615840e-04
45, 5.590599775310000e-01, -5.449553152856326e-02, 2.597073884703254e-01, -3.131203833362777e-01, -6.479075856920211e-02, 6.595182356833537e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.664897843319110e-03
46, 5.433599948880000e-01, -5.550176842381749e-02, 2.672501248067023e-01, -3.210936283936026e-01, -6.046583084729512e-02, 6.785491615063102e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.578138084645742e-04
47, 5.276100039480000e-01, -5.645326580366419e-02, 2.745635962178130e-01, -3.287972502665073e-01, -5.603346390340690e-02, 6.970199680269408e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.248002915260212e-04
48, 5.118399858470000e-01, -5.734767488599539e-02, 2.816180786129397e-01, -3.361998685492467e-01, -5.150458300543048e-02, 7.147519088525488e-02, 0.000000000000000e+00, 0.000000000000000e+00, -2.977128336499390e-03
49, 4.960500001910000e-01, -5.818449495114757e-02, 2.880883106057729e-01, -3.429790676652619e-01, -4.683644136501040e-02, 7.309993756075571e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.552579923951513e-02
