"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.633242182051664e-05, 1.321694341301827e+00, 6.900360249587111e-01, 1.003821781943657e-01, 3.779756922598747e+00
1, 9.990000128750000e-01, -1.454719494968712e-04, 1.190726782321369e+00, 6.956850092494142e-01, 1.017894969666337e-01, 3.417179712698050e+00
2, 9.977599978450000e-01, -3.275032247736866e-04, 1.182938053612771e+00, 7.469624413154635e-01, 1.114011010558757e-01, 3.404786909854330e+00
3, 9.960200190539999e-01, -5.899047274213789e-04, 1.170808609785960e+00, 7.653316907960647e-01, 1.191289701015973e-01, 3.374902175043900e+00
4, 9.937800168990000e-01, -9.470137413548164e-04, 1.163675370798443e+00, 7.723215286710690e-01, 1.292846044481124e-01, 3.356864187123795e+00
5, 9.910500049590000e-01, -1.421872091427458e-03, 1.158805464031699e+00, 7.788061522081946e-01, 1.439598496293261e-01, 3.345181666617875e+00
6, 9.878399968150000e-01, -2.045007633240803e-03, 1.151587025375107e+00, 7.850115060379331e-01, 1.623123514964816e-01, 3.327211343855767e+00
7, 9.841300249100000e-01, -2.852676895462558e-03, 1.140693323818256e+00, 7.949587422703500e-01, 1.825851509312389e-01, 3.300096115780404e+00
8, 9.799500107769999e-01, -3.857169969463868e-03, 1.124768724038375e+00, 8.101311352570439e-01, 2.016623485089470e-01, 3.260392220129435e+00
9, 9.752799868580000e-01, -5.055677595335172e-03, 1.103866383114953e+00, 8.305679368832971e-01, 2.156381675455526e-01, 3.208217618517720e+00
10, 9.701499938960000e-01, -6.401522560372091e-03, 1.079167550970324e+00, 8.546232994514216e-01, 2.212799531759164e-01, 3.146440042233627e+00
11, 9.645400047300000e-01, -7.836484933398058e-03, 1.053285861100917e+00, 8.790475694644797e-01, 2.170600370252928e-01, 3.081480451621716e+00
12, 9.584699869160000e-01, -9.285624440181606e-03, 1.030662345253009e+00, 9.002260901841816e-01, 2.041678031547624e-01, 3.024592828287328e+00
13, 9.519400000570000e-01, -1.069411736804546e-02, 1.015031020376376e+00, 9.156425678582979e-01, 1.863179107708382e-01, 2.985289993431397e+00
14, 9.449599981310000e-01, -1.203468064761234e-02, 1.007351742172732e+00, 9.246962364714617e-01, 1.681393728817347e-01, 2.966020162471470e+00
15, 9.375399947170000e-01, -1.331249924510413e-02, 1.005778097957327e+00, 9.284342457928207e-01, 1.532856793049076e-01, 2.962084211555001e+00
16, 9.296900033950000e-01, -1.455577627360504e-02, 1.007236324237824e+00, 9.289448625246984e-01, 1.433881827630711e-01, 2.965732402894448e+00
17, 9.214000105860000e-01, -1.580380210680369e-02, 1.008963444651580e+00, 9.283390370025414e-01, 1.381880722839171e-01, 2.970021785665355e+00
18, 9.126999974250000e-01, -1.708482663075397e-02, 1.009246484745661e+00, 9.280980920704518e-01, 1.363059527300591e-01, 2.970648542259422e+00
19, 9.035800099370001e-01, -1.842095237019183e-02, 1.007531810623294e+00, 9.288708372506813e-01, 1.361390296918233e-01, 2.966222118040542e+00
20, 8.940600156780000e-01, -1.981677700183127e-02, 1.004032698439700e+00, 9.307173101511217e-01, 1.364032608929795e-01, 2.957288864788532e+00
21, 8.841500282290000e-01, -2.126855478948263e-02, 9.992803720307947e-01, 9.333423798236835e-01, 1.363332333342588e-01, 2.945182770029332e+00
22, 8.738499879840000e-01, -2.276885383972049e-02, 9.938287383966623e-01, 9.363691608571136e-01, 1.356338332455815e-01, 2.931292917540777e+00
23, 8.631799817090000e-01, -2.430608305476881e-02, 9.881194234509079e-01, 9.395092467289703e-01, 1.343215306814331e-01, 2.916736425799640e+00
24, 8.521599769590000e-01, -2.586987226132591e-02, 9.823993937821520e-01, 9.425616970915688e-01, 1.325445632277450e-01, 2.902130500898232e+00
25, 8.407700061800000e-01, -2.745741036586283e-02, 9.767671646613519e-01, 9.454583266526349e-01, 1.304786040704478e-01, 2.887727563094845e+00
26, 8.290500044819999e-01, -2.905917935599313e-02, 9.712122227521552e-01, 9.481878886433268e-01, 1.282449861878302e-01, 2.873499811567947e+00
27, 8.170099854470000e-01, -3.067101767642018e-02, 9.656810587080910e-01, 9.507852647806354e-01, 1.259103075558659e-01, 2.859315025195317e+00
28, 8.046399950980000e-01, -3.229174080054822e-02, 9.601136247833246e-01, 9.532601659923091e-01, 1.234880303085222e-01, 2.845015097874091e+00
29, 7.919700145720000e-01, -3.391476664721422e-02, 9.544874620137219e-01, 9.556381407631068e-01, 1.209598416496790e-01, 2.830546460500769e+00
30, 7.790099978450000e-01, -3.553585620047248e-02, 9.487948465479615e-01, 9.579427623644260e-01, 1.183018897939716e-01, 2.815894661906928e+00
31, 7.657799720760000e-01, -3.714912640521666e-02, 9.430045218174142e-01, 9.601554964870532e-01, 1.154821960707435e-01, 2.800970276021085e+00
32, 7.522799968720000e-01, -3.875079297334838e-02, 9.370900981904524e-01, 9.622775228061471e-01, 1.124815817777440e-01, 2.785703326741114e+00
33, 7.385200262070000e-01, -4.033556873380727e-02, 9.310832480747038e-01, 9.643091539854580e-01, 1.092908894758853e-01, 2.770179028454939e+00
34, 7.245299816130000e-01, -4.189586718330579e-02, 9.250550256081158e-01, 9.662215859613705e-01, 1.059060886395934e-01, 2.754578698785354e+00
