"EVALUATION"    , "DRAG"          , "EFFICIENCY"    , "FORCE_X"       , "FORCE_Y"       , "FORCE_Z"       , "LIFT"          , "MOMENT_X"      , "MOMENT_Y"      , "MOMENT_Z"      , "SIDEFORCE"     , "Time_Iter"     , "Outer_Iter"    , "Inner_Iter"    , "RMS_DENSITY"   , "RMS_MOMENTUM-X", "RMS_MOMENTUM-Y", "RMS_ENERGY"    , "RefForce"      
1               , 0.02148054548   , 15.29226589     , 0.01430954472   , 0.3288766378    , 0.0             , 0.328486213     , 0.0             , 0.0             , 0.03411494339   , 0.0             , 0.0             , 0.0             , 469.0           , -13.02268866    , -13.39980278    , -13.61791729    , -12.46044495    , 0.448           
2               , 0.009219632261  , 26.04165955     , 0.003979803788  , 0.2402385138    , 0.0             , 0.2400945245    , 0.0             , 0.0             , 0.001976291275  , 0.0             , 0.0             , 0.0             , 453.0           , -13.00924988    , -13.64129789    , -13.51499248    , -12.44938874    , 0.448           
3               , 0.004102001892  , -1.386445982    , 0.004225091429  , -0.005596365942 , 0.0             , -0.005687204042 , 0.0             , 0.0             , -0.03642960619  , 0.0             , 0.0             , 0.0             , 577.0           , -13.00302938    , -13.60525802    , -13.45935359    , -12.45068587    , 0.448           
4               , 0.002758595219  , 11.11524248     , 0.002089040822  , 0.03071533637   , 0.0             , 0.03066245477   , 0.0             , 0.0             , -0.03393039318  , 0.0             , 0.0             , 0.0             , 566.0           , -13.00252771    , -13.71541431    , -13.50199937    , -12.448667      , 0.448           
5               , 0.01152670796   , 15.30415815     , 0.007675676053  , 0.1766160354    , 0.0             , 0.1764065616    , 0.0             , 0.0             , -0.008691347511 , 0.0             , 0.0             , 0.0             , 572.0           , -13.00615945    , -13.85326167    , -13.535167      , -12.45484366    , 0.448           
6               , 0.002284862825  , 20.59187414     , 0.001257937306  , 0.04708825521   , 0.0             , 0.04704960772   , 0.0             , 0.0             , -0.03304920374  , 0.0             , 0.0             , 0.0             , 558.0           , -13.00038125    , -13.66424268    , -13.50202649    , -12.4476055     , 0.448           
7               , 0.03867490957   , 6.088904382     , 0.03352856613   , 0.2362754753    , 0.0             , 0.2354878263    , 0.0             , 0.0             , 0.02814458719   , 0.0             , 0.0             , 0.0             , 579.0           , -13.01439349    , -13.83712054    , -13.54892522    , -12.4651398     , 0.448           
8               , 0.00164880697   , 47.13465588     , -4.694989736e-05, 0.07773342337   , 0.0             , 0.07771594912   , 0.0             , 0.0             , -0.03129708288  , 0.0             , 0.0             , 0.0             , 619.0           , -13.0016777     , -13.8910636     , -13.47228272    , -12.45000108    , 0.448           
9               , 0.07688454235   , 3.15354558      , 0.07157703269   , 0.2440784374    , 0.0             , 0.2424589086    , 0.0             , 0.0             , 0.06108006384   , 0.0             , 0.0             , 0.0             , 408.0           , -13.00694114    , -13.37738042    , -13.55178699    , -12.44761943    , 0.448           
10              , 0.001989266219  , 64.27176845     , -0.0008003200191, 0.1278666277    , 0.0             , 0.1278536578    , 0.0             , 0.0             , -0.0250681581   , 0.0             , 0.0             , 0.0             , 550.0           , -13.00903626    , -13.92356263    , -13.51684884    , -12.4586254     , 0.448           
11              , 0.001571149941  , 52.6651272      , -0.0002342925001, 0.08275939493   , 0.0             , 0.0827448115    , 0.0             , 0.0             , -0.03095545162  , 0.0             , 0.0             , 0.0             , 577.0           , -13.01233598    , -13.924535      , -13.59808032    , -12.46179721    , 0.448           
12              , 0.03429918486   , 6.749039723     , 0.02924116987   , 0.2321797063    , 0.0             , 0.2314865611    , 0.0             , 0.0             , 0.03132005256   , 0.0             , 0.0             , 0.0             , 494.0           , -13.00071573    , -13.81304181    , -13.52571259    , -12.45166135    , 0.448           
13              , 0.001336986871  , 83.34322484     , -0.0010941377   , 0.1114314465    , 0.0             , 0.1114287974    , 0.0             , 0.0             , -0.02796295775  , 0.0             , 0.0             , 0.0             , 563.0           , -13.00483873    , -13.72588751    , -13.5798594     , -12.45547281    , 0.448           
14              , 0.001566857028  , 74.15572534     , -0.0009682182982, 0.1161979498    , 0.0             , 0.1161914194    , 0.0             , 0.0             , -0.02597930829  , 0.0             , 0.0             , 0.0             , 571.0           , -13.0021371     , -13.86665577    , -13.54040699    , -12.45294419    , 0.448           
