"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      
          0,           0,           0,      -5.106395274,      -5.023897789,      -5.724685802,      -4.510013067,             0.448,      0.0195557879,      0.3256590171,                 0,                 0,                 0,     0.09976961167,     0.01543583622,      0.3258802836,                 0,       16.65282006
          0,           0,           1,       -5.37531277,      -5.192800651,      -5.244934514,      -4.773277544,             0.448,     0.01781342436,      0.3254201678,                 0,                 0,                 0,     0.09836406003,     0.01369663258,      0.3256194189,                 0,       18.26825439
          0,           0,           2,      -5.304318454,      -5.214463294,      -5.361601369,      -4.716602393,             0.448,     0.01741015081,      0.3262156479,                 0,                 0,                 0,     0.09806036987,     0.01328333139,      0.3264097354,                 0,       18.73709489
          0,           0,           3,      -5.273900107,      -5.301471195,      -5.307566567,      -4.688214798,             0.448,     0.01755809302,      0.3254258327,                 0,                 0,                 0,     0.09835946109,     0.01344125002,      0.3256218543,                 0,       18.53423559
          0,           0,           4,      -5.236757068,      -5.316815553,      -5.288935926,      -4.659986154,             0.448,     0.01731471247,      0.3250094402,                 0,                 0,                 0,     0.09827438209,     0.01320315477,      0.3252024172,                 0,       18.77070963
          0,           0,           5,      -5.223304011,      -5.331952112,      -5.338336247,      -4.654554223,             0.448,      0.0171166034,      0.3253091872,                 0,                 0,                 0,     0.09827944102,     0.01300127084,      0.3254996349,                 0,       19.00547554
          0,           0,           6,      -5.206436874,       -5.44041375,      -5.376785809,      -4.640807218,             0.448,     0.01696395705,       0.325218497,                 0,                 0,                 0,      0.0982004728,      0.0128497836,      0.3254070215,                 0,       19.17114597
          0,           0,           7,       -5.19258334,      -5.458685586,      -5.354221031,      -4.627849955,             0.448,     0.01684366508,      0.3251444665,                 0,                 0,                 0,     0.09819199695,     0.01273043745,      0.3253314757,                 0,       19.30366491
          0,           0,           8,      -5.176074356,      -5.418232625,      -5.360260712,      -4.613473064,             0.448,     0.01672333204,      0.3252785076,                 0,                 0,                 0,     0.09825732763,     0.01260841892,      0.3254639843,                 0,       19.45057999
          0,           0,           9,      -5.167817583,      -5.446929156,      -5.386293656,      -4.607038601,             0.448,     0.01658438276,      0.3254397633,                 0,                 0,                 0,     0.09829663544,     0.01246744145,        0.32562347,                 0,       19.62326654
          0,           0,          10,      -5.161864543,      -5.479473363,      -5.409541002,      -4.600294865,             0.448,     0.01645445881,       0.325620513,                 0,                 0,                 0,     0.09832501277,     0.01233524207,      0.3258025621,                 0,       19.78919616
          0,           0,          11,      -5.158740485,      -5.488242451,      -5.421332219,      -4.596453126,             0.448,     0.01633719379,      0.3258655682,                 0,                 0,                 0,     0.09835488281,     0.01221488738,      0.3260461148,                 0,       19.94623878
          0,           0,          12,      -5.158572185,      -5.504469047,      -5.432143481,      -4.597102697,             0.448,     0.01622292853,      0.3261720403,                 0,                 0,                 0,     0.09837267052,     0.01209675552,      0.3263511174,                 0,       20.10562025
          0,           0,          13,      -5.159936991,      -5.523088875,      -5.449175608,      -4.599333314,             0.448,     0.01610861208,      0.3265185872,                 0,                 0,                 0,     0.09836997125,     0.01197806567,      0.3266961908,                 0,       20.26981503
          0,           0,          14,      -5.162701286,      -5.532222951,      -5.468569287,      -4.601855551,             0.448,     0.01599734137,      0.3268912952,                 0,                 0,                 0,     0.09834781984,     0.01186209048,      0.3270674618,                 0,       20.43410136
          0,           0,          15,      -5.165608399,      -5.529226089,      -5.486597788,      -4.603578557,             0.448,     0.01589229541,      0.3272774615,                 0,                 0,                 0,     0.09830639593,     0.01175216933,      0.3274522688,                 0,       20.59346703
          0,           0,          16,      -5.168687213,      -5.518187817,      -5.501681235,      -4.605516258,             0.448,      0.0157942024,      0.3276657785,                 0,                 0,                 0,     0.09824496426,     0.01164917338,      0.3278393143,                 0,       20.74595287
          0,           0,          17,      -5.173130113,      -5.503899622,      -5.515101684,      -4.609492335,             0.448,     0.01570406466,      0.3280572632,                 0,                 0,                 0,     0.09817031372,     0.01155409201,      0.3282296277,                 0,       20.88995876
          0,           0,          18,      -5.179029746,      -5.489058327,      -5.529576783,      -4.615455038,             0.448,     0.01562075907,      0.3284405775,                 0,                 0,                 0,     0.09808389781,     0.01146594556,      0.3286118579,                 0,       21.02590381
          0,           0,          19,      -5.186062869,      -5.475649645,      -5.547644774,      -4.622704874,             0.448,     0.01554326349,      0.3288081128,                 0,                 0,                 0,     0.09798505845,     0.01138380822,      0.3289783838,                 0,       21.15438067
          0,           0,          20,      -5.194375582,      -5.465088548,      -5.569803328,      -4.631294592,             0.448,     0.01547209213,      0.3291558554,                 0,                 0,                 0,     0.09787551399,     0.01130824488,      0.3293251985,                 0,       21.27416595
          0,           0,          21,      -5.203735511,        -5.4582331,      -5.595392358,      -4.641036637,             0.448,     0.01540870406,      0.3294822094,                 0,                 0,                 0,     0.09775926037,     0.01124073471,      0.3296507248,                 0,       21.38286309
          0,           0,          22,      -5.214449199,      -5.455261924,      -5.622850289,      -4.652207872,             0.448,     0.01535279278,      0.3297845788,                 0,                 0,                 0,     0.09763567745,     0.01118100404,       0.329952363,                 0,       21.48042923
          0,           0,          23,      -5.224149003,      -5.455761928,      -5.650612886,      -4.662134175,             0.448,     0.01530465425,      0.3300665268,                 0,                 0,                 0,     0.09750658434,     0.01112930376,      0.3302336797,                 0,       21.56641511
          0,           0,          24,      -5.232913735,      -5.458562309,      -5.675913805,      -4.671059424,             0.448,     0.01526476482,      0.3303259115,                 0,                 0,                 0,     0.09737380215,     0.01108613725,      0.3304925391,                 0,       21.63976421
          0,           0,          25,      -5.241293079,      -5.463325894,      -5.696621328,      -4.679548407,             0.448,     0.01523285827,       0.330560092,                 0,                 0,                 0,     0.09723763504,     0.01105127173,      0.3307262974,                 0,       21.70046396
          0,           0,          26,      -5.249111525,      -5.469888036,      -5.712771892,      -4.687324882,             0.448,     0.01520849334,      0.3307707093,                 0,                 0,                 0,     0.09709898524,     0.01102424522,      0.3309365898,                 0,       21.74907809
          0,           0,          27,      -5.256968524,       -5.47862703,       -5.72596412,      -4.695053869,             0.448,     0.01519226526,      0.3309524969,                 0,                 0,                 0,     0.09696162869,     0.01100571948,      0.3311181576,                 0,       21.78427584
          0,           0,          28,      -5.265346729,      -5.490132719,      -5.738617632,      -4.703291027,             0.448,     0.01518420941,      0.3311071552,                 0,                 0,                 0,     0.09682915183,     0.01099570843,      0.3312727016,                 0,       21.80601875
