"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    
          0,           0,           0,       -5.42510861,      -5.176832336,       -5.31350838,      -5.303746533
          0,           0,           1,       -5.14553548,      -5.078935166,      -5.069262975,       -5.49631658
          0,           0,           2,      -4.931431246,      -4.891118435,      -4.982233207,      -5.422316293
          0,           0,           3,      -4.856091874,      -4.810516974,      -4.934765744,      -5.368833116
          0,           0,           4,      -4.836859675,      -4.791925554,      -4.953981406,      -5.355282462
          0,           0,           5,      -4.858116128,       -4.80684494,      -4.999663186,      -5.377130777
          0,           0,           6,      -4.879605899,      -4.809874246,      -5.033124071,      -5.406274099
          0,           0,           7,      -4.881928266,      -4.794546235,      -5.053165531,      -5.425863291
          0,           0,           8,      -4.877342145,      -4.774930351,      -5.081835692,      -5.440476608
          0,           0,           9,      -4.872503008,      -4.756181375,      -5.120995654,      -5.453482508
          0,           0,          10,      -4.873018851,      -4.743873034,      -5.160322595,      -5.460408233
          0,           0,          11,      -4.880991666,      -4.737788044,      -5.181400482,      -5.460876824
          0,           0,          12,      -4.892483942,      -4.732823122,      -5.193782091,      -5.456172151
          0,           0,          13,      -4.903754448,      -4.726596504,       -5.20959469,      -5.449653381
          0,           0,          14,      -4.915714464,      -4.721288435,      -5.224253268,      -5.444904027
          0,           0,          15,      -4.930781614,      -4.719214532,      -5.233949971,      -5.443980606
          0,           0,          16,      -4.949618052,      -4.720687632,      -5.243607852,      -5.447750812
          0,           0,          17,      -4.971361012,      -4.725218002,      -5.258712288,      -5.456595706
          0,           0,          18,      -4.994789905,      -4.732686376,      -5.280560103,      -5.470910674
          0,           0,          19,      -5.018950685,      -4.743454721,      -5.307870526,        -5.4912816
          0,           0,          20,      -5.043509847,      -4.758198017,      -5.339104441,      -5.519197959
          0,           0,          21,      -5.067973773,      -4.777225535,      -5.377588918,      -5.561829188
          0,           0,          22,      -5.083798841,      -4.794835314,      -5.408846476,      -5.586642328
          0,           0,          23,      -5.103731364,      -4.819722512,      -5.421440478,      -5.617795381
          0,           0,          24,      -5.122674915,      -4.847140915,      -5.447988629,      -5.654934957
          0,           0,          25,      -5.146077385,      -4.880412986,      -5.475401194,      -5.693714668
          0,           0,          26,      -5.176028388,      -4.920376398,      -5.504171465,      -5.736663939
          0,           0,          27,      -5.212619132,      -4.966030406,      -5.541213649,      -5.781191568
          0,           0,          28,      -5.255901668,      -5.017030257,      -5.585944566,      -5.827513078
          0,           0,          29,      -5.305827932,      -5.073059074,      -5.634940338,      -5.875927554
          0,           0,          30,      -5.361438534,       -5.13343983,      -5.684619658,      -5.926025303
          0,           0,          31,      -5.420155426,      -5.196977521,      -5.730627313,      -5.976392615
          0,           0,          32,      -5.477440173,      -5.261621855,      -5.769349427,      -6.024772708
          0,           0,          33,      -5.525747152,      -5.323008623,      -5.800448987,      -6.069364875
          0,           0,          34,      -5.556474528,      -5.372700568,      -5.810368164,       -6.09295506
          0,           0,          35,      -5.575029024,      -5.410246022,      -5.827970714,      -6.121205421
          0,           0,          36,      -5.581137912,      -5.428822427,      -5.846602057,      -6.137550021
          0,           0,          37,      -5.578112908,      -5.426593819,       -5.86219504,      -6.145548746
          0,           0,          38,       -5.57365291,      -5.410446563,      -5.883081105,      -6.146319152
          0,           0,          39,      -5.572855908,      -5.389688797,      -5.903767129,      -6.141648975
          0,           0,          40,      -5.576917428,        -5.3693937,      -5.921010456,      -6.134602375
          0,           0,          41,      -5.587639147,      -5.353947701,      -5.937355246,       -6.12919894
          0,           0,          42,      -5.606117782,      -5.346325124,       -5.95230824,      -6.129702598
          0,           0,          43,      -5.633475935,      -5.348430966,      -5.969721844,      -6.146913544
          0,           0,          44,      -5.657097294,      -5.350811346,      -5.970444954,      -6.132045883
          0,           0,          45,      -5.689982428,      -5.367161597,      -5.975435463,       -6.15094649
          0,           0,          46,       -5.72470467,      -5.389177009,      -5.991639998,      -6.173019475
          0,           0,          47,        -5.7635561,      -5.420086586,      -6.010524342,      -6.202140343
          0,           0,          48,      -5.804469416,      -5.458978637,      -6.035110478,      -6.243259794
          0,           0,          49,      -5.844100786,      -5.502997191,       -6.06688964,      -6.289877854
          0,           0,          50,      -5.880469846,      -5.549514022,      -6.105625152,      -6.338951969
          0,           0,          51,      -5.913459842,      -5.596201301,      -6.149371412,      -6.388020822
          0,           0,          52,      -5.944435468,      -5.641045319,      -6.195313218,      -6.434703886
          0,           0,          53,      -5.975346392,      -5.682514798,      -6.241427137,      -6.476597227
          0,           0,          54,      -6.008247939,      -5.720235579,      -6.286122322,      -6.512234429
          0,           0,          55,      -6.044909891,      -5.755268711,      -6.327742515,      -6.542836192
          0,           0,          56,      -6.085757966,      -5.788922572,      -6.363905808,      -6.571279133
          0,           0,          57,      -6.125601755,      -5.818891107,      -6.384127586,      -6.591308795
          0,           0,          58,       -6.16369307,      -5.848234046,        -6.3923287,       -6.60193024
          0,           0,          59,      -6.206818432,      -5.884025395,      -6.410781998,      -6.631115179
          0,           0,          60,      -6.252653002,      -5.925551947,      -6.443059338,       -6.66712441
          0,           0,          61,      -6.302325477,       -5.97439339,      -6.476433033,      -6.711390657
          0,           0,          62,      -6.350009857,      -6.025898081,      -6.517181645,       -6.75983404
          0,           0,          63,      -6.390546141,      -6.075458392,      -6.567460346,      -6.806978559
