"VARIABLE"      , "GRADIENT"      , "FINDIFF_STEP"  
0               , -0.295988       , 0.001           
1               , -0.143758       , 0.001           
2               , -0.0276081      , 0.001           
3               , 0.049693        , 0.001           
4               , 0.0929025       , 0.001           
5               , 0.108906        , 0.001           
6               , 0.106024        , 0.001           
7               , 0.093321        , 0.001           
8               , 0.0792617       , 0.001           
9               , 0.0699728       , 0.001           
10              , 0.067887        , 0.001           
11              , 0.0716997       , 0.001           
12              , 0.0780232       , 0.001           
13              , 0.0839718       , 0.001           
14              , 0.0889523       , 0.001           
15              , 0.094431        , 0.001           
16              , 0.1026          , 0.001           
17              , 0.116637        , 0.001           
18              , 0.151783        , 0.001           
19              , -0.38122        , 0.001           
20              , 0.0259502       , 0.001           
21              , 0.270967        , 0.001           
22              , 0.37524         , 0.001           
23              , 0.37312         , 0.001           
24              , 0.299194        , 0.001           
25              , 0.183416        , 0.001           
26              , 0.0486485       , 0.001           
27              , -0.0896464      , 0.001           
28              , -0.221451       , 0.001           
29              , -0.338137       , 0.001           
30              , -0.427175       , 0.001           
31              , -0.468223       , 0.001           
32              , -0.436693       , 0.001           
33              , -0.324204       , 0.001           
34              , -0.175166       , 0.001           
35              , -0.0884193      , 0.001           
36              , -0.103255       , 0.001           
37              , -0.153112       , 0.001           
