"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
0, 9.997500181200000e-01, -3.632782399868595e-05, -1.632766722131938e+00, 3.417649591420981e+00, 1.124461737730591e-01, -7.544632299007893e-01, 0.000000000000000e+00, 0.000000000000000e+00, 2.464356278266788e+00
1, 9.990000128750000e-01, -1.451817062340958e-04, -8.096719636924156e-01, 1.589438473141585e+00, 2.291206271005170e-02, -2.581119894337806e-01, 0.000000000000000e+00, 0.000000000000000e+00, -2.028108568896735e+00
2, 9.977599978450000e-01, -3.243212254059720e-04, -7.258980941131540e-01, 1.304945668069703e+00, 4.242131239920015e-02, -2.182782153444514e-01, 0.000000000000000e+00, 0.000000000000000e+00, -1.706110208869997e-01
3, 9.960200190539999e-01, -5.727350663055754e-04, -6.433781699701608e-01, 1.119446199145413e+00, 3.408276778141327e-03, -1.872040647720714e-01, 0.000000000000000e+00, 0.000000000000000e+00, -1.591066241540726e-01
4, 9.937800168990000e-01, -8.850444158207658e-04, -5.657625324145993e-01, 9.705229314081587e-01, -1.384754348861829e-02, -1.587509327619796e-01, 0.000000000000000e+00, 0.000000000000000e+00, -1.209043953698758e-01
5, 9.910500049590000e-01, -1.250870158960285e-03, -5.139623987007902e-01, 8.741997621917942e-01, -2.523987012632900e-02, -1.420976975991136e-01, 0.000000000000000e+00, 0.000000000000000e+00, -7.504701196166695e-02
6, 9.878399968150000e-01, -1.657169298120023e-03, -4.718835721418303e-01, 7.986581336190736e-01, -3.368646194128484e-02, -1.291413355285064e-01, 0.000000000000000e+00, 0.000000000000000e+00, -5.727707716001518e-02
7, 9.841300249100000e-01, -2.094465951984963e-03, -4.377650551491477e-01, 7.384949844880155e-01, -3.893091258115531e-02, -1.188879989917368e-01, 0.000000000000000e+00, 0.000000000000000e+00, -4.403497265946921e-02
8, 9.799500107769999e-01, -2.551433991203128e-03, -4.105954028023820e-01, 6.902592032084685e-01, -4.236236136150198e-02, -1.108143256873350e-01, 0.000000000000000e+00, 0.000000000000000e+00, -3.383258617233532e-02
9, 9.752799868580000e-01, -3.030877899618544e-03, -3.890137808505648e-01, 6.515515067691051e-01, -4.510407859960382e-02, -1.044250265096698e-01, 0.000000000000000e+00, 0.000000000000000e+00, -2.616859756230578e-02
10, 9.701499938960000e-01, -3.540422522884984e-03, -3.717434982686328e-01, 6.201349078366828e-01, -4.826116893271556e-02, -9.929981029529998e-02, 0.000000000000000e+00, 0.000000000000000e+00, -2.023047491707725e-02
11, 9.645400047300000e-01, -4.100670789205997e-03, -3.570903405290188e-01, 5.934443166456788e-01, -5.230567699405958e-02, -9.497807359741656e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.602464391644216e-02
12, 9.584699869160000e-01, -4.730263297658542e-03, -3.435298699765116e-01, 5.692778832200209e-01, -5.727961715138449e-02, -9.105296080833698e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.321638780845755e-02
13, 9.519400000570000e-01, -5.444978531089429e-03, -3.300529434608030e-01, 5.461039140266084e-01, -6.270674506526294e-02, -8.723870422227997e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.148726745639297e-02
14, 9.449599981310000e-01, -6.249904769537025e-03, -3.161112533907068e-01, 5.230576055424057e-01, -6.801418107953741e-02, -8.339408141495050e-02, 0.000000000000000e+00, 0.000000000000000e+00, -1.055889737064388e-02
15, 9.375399947170000e-01, -7.139676427787733e-03, -3.017995855351923e-01, 5.001166387774447e-01, -7.260678683695003e-02, -7.950483568868605e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.998465321988897e-03
16, 9.296900033950000e-01, -8.101575566487659e-03, -2.874080574754801e-01, 4.775283429177671e-01, -7.619958568223034e-02, -7.564788306924192e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.555662576853844e-03
17, 9.214000105860000e-01, -9.122838236201112e-03, -2.733770553452316e-01, 4.558363157647116e-01, -7.883589633352629e-02, -7.192488587531591e-02, 0.000000000000000e+00, 0.000000000000000e+00, -9.065378191326037e-03
18, 9.126999974250000e-01, -1.018747276261269e-02, -2.602411370855127e-01, 4.356446094364118e-01, -8.059026679380800e-02, -6.842992231294386e-02, 0.000000000000000e+00, 0.000000000000000e+00, -8.396400271910881e-03
19, 9.035800099370001e-01, -1.128838625179376e-02, -2.479863318655056e-01, 4.169089029053007e-01, -8.185039756397670e-02, -6.520191251029893e-02, 0.000000000000000e+00, 0.000000000000000e+00, -7.730752139549321e-03
20, 8.940600156780000e-01, -1.241908615192703e-02, -2.367295181225216e-01, 3.997415341673038e-01, -8.278644798041741e-02, -6.221496525515315e-02, 0.000000000000000e+00, 0.000000000000000e+00, -7.033329099641657e-03
21, 8.841500282290000e-01, -1.357746280453731e-02, -2.261950751811237e-01, 3.837691294180405e-01, -8.363338182223967e-02, -5.944334447595809e-02, 0.000000000000000e+00, 0.000000000000000e+00, -6.431638771601056e-03
22, 8.738499879840000e-01, -1.476416356426443e-02, -2.162466544224305e-01, 3.687867232384689e-01, -8.443787293110032e-02, -5.681267954171471e-02, 0.000000000000000e+00, 0.000000000000000e+00, -5.915723070883501e-03
23, 8.631799817090000e-01, -1.597780116371635e-02, -2.066560420648699e-01, 3.545015371117726e-01, -8.522969495594269e-02, -5.429735596665936e-02, 0.000000000000000e+00, 0.000000000000000e+00, -5.488960201292752e-03
24, 8.521599769590000e-01, -1.721658848266834e-02, -1.973499145668180e-01, 3.407773046568465e-01, -8.596382067552637e-02, -5.185079893362331e-02, 0.000000000000000e+00, 0.000000000000000e+00, -5.115449465497444e-03
25, 8.407700061800000e-01, -1.848246533106623e-02, -1.881954434425768e-01, 3.274546946274842e-01, -8.666651245573753e-02, -4.946591940639108e-02, 0.000000000000000e+00, 0.000000000000000e+00, -4.832402346044437e-03
26, 8.290500044819999e-01, -1.977000985889084e-02, -1.792852554944727e-01, 3.145918821172001e-01, -8.720237423516912e-02, -4.712367909606222e-02, 0.000000000000000e+00, 0.000000000000000e+00, -4.537318147745013e-03
27, 8.170099854470000e-01, -2.107673229348341e-02, -1.704430904353098e-01, 3.019929654517118e-01, -8.768485617086323e-02, -4.482979300900441e-02, 0.000000000000000e+00, 0.000000000000000e+00, -4.327686149268480e-03
28, 8.046399950980000e-01, -2.240204267256096e-02, -1.617961671649979e-01, 2.897851351957839e-01, -8.801533643386025e-02, -4.257666185252659e-02, 0.000000000000000e+00, 0.000000000000000e+00, -4.123069080548188e-03
29, 7.919700145720000e-01, -2.374098184509800e-02, -1.532822452622240e-01, 2.778531577261578e-01, -8.821841961576019e-02, -4.035789814368414e-02, 0.000000000000000e+00, 0.000000000000000e+00, -3.955915917317462e-03
30, 7.790099978450000e-01, -2.509081091227477e-02, -1.448170770255179e-01, 2.661617902643322e-01, -8.836396282170418e-02, -3.818395400418906e-02, 0.000000000000000e+00, 0.000000000000000e+00, -3.825929832180852e-03
31, 7.657799720760000e-01, -2.644783314811294e-02, -1.365964687659954e-01, 2.548352022129098e-01, -8.831271373781301e-02, -3.603224808876655e-02, 0.000000000000000e+00, 0.000000000000000e+00, -3.626127115824998e-03
32, 7.522799968720000e-01, -2.781048269186254e-02, -1.283188366530842e-01, 2.436042493361488e-01, -8.827059195954282e-02, -3.391899935152182e-02, 0.000000000000000e+00, 0.000000000000000e+00, -3.520558334651200e-03
