"PointID","x","y","Density","Momentum_x","Momentum_y","Energy"
0, 9.997500181200000e-01, -3.632760961748683e-05, 1.316907054691681e+00, 6.940131601067024e-01, 1.007499190197782e-01, 3.767055332693682e+00
1, 9.990000128750000e-01, -1.451681720978812e-04, 1.181284828208737e+00, 7.074619054399987e-01, 1.023303772564299e-01, 3.393041214781120e+00
2, 9.977599978450000e-01, -3.241728263320575e-04, 1.165928809075357e+00, 7.698943811123050e-01, 1.102568452029594e-01, 3.362058489079239e+00
3, 9.960200190539999e-01, -5.719341357006768e-04, 1.144189174888639e+00, 8.009955584189333e-01, 1.122968562617055e-01, 3.308317117247731e+00
4, 9.937800168990000e-01, -8.821526347338820e-04, 1.127115651845625e+00, 8.210591015251799e-01, 1.108430123310457e-01, 3.265490444490222e+00
5, 9.910500049590000e-01, -1.242886242064563e-03, 1.114279801913899e+00, 8.387417593951705e-01, 1.068750443210999e-01, 3.233947335276224e+00
6, 9.878399968150000e-01, -1.639048190051794e-03, 1.103835480729953e+00, 8.513630504619731e-01, 1.004066790967102e-01, 3.207948520268897e+00
7, 9.841300249100000e-01, -2.059003661957923e-03, 1.096863342944434e+00, 8.603441975738332e-01, 9.282038771076860e-02, 3.190702807213827e+00
8, 9.799500107769999e-01, -2.490279087110133e-03, 1.093266955065523e+00, 8.653508695702388e-01, 8.573936962270293e-02, 3.181845509094297e+00
9, 9.752799868580000e-01, -2.935869578892007e-03, 1.092381831353054e+00, 8.671128959260990e-01, 8.101004638240034e-02, 3.179725586367232e+00
10, 9.701499938960000e-01, -3.405845936372835e-03, 1.092856012185562e+00, 8.668629626729711e-01, 7.978736504897246e-02, 3.180937399076519e+00
11, 9.645400047300000e-01, -3.924393615060173e-03, 1.093146289156991e+00, 8.662039592475271e-01, 8.221544918386030e-02, 3.181631832410596e+00
12, 9.584699869160000e-01, -4.514449758924654e-03, 1.092015875094795e+00, 8.665515010304166e-01, 8.738875968374611e-02, 3.178740021114557e+00
13, 9.519400000570000e-01, -5.195061058453384e-03, 1.088877104267179e+00, 8.687187636036121e-01, 9.377906761333084e-02, 3.170819962079095e+00
