Point ID,Density,Energy,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
0,1.31691,3.76706,0.431582,0.694013,0.10075,0,0.701288,0.99975,-3.63276e-05,0,0.99975,1.43213,0.964579,1.0875,0.527002,0.076505,0,0.532527
1,1.18128,3.39304,0.493101,0.707462,0.10233,0,0.714824,0.999,-0.000145168,0,0.999,1.2707,0.604252,1.0757,0.598892,0.0866263,0,0.605124
2,1.16593,3.36206,0.546441,0.769894,0.110257,0,0.777749,0.99776,-0.000324173,0,0.99776,1.24106,0.538084,1.06444,0.660327,0.0945657,0,0.667064
3,1.14419,3.30832,0.581213,0.800996,0.112297,0,0.808829,0.99602,-0.000571934,0,0.99602,1.20897,0.466461,1.05662,0.700055,0.0981454,0,0.706902
4,1.12712,3.26549,0.606038,0.821059,0.110843,0,0.828507,0.99378,-0.000882153,0,0.99378,1.18439,0.411594,1.05082,0.72846,0.0983422,0,0.735069
5,1.11428,3.23395,0.627123,0.838742,0.106875,0,0.845524,0.99105,-0.00124289,0,0.991051,1.16526,0.368886,1.04575,0.752721,0.095914,0,0.758807
6,1.10384,3.20795,0.643049,0.851363,0.100407,0,0.857263,0.98784,-0.00163905,0,0.987841,1.15003,0.334878,1.04184,0.771277,0.0909616,0,0.776622
7,1.09686,3.1907,0.654095,0.860344,0.0928204,0,0.865337,0.98413,-0.002059,0,0.984132,1.13974,0.311931,1.03909,0.784368,0.0846235,0,0.788919
8,1.09327,3.18185,0.659937,0.865351,0.0857394,0,0.869588,0.97995,-0.00249028,0,0.979953,1.1344,0.300008,1.03763,0.791528,0.0784249,0,0.795403
9,1.09238,3.17973,0.661593,0.867113,0.0810101,0,0.870889,0.97528,-0.00293587,0,0.975284,1.13303,0.29694,1.03721,0.793782,0.0741591,0,0.797239
10,1.09286,3.18094,0.660982,0.866863,0.0797874,0,0.870527,0.97015,-0.00340585,0,0.970156,1.13369,0.298414,1.03736,0.793209,0.0730081,0,0.796562
