"EVALUATION"    , "DRAG"          , "EFFICIENCY"    , "FORCE_X"       , "FORCE_Y"       , "FORCE_Z"       , "LIFT"          , "MOMENT_X"      , "MOMENT_Y"      , "MOMENT_Z"      , "SIDEFORCE"     , "Time_Iter"     , "Outer_Iter"    , "Inner_Iter"    , "RMS_DENSITY"   , "RMS_MOMENTUM-X", "RMS_MOMENTUM-Y", "RMS_ENERGY"    , "RefForce"      
1               , 0.02129104152   , 15.3116104      , 0.01423431319   , 0.3263844043    , 0.0             , 0.3260001328    , 0.0             , 0.0             , 0.03380946479   , 0.0             , 0.0             , 0.0             , 613.0           , -13.01432703    , -13.03636658    , -13.43816829    , -12.45112252    , 0.448           
2               , 0.009396069424  , 34.69533862     , 0.004019376143  , 0.3261104216    , 0.0             , 0.3259998104    , 0.0             , 0.0             , 0.04050883936   , 0.0             , 0.0             , 0.0             , 686.0           , -13.0083307     , -13.53681586    , -13.59049098    , -12.45127131    , 0.448           
3               , 0.0185456602    , 17.57823598     , 0.01423322888   , 0.3262167241    , 0.0             , 0.3259999913    , 0.0             , 0.0             , 0.1030648382    , 0.0             , 0.0             , 0.0             , 693.0           , -13.01694576    , -13.3077492     , -13.56172155    , -12.45443586    , 0.448           
4               , 0.006668468852  , 48.88681859     , 0.001736599261  , 0.3260637986    , 0.0             , 0.326000227     , 0.0             , 0.0             , 0.04309656636   , 0.0             , 0.0             , 0.0             , 788.0           , -13.00016962    , -13.48962967    , -13.47414139    , -12.44697868    , 0.448           
5               , 0.01615308206   , 20.1818957      , 0.01202909262   , 0.3261780249    , 0.0             , 0.3259998174    , 0.0             , 0.0             , 0.09880047654   , 0.0             , 0.0             , 0.0             , 573.0           , -13.02410066    , -13.34175926    , -13.48543019    , -12.46605552    , 0.448           
6               , 0.004840381409  , 67.350006       , 0.000272639517  , 0.3260355355    , 0.0             , 0.3259997169    , 0.0             , 0.0             , 0.04583610096   , 0.0             , 0.0             , 0.0             , 944.0           , -13.01665744    , -13.42708836    , -13.53682541    , -12.45816616    , 0.448           
7               , 0.01524232984   , 21.38781794     , 0.01124206392   , 0.3261626267    , 0.0             , 0.3260001755    , 0.0             , 0.0             , 0.09630057117   , 0.0             , 0.0             , 0.0             , 638.0           , -13.01644221    , -13.42370607    , -13.53593598    , -12.45456165    , 0.448           
8               , 0.003551788708  , 91.78461013     , -0.0006886320669, 0.3260181625    , 0.0             , 0.3259995418    , 0.0             , 0.0             , 0.04866837411   , 0.0             , 0.0             , 0.0             , 1000.0          , -11.7886383     , -12.30674892    , -12.35018169    , -11.23245094    , 0.448           
9               , 0.01271440081   , 25.64023818     , 0.008873961946  , 0.326127401     , 0.0             , 0.3260002652    , 0.0             , 0.0             , 0.08845341688   , 0.0             , 0.0             , 0.0             , 652.0           , -13.00026561    , -13.50392105    , -13.58571819    , -12.44158707    , 0.448           
10              , 0.002730060708  , 119.4111395     , -0.00123384896  , 0.3260087564    , 0.0             , 0.3259996601    , 0.0             , 0.0             , 0.0512422621    , 0.0             , 0.0             , 0.0             , 1000.0          , -10.1287334     , -10.67111474    , -10.70810049    , -9.574905441    , 0.448           
11              , 0.01026987337   , 31.74331296     , 0.006713433714  , 0.3260924294    , 0.0             , 0.3259998043    , 0.0             , 0.0             , 0.08185765156   , 0.0             , 0.0             , 0.0             , 749.0           , -13.03151281    , -13.51463345    , -13.61248662    , -12.47172403    , 0.448           
12              , 0.00222570639   , 146.4701731     , -0.001505716382 , 0.3260037207    , 0.0             , 0.3259996002    , 0.0             , 0.0             , 0.05348824812   , 0.0             , 0.0             , 0.0             , 1000.0          , -10.03790226    , -10.65094985    , -10.65525996    , -9.486553353    , 0.448           
13              , 0.008695519267  , 37.4905421      , 0.00550257708   , 0.326069254     , 0.0             , 0.3259997311    , 0.0             , 0.0             , 0.07865426656   , 0.0             , 0.0             , 0.0             , 1000.0          , -9.820331451    , -10.40967158    , -10.43130807    , -9.269693617    , 0.448           
14              , 0.001914698725  , 170.2620158     , -0.001609405401 , 0.3260021147    , 0.0             , 0.3260004646    , 0.0             , 0.0             , 0.05549063505   , 0.0             , 0.0             , 0.0             , 1000.0          , -11.20605061    , -11.76465698    , -11.63790312    , -10.65507404    , 0.448           
15              , 0.009199283042  , 35.43755472     , 0.006517231763  , 0.3260647408    , 0.0             , 0.3260000961    , 0.0             , 0.0             , 0.08270784703   , 0.0             , 0.0             , 0.0             , 1000.0          , -9.586221757    , -10.11702673    , -10.18755222    , -9.037033787    , 0.448           
16              , 0.001707045317  , 190.9734516     , -0.001582851089 , 0.3260009629    , 0.0             , 0.3260003363    , 0.0             , 0.0             , 0.0577450972    , 0.0             , 0.0             , 0.0             , 1000.0          , -12.03992162    , -12.74610566    , -12.61746928    , -11.48337774    , 0.448           
17              , 0.007682627034  , 42.43330308     , 0.005374149019  , 0.3260454672    , 0.0             , 0.3259992414    , 0.0             , 0.0             , 0.08005533774   , 0.0             , 0.0             , 0.0             , 1000.0          , -10.00767888    , -10.65167814    , -10.57245913    , -9.452992007    , 0.448           
18              , 0.00161564364   , 201.7769064     , -0.001467362422 , 0.3260002767    , 0.0             , 0.3259995755    , 0.0             , 0.0             , 0.05965823244   , 0.0             , 0.0             , 0.0             , 822.0           , -13.02555168    , -13.55496906    , -13.59857466    , -12.46292186    , 0.448           
19              , 0.008418900109  , 38.72229177     , 0.006683134864  , 0.3260393089    , 0.0             , 0.3259991064    , 0.0             , 0.0             , 0.08486477484   , 0.0             , 0.0             , 0.0             , 1000.0          , -9.603849024    , -10.28191783    , -10.21614173    , -9.049991506    , 0.448           
20              , 0.001599597409  , 203.8010495     , -0.001245196434 , 0.3260011771    , 0.0             , 0.3259996308    , 0.0             , 0.0             , 0.06187187239   , 0.0             , 0.0             , 0.0             , 1000.0          , -12.36735603    , -12.96578906    , -12.83693045    , -11.81247469    , 0.448           
21              , 0.009653562516  , 33.768106       , 0.008812467605  , 0.3260063443    , 0.0             , 0.3259825223    , 0.0             , 0.0             , 0.09058954411   , 0.0             , 0.0             , 0.0             , 1000.0          , -8.33202136     , -9.077050094    , -8.946247738    , -7.777023392    , 0.448           
22              , 0.001686822514  , 193.2625947     , -0.0008726971742, 0.3260028918    , 0.0             , 0.3259996958    , 0.0             , 0.0             , 0.06437309774   , 0.0             , 0.0             , 0.0             , 842.0           , -13.00676195    , -13.7925368     , -13.49362045    , -12.45111209    , 0.448           
23              , 0.001604584117  , 203.1679944     , -0.001211168264 , 0.3260018359    , 0.0             , 0.3260001368    , 0.0             , 0.0             , 0.06212037292   , 0.0             , 0.0             , 0.0             , 721.0           , -13.01789994    , -13.43684787    , -13.55389785    , -12.45680225    , 0.448           
24              , 0.0016000626    , 203.741771      , -0.00124182108  , 0.3260011493    , 0.0             , 0.3259995879    , 0.0             , 0.0             , 0.06189669053   , 0.0             , 0.0             , 0.0             , 648.0           , -13.00879331    , -13.50365597    , -13.53928502    , -12.44801895    , 0.448           
