Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,0.997602,0,220.219,-0,8.68935e-08,0,0,0,0,0,0,1,0,0,1,88.0877,-0.191443,-5.00971e-07,-8.08361e-06,0,8.09911e-06,1.00132,0,0,0,0,49.11
1,0.988357,0,218.253,-0,8.69164e-08,0,0,0,0,0,0,0.05,0.0473,0,0.068828,87.3012,-1.7645,2.18124e-05,9.76364e-06,0,2.38979e-05,1.00166,0,0,0,0,88.6765
2,1.00257,0,221.389,-0,8.69157e-08,0,0,0,0,0,0,0.05,-0.0249,0,0.0558571,88.5554,0.744043,1.54212e-05,-2.04771e-06,0,1.55566e-05,1.00165,0,0,0,0,73.0399
3,0.989418,0,218.488,-0,8.69165e-08,0,0,0,0,0,0,0.0480414,0.0462578,0,0.0666915,87.3951,-1.57662,2.20287e-05,1.16534e-05,0,2.49212e-05,1.00166,0,0,0,0,89.7749
4,0.988605,0,218.309,-0,8.69166e-08,0,0,0,0,0,0,0.0460778,0.0452251,0,0.0645637,87.3234,-1.72001,2.1921e-05,1.14844e-05,0,2.47471e-05,1.00166,0,0,0,0,90.0791
5,0.988629,0,218.314,-0,8.69167e-08,0,0,0,0,0,0,0.0441109,0.0441987,0,0.0624443,87.3256,-1.71565,2.2453e-05,1.16916e-05,0,2.53147e-05,1.00166,0,0,0,0,91.6129
6,0.98837,0,218.257,-0,8.69167e-08,0,0,0,0,0,0,0.0421421,0.0431758,0,0.0603333,87.3028,-1.76117,2.2734e-05,1.18034e-05,0,2.56155e-05,1.00166,0,0,0,0,92.5197
7,0.98821,0,218.222,-0,8.69168e-08,0,0,0,0,0,0,0.0401728,0.042154,0,0.0582307,87.2887,-1.78946,2.33401e-05,1.21189e-05,0,2.62989e-05,1.00166,0,0,0,0,94.0027
8,0.987923,0,218.158,-0,8.69168e-08,0,0,0,0,0,0,0.0382041,0.041131,0,0.0561365,87.2634,-1.84007,2.39922e-05,1.24957e-05,0,2.70512e-05,1.00166,0,0,0,0,95.4874
9,0.987658,0,218.1,-0,8.69168e-08,0,0,0,0,0,0,0.0362373,0.0401043,0,0.0540509,87.24,-1.88676,2.48477e-05,1.30225e-05,0,2.80534e-05,1.00166,0,0,0,0,97.2984
