"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -2.552429108,      -10.37443188,               -32,      -10.38123405,       2.917179199,       -5.89601861
          0,           0,           1,       -3.27922224,     -0.6710639988,               -32,     -0.3349030172,       2.198891027,      -6.278256389
          0,           0,           2,      -3.175054341,     -0.7678191792,               -32,     -0.7877890236,       2.298510974,      -6.970894968
          0,           0,           3,      -3.293058305,     -0.7990494146,               -32,     -0.8814010195,       2.179436366,      -7.189415462
          0,           0,           4,      -3.450342935,     -0.8224925256,               -32,     -0.8775525906,       2.017908536,      -7.357448811
          0,           0,           5,      -3.546392452,     -0.8645791509,               -32,     -0.9428580701,       1.912311471,      -7.444736465
          0,           0,           6,      -3.568849252,     -0.9279357877,               -32,      -1.040956668,        1.88802801,      -7.487727834
          0,           0,           7,      -3.569131928,     -0.9974416588,               -32,      -1.127664623,       1.890529986,      -7.520305418
          0,           0,           8,      -3.583921109,      -1.042927264,               -32,      -1.153318815,       1.877739718,      -7.554430958
          0,           0,           9,      -3.620509089,      -1.048683131,               -32,      -1.126948182,       1.841581788,      -7.588460446
          0,           0,          10,       -3.65902511,      -1.036091284,               -32,      -1.096303182,       1.795391644,      -7.610120881
          0,           0,          11,      -3.665579003,      -1.035820835,               -32,      -1.088998089,        1.76493015,      -7.615783693
          0,           0,          12,      -3.645068841,      -1.063033934,               -32,      -1.111847187,        1.76543061,      -7.615169427
          0,           0,          13,      -3.622948097,      -1.114816869,               -32,      -1.156894584,       1.782159207,      -7.615399029
          0,           0,          14,       -3.61212325,      -1.168641593,               -32,      -1.199396548,       1.793451357,      -7.616869147
          0,           0,          15,      -3.614803595,      -1.194930088,               -32,      -1.214376949,       1.788809889,      -7.616529068
          0,           0,          16,      -3.631250441,      -1.193622329,               -32,      -1.208315572,       1.768678674,      -7.613277737
          0,           0,          17,      -3.666303132,      -1.190362204,               -32,      -1.205670515,       1.740569546,      -7.606173036
          0,           0,          18,      -3.715736715,       -1.19962927,               -32,      -1.216719888,       1.717086629,      -7.595943384
          0,           0,          19,      -3.740320158,      -1.221055758,               -32,      -1.236143552,       1.704324921,      -7.583899281
          0,           0,          20,      -3.752372904,      -1.248043696,               -32,      -1.252690548,       1.699534463,      -7.572045249
          0,           0,          21,      -3.759315511,       -1.27323352,               -32,      -1.260070563,       1.695404238,      -7.562480271
          0,           0,          22,       -3.76566164,       -1.29629924,               -32,      -1.265341288,       1.685269355,      -7.555966735
          0,           0,          23,      -3.772959871,       -1.32231897,               -32,      -1.279439373,       1.667267773,       -7.55200587
          0,           0,          24,      -3.786457575,      -1.354573962,               -32,      -1.305234723,       1.644033813,      -7.549083814
          0,           0,          25,      -3.804844771,      -1.391840215,               -32,      -1.337608714,       1.618674542,      -7.545019703
          0,           0,          26,      -3.826357778,      -1.425643349,               -32,      -1.364427279,       1.595247627,      -7.538253186
          0,           0,          27,      -3.848781462,      -1.446534057,               -32,      -1.377746724,       1.576048591,      -7.528514534
          0,           0,          28,      -3.873841207,      -1.453816955,               -32,      -1.383329784,       1.559561182,       -7.51653186
          0,           0,          29,      -3.904223744,      -1.455956138,               -32,      -1.393684878,        1.54123297,      -7.503242296
          0,           0,          30,      -3.932485768,      -1.460013475,               -32,      -1.414884235,       1.518635757,       -7.48878605
          0,           0,          31,      -3.959988654,      -1.469323078,               -32,      -1.445319636,       1.491469295,      -7.472975601
          0,           0,          32,      -3.980368369,      -1.482220651,               -32,      -1.475092368,       1.462863779,      -7.455806251
          0,           0,          33,      -3.996623797,      -1.496101648,               -32,      -1.494391879,       1.436970996,      -7.437695162
          0,           0,          34,      -4.014871091,      -1.511329954,               -32,      -1.504386224,       1.414787094,        -7.4196744
          0,           0,          35,      -4.041871719,      -1.531891721,               -32,      -1.515667146,       1.392492179,      -7.402443001
          0,           0,          36,      -4.081826797,       -1.56123472,               -32,       -1.53786653,       1.364974651,      -7.386432657
          0,           0,          37,      -4.123626483,      -1.598049179,               -32,      -1.572512187,       1.330147814,      -7.371422988
          0,           0,          38,      -4.162652111,      -1.634827818,               -32,      -1.612569471,       1.290286663,      -7.357115051
          0,           0,          39,      -4.189296982,      -1.660653289,               -32,      -1.644903751,        1.24988403,      -7.343136698
          0,           0,          40,      -4.207091373,      -1.668615286,               -32,      -1.660518886,       1.213543532,        -7.3290815
          0,           0,          41,       -4.22524984,      -1.662914966,               -32,      -1.665549399,       1.183427184,       -7.31483655
          0,           0,          42,      -4.250595838,      -1.654187594,               -32,      -1.673208427,       1.156755624,      -7.300372699
          0,           0,          43,      -4.288576318,      -1.648833528,               -32,      -1.691720776,       1.128417615,      -7.285669648
          0,           0,          44,      -4.334547545,      -1.646850783,               -32,       -1.72012448,       1.094887543,      -7.270706745
          0,           0,          45,      -4.379675376,      -1.644607308,               -32,       -1.74956424,       1.056904038,      -7.255469323
          0,           0,          46,      -4.417012746,      -1.639696748,               -32,      -1.769234988,       1.017397094,      -7.240006312
          0,           0,          47,      -4.440779335,      -1.632626667,               -32,      -1.775324919,      0.9794927927,      -7.224361271
          0,           0,          48,      -4.460491279,      -1.626387285,               -32,      -1.773974619,      0.9448960677,      -7.208757714
          0,           0,          49,       -4.48606113,      -1.623903299,               -32,      -1.773981147,      0.9132944661,      -7.193282141
          0,           0,          50,      -4.522134401,      -1.625846588,               -32,      -1.779730234,      0.8823954251,       -7.17812826
          0,           0,          51,      -4.565731793,      -1.630374061,               -32,      -1.790160737,      0.8485169239,      -7.163422609
          0,           0,          52,      -4.608710566,      -1.634216505,               -32,      -1.800835451,      0.8091736351,      -7.149102802
