"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -2.552429108,      -10.37367311,               -32,       -10.3807789,       2.917179199,      -5.896023174
          0,           0,           1,       -3.27899199,     -0.6710505757,               -32,     -0.3348163842,       2.199139723,      -6.278267726
          0,           0,           2,      -3.175352731,     -0.7682994203,               -32,      -0.785375423,        2.29828563,      -6.970553705
          0,           0,           3,      -3.293992637,     -0.8018091301,               -32,     -0.8775557663,        2.17870099,      -7.188565722
          0,           0,           4,      -3.449414282,     -0.8260624028,               -32,     -0.8740746388,       2.019190648,      -7.356100471
          0,           0,           5,      -3.537533694,     -0.8669133453,               -32,     -0.9369018335,       1.920622087,      -7.443538879
          0,           0,           6,      -3.556717159,     -0.9267838176,               -32,      -1.026973111,       1.899886197,      -7.487089536
          0,           0,           7,      -3.558803146,     -0.9925168796,               -32,      -1.104999834,       1.900279329,      -7.518894171
          0,           0,           8,      -3.563574984,      -1.034345842,               -32,      -1.128882612,       1.888190357,      -7.545588455
          0,           0,           9,      -3.572215132,      -1.033077413,               -32,       -1.09921429,       1.862984774,      -7.564058598
          0,           0,          10,      -3.580521743,      -1.013698653,               -32,      -1.061823969,       1.837179069,      -7.571844143
          0,           0,          11,      -3.594966918,      -1.013073244,               -32,      -1.051536184,       1.822470601,      -7.576298426
          0,           0,          12,      -3.621345465,       -1.04615114,               -32,      -1.078193632,       1.819101765,      -7.583525774
          0,           0,          13,      -3.622688343,      -1.103389579,               -32,      -1.130711736,       1.819964962,      -7.591331007
          0,           0,          14,      -3.618354524,      -1.155567525,               -32,      -1.178750971,       1.818171973,      -7.595125109
          0,           0,          15,      -3.641239335,      -1.174633405,               -32,      -1.192962826,       1.808343178,      -7.592863889
          0,           0,          16,      -3.662319942,        -1.1691624,               -32,      -1.183393904,       1.789182274,      -7.586546916
          0,           0,          17,      -3.673096907,        -1.1680657,               -32,      -1.179914434,       1.764582652,      -7.579172115
          0,           0,          18,      -3.708408669,      -1.184281793,               -32,      -1.194705178,       1.741486514,      -7.571954987
          0,           0,          19,      -3.732732512,      -1.212992974,               -32,      -1.222633715,       1.723188241,      -7.564552797
          0,           0,          20,      -3.742339894,      -1.243366392,               -32,      -1.250098736,       1.708912214,      -7.556416679
          0,           0,          21,      -3.761083365,      -1.268716937,               -32,      -1.267686734,        1.69549146,      -7.548850066
          0,           0,          22,      -3.780217296,      -1.293029619,               -32,      -1.280834264,       1.677923881,      -7.542511288
          0,           0,          23,      -3.802036724,      -1.324852987,               -32,        -1.3005725,       1.653937618,      -7.536991492
          0,           0,          24,      -3.831536355,      -1.368030633,               -32,      -1.331611258,       1.624393766,      -7.530995671
