"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -3.992575696,      -13.30255865,               -32,      -13.31049228,      -1.502417719,      -8.875473504
          0,           0,           1,      -4.719139426,      -3.600922341,               -32,      -3.264688263,      -2.220457966,      -9.257717643
          0,           0,           2,      -4.615498301,      -3.698172593,               -32,      -3.715263261,      -2.121310186,      -9.950006524
          0,           0,           3,      -4.734152137,      -3.731682054,               -32,      -3.807428375,      -2.240905838,      -10.16801362
          0,           0,           4,      -4.889653745,      -3.755943561,               -32,      -3.803953386,      -2.400417914,      -10.33553504
          0,           0,           5,      -4.978485198,      -3.796829319,               -32,      -3.866794655,      -2.498974582,      -10.42297892
          0,           0,           6,      -4.997666179,      -3.856717446,               -32,      -3.956890387,      -2.519694554,      -10.46652496
          0,           0,           7,      -4.999554587,      -3.922431085,               -32,      -4.034887409,      -2.519281053,      -10.49833639
          0,           0,           8,      -5.004734472,      -3.964239879,               -32,      -4.058721637,      -2.531392759,       -10.5250432
          0,           0,           9,      -5.014541938,      -3.962988345,               -32,      -4.029049369,      -2.556631427,       -10.5435363
          0,           0,          10,      -5.023832764,      -3.943666747,               -32,      -3.991716393,      -2.582489511,      -10.55136953
          0,           0,          11,      -5.036072263,      -3.943063041,               -32,      -3.981507804,      -2.597285189,      -10.55579184
          0,           0,          12,      -5.060113577,      -3.976067296,               -32,      -4.008171975,      -2.600545492,      -10.56301326
          0,           0,          13,      -5.065363158,      -4.033450501,               -32,      -4.060723096,      -2.599689112,      -10.57085258
          0,           0,          14,      -5.061331999,      -4.085696813,               -32,      -4.108816088,       -2.60156443,      -10.57468659
          0,           0,          15,      -5.081017673,      -4.104709805,               -32,      -4.123104177,      -2.611551103,      -10.57242308
          0,           0,          16,      -5.103857348,      -4.099263198,               -32,      -4.113495029,      -2.630685688,      -10.56610414
          0,           0,          17,      -5.116478322,      -4.098279346,               -32,      -4.110111128,      -2.655375967,      -10.55878145
          0,           0,          18,        -5.1475868,      -4.114491988,               -32,      -4.125017634,      -2.678647845,      -10.55153089
          0,           0,          19,      -5.173581756,      -4.143195871,               -32,      -4.152892643,      -2.696832845,      -10.54405545
          0,           0,          20,      -5.184051863,      -4.173539416,               -32,       -4.18027716,      -2.710975326,      -10.53591328
          0,           0,          21,      -5.201042139,      -4.198854455,               -32,      -4.197836866,      -2.724395248,      -10.52835312
          0,           0,          22,      -5.220592647,        -4.2232001,               -32,      -4.210986334,        -2.7419815,      -10.52200783
          0,           0,          23,      -5.242536975,      -4.255041302,               -32,      -4.230739602,      -2.765982193,      -10.51648209
          0,           0,          24,      -5.271796515,      -4.298216614,               -32,      -4.261787764,      -2.795542347,      -10.51047479
          0,           0,          25,      -5.302407943,      -4.346703986,               -32,      -4.298485542,      -2.827230877,      -10.50233949
          0,           0,          26,      -5.329947136,      -4.385438375,               -32,      -4.328213835,      -2.856289362,      -10.49142461
          0,           0,          27,      -5.351389421,      -4.401740912,               -32,      -4.343044052,      -2.879658125,      -10.47812391
          0,           0,          28,      -5.368473847,      -4.400386998,               -32,      -4.349144171,      -2.898763795,      -10.46339539
          0,           0,          29,      -5.386486032,      -4.397410049,               -32,      -4.359302259,       -2.91832267,      -10.44813285
          0,           0,          30,      -5.410025346,      -4.404160307,               -32,      -4.380934787,      -2.942199712,      -10.43247404
          0,           0,          31,      -5.440113475,      -4.422983207,               -32,      -4.412492719,      -2.970783623,      -10.41638562
          0,           0,          32,      -5.474064313,      -4.449696297,               -32,      -4.445642484,      -3.001398214,      -10.39986191
          0,           0,          33,      -5.507426487,      -4.477261636,               -32,      -4.471588308,      -3.031081921,       -10.3832399
          0,           0,          34,       -5.53807947,      -4.500501519,               -32,      -4.489030271,      -3.059639395,      -10.36696117
          0,           0,          35,      -5.567371019,      -4.519479849,               -32,      -4.504764454,      -3.089722285,       -10.3513741
          0,           0,          36,      -5.596924789,      -4.537926493,               -32,      -4.526166972,      -3.123730274,      -10.33657722
          0,           0,          37,      -5.627631186,      -4.558804303,               -32,      -4.554938635,      -3.161024737,      -10.32244883
          0,           0,          38,      -5.659099305,      -4.581502795,               -32,      -4.586129306,      -3.197892597,      -10.30868445
          0,           0,          39,      -5.689905869,      -4.602158926,               -32,      -4.612039259,      -3.230645087,        -10.295031
          0,           0,          40,      -5.720837161,      -4.616201545,               -32,      -4.629266831,      -3.259242034,      -10.28128163
          0,           0,          41,      -5.754371859,      -4.621647008,               -32,      -4.642440973,      -3.287990409,      -10.26738694
          0,           0,          42,      -5.792387722,      -4.620138667,               -32,      -4.659064253,        -3.3222266,      -10.25332814
          0,           0,          43,      -5.835008558,      -4.614651837,               -32,      -4.682430783,      -3.364225599,       -10.2390773
          0,           0,          44,      -5.878978007,      -4.607351952,               -32,       -4.70922088,      -3.411581267,      -10.22462021
          0,           0,          45,      -5.917498223,      -4.599476441,               -32,       -4.73157616,       -3.45812626,      -10.20993525
          0,           0,          46,      -5.946988294,      -4.592089386,               -32,      -4.742981081,      -3.496917388,      -10.19504537
          0,           0,          47,      -5.969855039,      -4.586483452,               -32,      -4.744308575,      -3.525733853,      -10.18009423
          0,           0,          48,      -5.993288619,      -4.583796034,               -32,      -4.742612359,      -3.549899651,       -10.1652443
          0,           0,          49,      -6.024173123,      -4.584236431,               -32,      -4.744467991,      -3.577556888,      -10.15070462
          0,           0,          50,      -6.063731722,      -4.586661653,               -32,      -4.751810388,       -3.61410627,      -10.13657701
          0,           0,          51,      -6.108763188,      -4.588962338,               -32,      -4.762151352,      -3.660898489,      -10.12291409
          0,           0,          52,      -6.154152479,      -4.589120562,               -32,      -4.771234205,      -3.716105424,      -10.10966702
          0,           0,          53,       -6.19482685,      -4.586179553,               -32,      -4.776207362,       -3.77569135,      -10.09678023
          0,           0,          54,       -6.23012212,      -4.580423911,               -32,      -4.777210246,          -3.83383,      -10.08416946
          0,           0,          55,      -6.260488437,      -4.572847962,               -32,      -4.776398562,      -3.883817401,       -10.0717327
          0,           0,          56,      -6.286129093,      -4.564487809,               -32,      -4.775845152,      -3.920791106,       -10.0594294
          0,           0,          57,      -6.307450088,      -4.556052053,               -32,       -4.77621497,      -3.944757371,      -10.04718019
          0,           0,          58,      -6.324313501,      -4.547886367,               -32,      -4.776748376,       -3.96031808,      -10.03495734
          0,           0,          59,      -6.336397548,      -4.540113762,               -32,      -4.776159894,      -3.973055316,      -10.02277622
          0,           0,          60,      -6.344084863,      -4.532796985,               -32,      -4.773707236,      -3.986585923,      -10.01063249
          0,           0,          61,      -6.349436478,      -4.526025834,               -32,      -4.769681781,      -4.002415613,      -9.998589939
          0,           0,          62,      -6.356076914,      -4.519895289,               -32,      -4.765056088,      -4.021274585,      -9.986728274
          0,           0,          63,      -6.366995631,      -4.514411694,               -32,      -4.760720988,      -4.044171975,      -9.975128775
          0,           0,          64,      -6.382974595,      -4.509427914,               -32,      -4.756993275,      -4.072443059,      -9.963856047
          0,           0,          65,      -6.402127327,      -4.504685633,               -32,      -4.753683861,      -4.106785055,      -9.952953598
          0,           0,          66,      -6.420331186,      -4.499930507,               -32,      -4.750471019,      -4.145877255,      -9.942400442
