"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -3.453506871,      -10.38573149,               -32,      -10.38265804,       2.016101436,       -6.19630692
          0,           0,           1,      -4.205422983,        -1.4359391,               -32,       -1.22231163,       1.278560939,      -6.613413681
          0,           0,           2,      -4.086133227,      -1.568994265,               -32,      -1.748668714,       1.389988227,      -7.223054238
          0,           0,           3,       -4.19409363,      -1.673683567,               -32,      -1.965276095,       1.281465206,      -7.869362676
          0,           0,           4,      -4.342491342,      -1.764208723,               -32,      -1.940212136,       1.132690829,      -8.107475066
          0,           0,           5,      -4.463938394,      -1.845422637,               -32,      -1.974714731,       1.009368736,      -8.257655903
          0,           0,           6,      -4.544988221,      -1.915965332,               -32,      -2.004688282,      0.9258110021,      -8.338397701
          0,           0,           7,      -4.595053859,      -1.971170333,               -32,      -2.011798414,      0.8739438505,      -8.394645567
          0,           0,           8,      -4.624025125,        -2.0068032,               -32,      -2.006886176,      0.8442123472,      -8.437731227
          0,           0,           9,      -4.639316579,      -2.022991806,               -32,      -2.000778255,      0.8289480904,      -8.471462418
          0,           0,          10,      -4.646846728,      -2.024140513,               -32,      -1.996852003,      0.8219870068,      -8.497512346
          0,           0,          11,      -4.650011607,      -2.015883094,               -32,      -1.995087563,      0.8197832549,      -8.517045779
          0,           0,          12,      -4.649573998,       -2.00329402,               -32,      -1.995383367,      0.8214686545,      -8.530838397
          0,           0,          13,      -4.644952767,      -1.990220705,               -32,      -1.998141541,      0.8275296051,      -8.539619722
          0,           0,          14,      -4.635668391,      -1.979226372,               -32,      -2.003727492,      0.8382028657,      -8.544367004
          0,           0,          15,      -4.622351547,      -1.971666041,               -32,        -2.0119573,      0.8526310922,      -8.546351563
          0,           0,          16,      -4.606506035,      -1.967831761,               -32,      -2.021852658,       0.869116814,      -8.546725157
          0,           0,          17,      -4.589819135,      -1.967152248,               -32,       -2.03179048,      0.8859582644,      -8.546113282
          0,           0,          18,      -4.573510837,      -1.968561763,               -32,      -2.039997387,      0.9020710975,      -8.544581851
          0,           0,          19,      -4.557945561,      -1.970895587,               -32,      -2.045163678,      0.9171891082,      -8.541751328
          0,           0,          20,      -4.542883144,      -1.973276032,               -32,      -2.046712458,      0.9316224222,      -8.537002073
          0,           0,          21,      -4.527897649,       -1.97527737,               -32,      -2.044768803,      0.9458732862,       -8.52994142
          0,           0,          22,      -4.512596677,      -1.976843881,               -32,      -2.039985553,      0.9603903321,      -8.520648019
          0,           0,          23,      -4.496883338,      -1.978193159,               -32,      -2.033279179,      0.9753388782,       -8.50973247
          0,           0,          24,      -4.481174957,      -1.979734932,               -32,      -2.025700358,       0.990402446,      -8.498383524
          0,           0,          25,      -4.466302763,      -1.981884904,               -32,      -2.018307218,       1.004831508,      -8.488066127
          0,           0,          26,      -4.453210776,      -1.984639138,               -32,      -2.011758657,       1.017710671,      -8.479858641
          0,           0,          27,      -4.442539767,      -1.987007801,               -32,      -2.005752465,       1.028350094,      -8.473824206
          0,           0,          28,      -4.434244025,      -1.986828521,               -32,      -1.998766811,       1.036649686,      -8.468890986
          0,           0,          29,      -4.427587797,       -1.98162233,               -32,      -1.988632899,        1.04315968,      -8.463425788
          0,           0,          30,      -4.421603194,      -1.970375524,               -32,      -1.974020553,       1.048731812,      -8.456431339
          0,           0,          31,      -4.415773381,      -1.954734443,               -32,      -1.955797708,       1.053930577,      -8.448603599
          0,           0,          32,      -4.410452185,      -1.938202161,               -32,      -1.936845274,       1.058615375,      -8.441997191
          0,           0,          33,      -4.406608389,       -1.92407836,               -32,      -1.920421147,       1.062072476,      -8.438475323
          0,           0,          34,      -4.405088815,       -1.91399303,               -32,      -1.908611135,       1.063596913,      -8.438244785
          0,           0,          35,      -4.405967159,       -1.90774591,               -32,      -1.901833247,       1.063071844,      -8.439891801
          0,           0,          36,      -4.408338978,      -1.904026665,               -32,      -1.899167033,       1.061208997,      -8.441243102
          0,           0,          37,      -4.410709866,       -1.90137295,               -32,      -1.899016987,       1.059245497,      -8.440438466
          0,           0,          38,      -4.411653676,      -1.898803957,               -32,      -1.899947017,       1.058453244,       -8.43692971
          0,           0,          39,      -4.410465611,      -1.896182303,               -32,      -1.900821377,       1.059489192,      -8.430629578
          0,           0,          40,      -4.406802911,      -1.893662708,               -32,      -1.901443316,       1.062682277,      -8.422674272
          0,           0,          41,      -4.401173419,      -1.891674715,               -32,      -1.901581334,       1.067740265,      -8.413806096
          0,           0,          42,      -4.394313304,      -1.890378708,               -32,      -1.901622582,       1.074079998,      -8.404702703
          0,           0,          43,      -4.386822633,      -1.889720153,               -32,      -1.901716171,       1.081199653,      -8.395688586
          0,           0,          44,      -4.379123869,      -1.889477105,               -32,      -1.901967287,        1.08866661,      -8.386938274
          0,           0,          45,      -4.371522307,      -1.889392923,               -32,      -1.902242088,       1.096170534,       -8.37852303
          0,           0,          46,      -4.364218302,      -1.889274732,               -32,      -1.902296734,       1.103473678,      -8.370520352
          0,           0,          47,      -4.357375388,       -1.88905831,               -32,      -1.901802052,        1.11038105,      -8.362995859
          0,           0,          48,       -4.35113477,      -1.888822307,               -32,      -1.900490127,       1.116723655,      -8.356017957
          0,           0,          49,      -4.345605855,       -1.88873117,               -32,      -1.898248374,       1.122366091,      -8.349643158
