"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,           0,       -2.32286008,      -2.863111099,      -2.854385839
          0,           0,           1,      -2.473021549,       -2.44408896,       -3.00810977
          0,           0,           2,      -2.475481047,       -2.45471105,      -3.006680062
          0,           0,           3,      -2.475328207,      -2.456819828,      -2.994199818
          0,           0,           4,      -2.475142178,      -2.457149519,      -2.989528497
          0,           0,           5,      -2.474966139,      -2.457351983,      -2.987830652
          0,           0,           6,       -2.47488597,      -2.457435717,      -2.987028256
          0,           0,           7,      -2.474852354,      -2.457467186,      -2.986597059
          0,           0,           8,      -2.474830596,      -2.457489143,      -2.986405254
          0,           0,           9,      -2.474830223,      -2.457490981,      -2.986216863
          0,           0,          10,      -2.474804134,      -2.457507518,      -2.986275825
          0,           0,          11,      -2.474804157,       -2.45750073,      -2.986142992
          0,           0,          12,      -2.474812022,      -2.457506518,      -2.986083832
          0,           0,          13,      -2.474811898,      -2.457506354,      -2.986094984
          0,           0,          14,      -2.474814392,      -2.457504741,      -2.986079555
          0,           0,          15,      -2.474808624,      -2.457508698,       -2.98612767
          0,           0,          16,      -2.474813883,      -2.457503563,      -2.986066263
          0,           0,          17,       -2.47480533,      -2.457509253,      -2.986123247
          0,           0,          18,      -2.474805088,      -2.457505592,      -2.986091343
          0,           0,          19,      -2.474810258,       -2.45750641,      -2.986061636
          0,           0,          20,      -2.474810245,      -2.457507677,      -2.986084302
          0,           0,          21,      -2.474808977,      -2.457505937,      -2.986082395
          0,           0,          22,      -2.474808239,       -2.45750714,      -2.986088256
          0,           0,          23,      -2.474805217,      -2.457508033,      -2.986099233
          0,           0,          24,       -2.47481223,      -2.457504341,      -2.986043256
          0,           0,          25,       -2.47482189,      -2.457501991,      -2.985992212
          0,           0,          26,      -2.474815591,      -2.457507406,      -2.986087983
          0,           0,          27,      -2.474805085,      -2.457506336,      -2.986117414
          0,           0,          28,      -2.474801856,      -2.457507323,      -2.986095058
          0,           0,          29,      -2.474801677,      -2.457507723,      -2.986070376
          0,           0,          30,      -2.474800224,      -2.457508944,      -2.986072716
          0,           0,          31,      -2.474811015,      -2.457504692,      -2.986000616
          0,           0,          32,      -2.474793556,      -2.457513692,      -2.986110823
          0,           0,          33,      -2.474796759,       -2.45750439,      -2.986016198
          0,           0,          34,      -2.474804067,      -2.457510203,      -2.986000468
          0,           0,          35,      -2.474802332,      -2.457509469,      -2.986025636
          0,           0,          36,      -2.474813096,      -2.457502754,      -2.985938015
          0,           0,          37,      -2.474801506,      -2.457512842,      -2.986055019
          0,           0,          38,      -2.474791992,        -2.4575085,      -2.986044743
          0,           0,          39,      -2.474796143,      -2.457508926,      -2.985985464
          0,           0,          40,      -2.474804412,      -2.457506878,      -2.985934256
          0,           0,          41,      -2.474793069,      -2.457514134,      -2.986035667
          0,           0,          42,      -2.474793676,      -2.457507632,      -2.985976555
          0,           0,          43,      -2.474792824,      -2.457512784,      -2.985989199
          0,           0,          44,      -2.474804496,      -2.457504603,      -2.985884037
          0,           0,          45,      -2.474794595,      -2.457515058,      -2.985998885
          0,           0,          46,      -2.474790134,      -2.457508369,      -2.985964632
          0,           0,          47,      -2.474790952,       -2.45751152,      -2.985947713
          0,           0,          48,      -2.474787337,      -2.457513486,      -2.985969134
          0,           0,          49,      -2.474796103,       -2.45750864,      -2.985894514
          0,           0,          50,      -2.474795101,      -2.457513641,      -2.985938416
          0,           0,          51,      -2.474795063,      -2.457509279,      -2.985922174
          0,           0,          52,      -2.474791607,      -2.457512593,       -2.98595165
          0,           0,          53,      -2.474792685,      -2.457509966,       -2.98592365
