Point ID,Density,Energy,Grid_Velocity_0,Grid_Velocity_1,Grid_Velocity_2,Grid_Velocity_Magnitude,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
0,1.56995,364515,0,-272.271,32.1446,274.162,0.309572,0.253901,-172.152,16.3058,172.923,0.00832213,0.122784,1.04,1.04726,141996,0.745531,315.08,0.161681,-109.666,10.3914,110.157
1,1.5076,306350,0,-272.271,32.4064,274.193,0.8912,-18.9891,-407.798,37.014,409.914,0.00832135,0.123784,1.04,1.04737,100246,-0.0197797,231.64,-12.5881,-270.493,24.5463,271.896
2,1.44038,324170,0,-272.271,31.8274,274.125,0.294165,0.520162,-147.677,16.5325,148.601,0.00832173,0.121572,1.04,1.04711,126600,0.463324,306.188,0.361174,-102.53,11.4717,103.171
3,1.23675,281440,0,-272.271,31.4441,274.081,0.332949,0.721146,-144.126,13.0771,144.72,0.00831923,0.120108,1.04,1.04695,109187,0.144118,307.555,0.583184,-116.568,10.5592,117.046
4,1.38107,296524,0,-272.271,30.9825,274.028,0.162338,1.55378,-76.2798,13.4391,77.4702,0.00831342,0.118344,1.04,1.04674,117738,0.30087,296.981,1.12511,-55.2238,9.73027,56.0857
5,1.25962,273955,0,-272.271,30.4289,273.966,0.206362,1.85329,-89.3993,11.4991,90.1549,0.00830245,0.11623,1.04,1.04651,108291,0.127686,299.489,1.47135,-70.9801,9.12319,71.5792
6,1.26221,269702,0,-272.271,29.7683,273.894,0.153409,2.65924,-65.5358,12.4441,66.7598,0.0082838,0.113707,1.04,1.04623,107174,0.107225,295.793,2.10683,-51.9209,9.85984,52.8908
7,1.27457,270104,0,-272.271,28.9846,273.81,0.125505,3.59283,-53.3134,12.9515,54.9815,0.00825405,0.110713,1.04,1.04591,107567,0.114426,293.999,2.81884,-41.8288,10.1613,43.1375
8,1.24901,264428,0,-272.271,28.0613,273.714,0.123624,4.43304,-51.6819,11.1296,53.0522,0.00820869,0.107186,1.04,1.04554,105320,0.0732412,293.75,3.54924,-41.3783,8.91066,42.4754
9,1.24855,262480,0,-272.271,26.9825,273.605,0.10373,5.60216,-42.4906,11.4778,44.3687,0.00814203,0.103065,1.04,1.04513,104677,0.0614413,292.062,4.48681,-34.0334,9.1926,35.5374
10,1.22436,256537,0,-272.271,25.734,273.485,0.09662,6.71232,-38.6148,10.0632,40.4651,0.00804707,0.0982966,1.04,1.04467,102347,0.0187316,291.203,5.48232,-31.5412,8.21957,33.0525
11,1.21705,253484,0,-272.271,24.3051,273.354,0.080211,8.15253,-30.5536,10.4528,33.3053,0.00791562,0.0928386,1.04,1.04417,101211,-0.00208395,289.701,6.6985,-25.1053,8.5881,27.366
12,1.59877,394113,0,-272.271,-10.8021,272.486,0.786386,-71.8919,-425.238,3.48633,431.286,-0.014875,-0.0412612,1.04,1.04092,134375,0.605848,292.807,-44.9764,-265.967,2.18327,269.751
13,1.55785,383450,0,-272.271,-10.8079,272.486,0.805751,-38.9477,-426.856,4.82974,428.656,-0.0143763,-0.041283,1.04,1.04092,129790,0.521791,290.224,-24.9999,-274.005,3.09953,275.161
14,1.50556,364637,0,-272.271,-10.7716,272.484,0.749838,-104.045,-372.127,1.60384,386.402,-0.0153605,-0.0411447,1.04,1.04093,126019,0.452672,291.572,-69.0993,-247.177,1.06493,256.656
15,1.6134,373284,0,-272.271,32.1548,274.164,0.370045,69.3672,-198.72,13.1724,210.891,0.00804495,0.122822,1.04,1.04726,143800,0.778613,310.49,42.9933,-123.169,8.163,130.712
16,1.31055,297982,0,-272.271,-9.77985,272.447,0.424229,138.365,-135.267,5.02137,193.565,-0.00975428,-0.0373563,1.04,1.04072,113474,0.222712,301.632,105.579,-103.211,3.82911,147.696
17,1.21514,265228,0,-272.271,-9.34351,272.432,0.371589,130.698,-83.0367,1.28421,154.85,-0.00879583,-0.0356896,1.04,1.04065,102143,0.0149867,292.817,107.569,-68.3217,1.05967,127.437
18,1.36628,317960,0,-272.271,-10.1247,272.46,0.488733,141.22,-185.58,8.70225,233.364,-0.0106614,-0.0386735,1.04,1.04077,119212,0.327878,303.952,103.364,-135.829,6.37542,170.805
19,1.44255,344781,0,-272.271,-10.3891,272.47,0.559186,140.507,-245.537,4.7064,282.937,-0.0115197,-0.0396835,1.04,1.04082,126806,0.467099,306.217,97.4358,-170.161,3.25316,196.11
20,1.50606,370895,0,-272.271,-10.5819,272.477,0.653449,102.179,-329.904,3.6912,345.385,-0.0123299,-0.0404199,1.04,1.04086,132515,0.571753,306.524,67.8467,-219.048,2.4492,229.328
21,1.5416,379700,0,-272.271,-10.7104,272.482,0.710027,99.2738,-367.129,6.05748,380.363,-0.0130866,-0.0409106,1.04,1.04089,133093,0.582336,300.762,64.3789,-238.155,3.92837,246.734
22,1.63328,414407,0,-272.271,-10.7821,272.485,0.773576,14.4886,-440.471,6.77688,440.761,-0.0137756,-0.0411845,1.04,1.04091,141970,0.745066,302.821,8.90116,-269.664,4.14151,269.842
23,1.53525,367064,0,-272.271,-10.7035,272.482,0.674154,-152.328,-322.531,-2.83691,356.705,-0.0159108,-0.0408845,1.04,1.04092,130247,0.53017,295.563,-99.2496,-210.047,-1.82629,232.322
24,1.32003,298317,0,-272.271,-10.5849,272.477,0.578422,-168.485,-197.521,0.457605,259.619,-0.0164975,-0.0404312,1.04,1.04092,109109,0.142693,287.896,-127.682,-149.605,0.342097,196.684
25,1.32674,294257,0,-272.271,-10.4068,272.47,0.475026,-149.945,-154.527,-0.893368,215.321,-0.0170897,-0.039751,1.04,1.0409,110706,0.171965,290.704,-113.061,-116.393,-0.668657,162.267
26,1.18807,259029,0,-272.271,-10.163,272.461,0.373683,-122.516,-90.2438,-0.100869,152.165,-0.0176655,-0.0388198,1.04,1.04087,99712.9,-0.0295513,292.375,-103.122,-75.9591,-0.0847878,128.078
27,1.09046,224760,0,-272.271,-9.8469,272.449,0.298921,-107.549,-19.5865,-2.2305,109.341,-0.0182122,-0.0376124,1.04,1.04084,87710,-0.249577,280.192,-98.6306,-17.956,-2.04938,100.273
28,0.971589,192021,0,-272.271,-9.44994,272.435,0.27175,-83.1174,24.9289,-4.24786,86.8792,-0.0187211,-0.0360961,1.04,1.04079,75252.7,-0.477932,269.804,-85.5526,25.6686,-4.38407,89.4279
29,0.939421,184154,0,-272.271,-8.96135,272.419,0.215575,-59.8017,29.3539,1.98137,66.647,-0.019183,-0.0342298,1.04,1.04074,72715.7,-0.524438,269.632,-63.6615,31.2551,2.10557,70.9514
