Point ID,Density,Energy,Grid_Velocity_0,Grid_Velocity_1,Grid_Velocity_2,Grid_Velocity_Magnitude,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude
0,1.45711,342005,0,-217.293,-10.8021,217.562,0.626342,-60.5128,-308.144,1.88568,314.035,-0.0130424,-0.0412612,0.83,0.831127,123260,0.402082,294.684,-41.5238,-211.473,1.29006,215.515
1,1.46155,343025,0,-217.293,-10.8079,217.562,0.636238,-18.5719,-318.87,6.1754,319.47,-0.0125436,-0.041283,0.83,0.831121,123239,0.401711,293.741,-12.7098,-218.17,4.22321,218.581
2,1.39428,323101,0,-217.293,-10.7716,217.56,0.595974,-82.466,-272.978,3.20242,285.18,-0.0135279,-0.0411447,0.83,0.831129,117554,0.297498,293.684,-59.041,-195.861,2.28014,204.579
3,1.51824,338572,0,-217.293,32.1446,219.658,0.240425,0.322225,-127.704,7.86892,127.947,0.0101548,0.122784,0.83,0.839094,133272,0.585621,305.787,0.212333,-84.117,5.17125,84.2761
4,1.39008,278841,0,-217.293,32.4064,219.697,0.694613,3.15551,-302.39,25.2682,303.46,0.010154,0.123784,0.83,0.839241,98262.5,-0.0561394,246.277,2.05103,-217.564,18.147,218.329
5,1.36084,298656,0,-217.293,31.8274,219.612,0.260667,0.467778,-122.658,11.153,123.165,0.0101544,0.121572,0.83,0.838918,117231,0.291574,300.104,0.343709,-90.1541,8.19467,90.5264
6,1.24634,273856,0,-217.294,31.4441,219.557,0.258689,0.668089,-111.626,9.59132,112.039,0.0101519,0.120108,0.83,0.838707,107528,0.113705,300.545,0.536124,-89.5726,7.69519,89.9042
7,1.36174,288474,0,-217.293,30.9825,219.491,0.122676,1.31152,-56.3978,10.7078,57.4203,0.0101461,0.118344,0.83,0.838456,114905,0.248933,293.948,0.963183,-41.4099,7.86497,42.1612
8,1.2385,265152,0,-217.293,30.4289,219.414,0.165925,1.51046,-70.1089,10.2153,70.8653,0.0101351,0.11623,0.83,0.83816,105249,0.0719234,296.04,1.2196,-56.6198,8.24905,57.2306
9,1.26202,266686,0,-217.293,29.7683,219.323,0.121161,2.20163,-51.6532,9.02315,52.4816,0.0101164,0.113707,0.83,0.837813,106238,0.0900534,293.253,1.74456,-40.9311,7.15253,41.588
10,1.26103,264552,0,-217.293,28.9846,219.218,0.0945619,2.93564,-39.5534,9.63342,40.8153,0.0100867,0.110713,0.83,0.837412,105556,0.0775597,291.6,2.32801,-31.3694,7.64078,32.3703
11,1.23464,258828,0,-217.294,28.0613,219.098,0.0942606,3.58424,-38.4641,9.68398,39.826,0.0100413,0.107186,0.83,0.836953,103274,0.0357271,291.395,2.90302,-31.1529,7.84285,32.2559
12,1.23816,258082,0,-217.294,26.9825,218.962,0.0722148,4.58019,-28.7117,9.28088,30.5201,0.00997467,0.103065,0.83,0.836434,103082,0.0321985,290.024,3.69919,-23.1896,7.49576,24.6501
13,1.22665,255232,0,-217.293,25.734,218.812,0.066683,5.52614,-25.7237,9.27344,27.897,0.00987971,0.0982966,0.83,0.835859,101966,0.011745,289.576,4.50497,-20.9693,7.56052,22.7413
14,1.2178,252856,0,-217.294,24.3051,218.649,0.059912,6.61609,-22.0117,9.46024,24.8552,0.00974826,0.0928386,0.83,0.835233,101040,-0.00521939,289.033,5.43282,-18.0753,7.76831,20.4102
15,1.49567,334101,0,-217.294,32.1548,219.66,0.305532,50.509,-149.87,19.6182,159.364,0.00987759,0.122822,0.83,0.839096,130235,0.529951,303.335,33.7688,-100.187,13.1539,106.54
16,1.18313,248770,0,-217.293,-8.80258,217.472,0.264734,99.2932,-37.4573,5.88362,106.286,-0.00595113,-0.0336234,0.83,0.830702,97593.4,-0.0684035,287.339,83.9485,-31.6273,4.97809,89.8467
17,1.17671,245634,0,-217.293,-8.14217,217.446,0.235184,90.3989,-24.9392,4.60974,93.8891,-0.00488539,-0.0311008,0.83,0.830597,96755.1,-0.0837702,286.44,76.8232,-21.194,3.91747,79.7894
18,1.21324,258914,0,-217.293,-9.34351,217.494,0.297309,108.781,-57.3188,5.9012,123.1,-0.00696318,-0.0356896,0.83,0.830796,101063,-0.00479947,290.177,89.6756,-47.1785,4.85868,101.445
19,1.23901,268176,0,-217.294,-9.77985,217.513,0.336559,116.591,-82.5056,4.18361,142.892,-0.00792164,-0.0373563,0.83,0.830878,103973,0.0485363,292.326,94.1059,-66.5897,3.36894,115.332
20,1.29744,287017,0,-217.293,-10.1247,217.529,0.3861,118.224,-125.92,3.80517,172.763,-0.00882876,-0.0386735,0.83,0.830947,110205,0.162782,295.904,91.1139,-97.0384,2.93395,133.142
21,1.31475,292343,0,-217.293,-10.3891,217.542,0.439343,130.087,-149.302,4.06588,198.066,-0.00968709,-0.0396835,0.83,0.831005,110943,0.176312,293.919,99.0876,-113.456,3.06343,150.665
22,1.1778,240893,0,-217.294,12.2239,217.637,0.0479258,17.5206,1.08446,7.47079,19.0777,0.00764537,0.0466918,0.83,0.831347,96295.1,-0.0922024,284.816,14.8758,0.920463,6.34299,16.1979
23,1.18529,242971,0,-217.293,14.5503,217.78,0.0431342,14.9257,-3.02546,8.17253,17.2835,0.00820232,0.0555782,0.83,0.831899,97137.8,-0.0767562,285.493,12.5925,-2.55266,6.89498,14.5818
24,1.17078,238916,0,-217.293,9.86298,217.517,0.0559714,20.5554,4.34528,6.92887,22.1227,0.00698597,0.0376738,0.83,0.830884,95482.5,-0.107098,284.104,17.557,3.71076,5.91808,18.8956
25,1.16437,237101,0,-217.293,7.51732,217.423,0.0664244,24.1569,7.39993,6.49974,26.0876,0.00621998,0.028714,0.83,0.83052,94723.4,-0.121013,283.398,20.747,6.35462,5.58213,22.4049
26,1.16825,241098,0,-217.293,17.2929,217.981,0.151747,57.3605,-8.09929,15.8837,60.0676,-0.00485024,0.066054,0.83,0.832638,95821.3,-0.100888,285.731,49.0997,-6.93312,13.5962,51.417
27,1.15995,238291,0,-217.293,15.1012,217.818,0.148467,56.2646,-1.71774,14.8846,58.2255,-0.00677058,0.0576824,0.83,0.832029,94731.8,-0.12086,284.503,48.5062,-1.4811,12.8322,50.1967
28,1.17953,244330,0,-217.293,19.3618,218.154,0.155291,58.523,-13.3934,16.1417,62.1681,-0.00297452,0.0739568,0.83,0.833294,97076.4,-0.0778808,286.704,49.616,-11.3561,13.685,52.7066
29,1.18848,247157,0,-217.293,21.2789,218.333,0.159658,59.1698,-19.1912,17.1401,64.5225,-0.00118569,0.0812793,0.83,0.833971,98162.3,-0.0579756,287.729,49.7861,-16.1477,14.4218,54.2899
30,1.20012,250445,0,-217.293,23.0247,218.51,0.16394,59.8447,-24.6124,17.3688,66.9988,0.000484301,0.0879479,0.83,0.834647,99429.8,-0.0347407,288.618,49.8661,-20.5092,14.4724,55.8274
31,1.15319,237769,0,-217.294,-7.34626,217.418,0.213092,82.3603,-9.37316,3.5198,82.9666,-0.0037689,-0.0280606,0.83,0.830483,93913.3,-0.135864,283.7,71.4188,-8.12582,3.05205,71.9444
32,1.22685,258782,0,-217.293,27.1797,218.987,0.18038,60.1012,-42.1227,18.5964,75.712,0.00461549,0.103819,0.83,0.83648,102578,0.0229709,291.267,48.9883,-34.3342,15.1577,61.7126
33,1.21783,256067,0,-217.293,25.9727,218.84,0.174288,60.2469,-35.9452,18.3473,72.5146,0.00339224,0.0992083,0.83,0.835915,101563,0.00435626,290.522,49.4709,-29.516,15.0657,59.5445
34,1.22965,260854,0,-217.293,28.2215,219.118,0.187318,59.3614,-48.6248,18.7751,78.9978,0.00568729,0.107798,0.83,0.83699,103326,0.0366888,292.727,48.2775,-39.5453,15.2705,64.2475
