,Points_1,Pressure,,,,,,,,,,,,,,,r,v,q
2,-0.0411845,130727,,-0.041283,0.165067,,0.000596727,-0.775901003,,,,,,,,,0.95,248.7094184,37894.00953
2,-0.0409106,133321,,0.123784,,,0.002256054,-0.844355095,,,,,,,,,,,
2,-0.0404312,115476,,,,,0.005160329,-0.373436334,,,,,,,,,,,
2,-0.039751,105057,,,,,0.00928108,-0.098485224,,,,,,,,,,,
2,-0.0388198,94724.5,,,,,0.014922425,0.174183204,,,,,,,,,,,
2,-0.0376124,87348.7,,,,,0.022237031,0.368826107,,,,,,,,,,,
2,-0.0360961,81933.9,,,,,0.031422998,0.511719405,,,,,,,,,,,
2,-0.0342298,76600.5,,,,,0.042729316,0.652464606,,,,,,,,,,,
2,-0.0319647,70381.3,,,,,0.056451623,0.816585534,,,,,,,,,,,
2,-0.0292461,70459.2,,,,,0.072921299,0.8145298,,,,,,,,,,,
2,-0.026016,69769.2,,,,,0.092489716,0.832738483,,,,,,,,,,,
2,-0.0222164,69773.2,,,,,0.115508248,0.832632925,,,,,,,,,,,
2,-0.0177937,71226.9,,,,,0.142301611,0.794270661,,,,,,,,,,,
2,-0.0127049,71819.7,,,,,0.173130305,0.778627028,,,,,,,,,,,
2,-0.00692334,74923.3,,,,,0.20815584,0.6967249,,,,,,,,,,,
2,-0.000446744,77534.5,,,,,0.247392004,0.627816911,,,,,,,,,,,
2,0.00669683,80428.8,,,,,0.290668819,0.551438084,,,,,,,,,,,
2,0.014444,82758.4,,,,,0.337602307,0.489961348,,,,,,,,,,,
2,0.0226942,85163.1,,,,,0.387583224,0.426502769,,,,,,,,,,,
2,0.0313126,87365,,,,,0.43979475,0.36839596,,,,,,,,,,,
2,0.0401364,89505.9,,,,,0.493250619,0.311898903,,,,,,,,,,,
2,0.0489868,91461.2,,,,,0.546867636,0.260299718,,,,,,,,,,,
2,0.0576824,93256.1,,,,,0.599546851,0.212933392,,,,,,,,,,,
2,0.066054,94942.5,,,,,0.650263226,0.168430316,,,,,,,,,,,
2,0.0739568,96294.6,,,,,0.698139543,0.132749215,,,,,,,,,,,
2,0.0812793,98006.7,,,,,0.742500318,0.087567931,,,,,,,,,,,
2,0.0879479,99498.2,,,,,0.782899671,0.048208147,,,,,,,,,,,
2,0.0939256,100642,,,,,0.819113451,0.018023957,,,,,,,,,,,
2,0.0992083,101935,,,,,0.851116819,-0.016097531,,,,,,,,,,,
2,0.103819,103938,,,,,0.879049113,-0.06895549,,,,,,,,,,,
2,0.107798,104151,,,,,0.903154477,-0.074576431,,,,,,,,,,,
2,0.111201,107506,,,,,0.923770348,-0.163112853,,,,,,,,,,,
2,0.114087,107483,,,,,0.941254157,-0.162505897,,,,,,,,,,,
2,0.116517,108116,,,,,0.955975452,-0.179210384,,,,,,,,,,,
2,0.118553,118095,,,,,0.968309838,-0.442550161,,,,,,,,,,,
2,0.120249,111149,,,,,0.978584454,-0.25924942,,,,,,,,,,,
2,0.121658,121094,,,,,0.987120381,-0.521691957,,,,,,,,,,,
2,0.122822,139437,,,,,0.994172063,-1.005752637,,,,,,,,,,,
2,0.123784,100046,,,,,1,0.033752037,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
1,-0.041283,136235,,,,,0,-0.921253793,,,,,,,,,,,
1,-0.0412612,124459,,,,,0.000132068,-0.610492273,,,,,,,,,,,
1,-0.0411447,127536,,,,,0.000837842,-0.691692442,,,,,,,,,,,
1,-0.0408845,119992,,,,,0.002414171,-0.492610844,,,,,,,,,,,
