"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,           0,      -2.831253576,      -12.14083442,      -12.13335907,      -12.13709337,       2.332281853
          0,           0,           1,      -2.817110881,      -0.370417706,     -0.4594301175,      -0.474913193,        2.56458549
          0,           0,           2,      -2.771071306,     -0.2338964936,     -0.3135228799,     -0.3331297725,       2.673435337
          0,           0,           3,      -2.757225827,     -0.1981208401,     -0.2812766285,     -0.2900560624,       2.691038946
          0,           0,           4,      -2.823669755,     -0.2124473119,     -0.3290202828,     -0.3396533577,       2.627861848
          0,           0,           5,      -2.919006684,     -0.2475359651,     -0.3988303339,       -0.40596278,       2.541474323
          0,           0,           6,      -2.993208872,     -0.2912698722,     -0.4554040455,     -0.4610805661,       2.467557563
          0,           0,           7,      -3.041334805,     -0.3400621179,     -0.5019492537,     -0.5043611844,       2.419322861
          0,           0,           8,      -3.070554352,     -0.3913878149,     -0.5406321963,     -0.5386946521,       2.390577396
          0,           0,           9,      -3.098222314,     -0.4415497287,     -0.5734211079,     -0.5692993368,       2.363644741
          0,           0,          10,      -3.139659947,     -0.4880517802,     -0.6060914703,     -0.6018500912,       2.322960013
          0,           0,          11,       -3.20305029,      -0.530569414,     -0.6431797421,     -0.6389956812,       2.257764577
          0,           0,          12,      -3.286576853,     -0.5698417348,     -0.6830486442,     -0.6777194891,       2.164520854
          0,           0,          13,       -3.36057629,      -0.606107219,     -0.7158489909,     -0.7082485264,       2.067202231
          0,           0,          14,      -3.361453994,     -0.6385689018,     -0.7283202135,     -0.7185042549,       2.048461476
          0,           0,          15,      -3.293317687,     -0.6668403328,     -0.7190922496,     -0.7081628639,       2.127361813
          0,           0,          16,      -3.221474814,     -0.6913383303,     -0.7012160685,       -0.68953465,       2.215780277
          0,           0,          17,      -3.175680227,     -0.7137499529,     -0.6887776254,     -0.6759247084,       2.274142215
          0,           0,          18,      -3.160677177,     -0.7363897406,     -0.6896922983,     -0.6750998309,       2.298321992
          0,           0,          19,      -3.175642389,     -0.7612395852,     -0.7067878822,     -0.6900087617,       2.290403717
          0,           0,          20,      -3.219471282,     -0.7891404622,     -0.7397329997,     -0.7204630018,       2.252063533
          0,           0,          21,      -3.290501163,      -0.819425063,     -0.7852267852,     -0.7633659094,       2.184650352
          0,           0,          22,      -3.383071071,     -0.8500995916,     -0.8362201457,     -0.8120898174,       2.091974855
          0,           0,          23,      -3.482749139,      -0.878707534,     -0.8831380601,     -0.8577213119,       1.984175899
          0,           0,          24,      -3.556874223,     -0.9035783102,     -0.9166831302,     -0.8914640688,       1.891868983
          0,           0,          25,      -3.581764565,      -0.924660059,     -0.9351765602,     -0.9113759425,       1.851574766
          0,           0,          26,      -3.579223516,     -0.9436195979,     -0.9455101895,     -0.9233139946,       1.852616322
          0,           0,          27,      -3.582177069,     -0.9624893795,     -0.9558088792,     -0.9347743572,       1.855470685
          0,           0,          28,      -3.604662791,     -0.9825662243,     -0.9701766187,     -0.9498099288,       1.839604203
          0,           0,          29,        -3.6458736,      -1.003878044,      -0.988178414,      -0.968221329,       1.803526128
          0,           0,          30,      -3.695607755,      -1.025304994,      -1.006668382,     -0.9871274283,       1.756775422
          0,           0,          31,      -3.738762987,      -1.045223028,      -1.022425273,      -1.003346489,       1.714794536
          0,           0,          32,      -3.764522423,      -1.062388912,      -1.034019684,      -1.015317711,       1.690156443
          0,           0,          33,      -3.776127451,      -1.076327181,      -1.042180667,      -1.023648257,       1.681280582
          0,           0,          34,      -3.785743532,      -1.087396553,      -1.048611214,      -1.029971889,       1.675948542
          0,           0,          35,      -3.801704406,      -1.096341154,      -1.054380543,      -1.035396249,       1.664842728
          0,           0,          36,      -3.823771487,       -1.10382564,      -1.059366412,      -1.039942341,       1.647160272
          0,           0,          37,      -3.844543712,      -1.110110887,      -1.062747374,      -1.042955467,        1.62935276
          0,           0,          38,      -3.855358815,      -1.115104536,      -1.063981697,      -1.043997065,       1.619672343
          0,           0,          39,      -3.855121461,      -1.118876865,      -1.063717701,      -1.043695379,       1.619885045
          0,           0,          40,      -3.850875455,      -1.121638195,      -1.063398498,      -1.043404465,       1.624013026
          0,           0,          41,      -3.850834707,      -1.123641341,      -1.064390593,      -1.044402524,       1.624229238
          0,           0,          42,      -3.858386453,      -1.125030083,      -1.067209871,      -1.047204803,       1.616734381
          0,           0,          43,       -3.87045055,      -1.125733462,      -1.071285904,      -1.051370577,       1.603827902
          0,           0,          44,      -3.878889639,      -1.125461315,      -1.075312024,      -1.055765142,       1.593139967
          0,           0,          45,      -3.874808268,      -1.123832342,      -1.077786804,      -1.059076019,       1.594114381
          0,           0,          46,      -3.854428957,      -1.120591873,      -1.077645295,      -1.060350832,       1.612159368
          0,           0,          47,      -3.822602836,      -1.115743362,      -1.074771873,       -1.05943327,       1.643671161
          0,           0,          48,       -3.78931605,      -1.109667295,      -1.070144705,      -1.057119251,        1.67858328
          0,           0,          49,      -3.762744134,      -1.102943166,      -1.065299661,      -1.054695202,       1.707957672
          0,           0,          50,       -3.74671632,      -1.096126427,      -1.061535293,      -1.053251652,         1.7272985
          0,           0,          51,      -3.741996862,      -1.089627691,      -1.059534491,      -1.053356081,       1.735432094
          0,           0,          52,      -3.747648937,      -1.083658502,      -1.059352963,      -1.055009169,       1.733031565
          0,           0,          53,      -3.761741587,      -1.078254323,      -1.060580007,      -1.057782688,       1.721807441
          0,           0,          54,      -3.781696613,      -1.073341289,      -1.062564144,      -1.061034933,       1.704116058
          0,           0,          55,      -3.804591269,      -1.068789721,      -1.064634985,      -1.064123784,       1.682673975
          0,           0,          56,       -3.82757387,      -1.064467924,      -1.066269821,      -1.066571606,       1.660207763
          0,           0,          57,      -3.848444093,      -1.060273351,       -1.06718037,      -1.068140088,       1.638955124
          0,           0,          58,      -3.866102908,      -1.056171922,      -1.067311843,      -1.068846918,       1.620232776
          0,           0,          59,      -3.880586238,      -1.052173912,      -1.066777025,      -1.068863008,       1.604317883
          0,           0,          60,      -3.892634168,      -1.048323412,      -1.065763699,      -1.068411858,       1.590750374
          0,           0,          61,      -3.903144052,      -1.044671179,      -1.064459891,      -1.067693401,       1.578804475
          0,           0,          62,      -3.912828421,      -1.041269904,       -1.06301847,      -1.066854745,       1.567839367
          0,           0,          63,      -3.922144909,      -1.038168499,      -1.061558498,      -1.065997718,       1.557414281
          0,           0,          64,      -3.931359481,      -1.035413375,      -1.060174458,       -1.06518887,       1.547257397
          0,           0,          65,      -3.940610399,       -1.03305237,      -1.058937456,      -1.064477827,       1.537215736
          0,           0,          66,      -3.949928332,      -1.031122645,       -1.05789785,        -1.0638995,       1.527231533
          0,           0,          67,       -3.95922792,      -1.029658568,       -1.05708176,      -1.063474665,       1.517351219
