"Time_Iter","Outer_Iter","Inner_Iter",     "rms[P]"     ,     "rms[U]"     ,     "rms[V]"     
          0,           0,           0,      -4.799716601,      -19.88778659,               -32
          0,           0,           1,      -4.478795461,      -3.311822941,      -4.833863716
          0,           0,           2,      -4.629932201,      -3.954784679,      -4.880821789
          0,           0,           3,      -4.507171718,      -4.021936173,      -5.192241404
          0,           0,           4,      -4.542636464,      -4.024899405,      -5.309769548
          0,           0,           5,      -4.726829467,      -4.170686481,      -5.416838955
          0,           0,           6,      -4.966143352,      -4.414693095,      -5.499138857
          0,           0,           7,      -5.059778241,      -4.528849239,      -5.678531918
          0,           0,           8,      -5.046130691,      -4.489538201,      -5.827518189
          0,           0,           9,      -5.104696415,      -4.517593191,      -5.777852536
          0,           0,          10,      -5.291420436,      -4.670434733,      -5.667309308
          0,           0,          11,      -5.585159883,      -4.936314673,      -5.612115885
          0,           0,          12,      -5.696304743,      -5.068509177,       -5.59955194
          0,           0,          13,      -5.596355404,      -4.963194917,      -5.607807226
          0,           0,          14,      -5.571096396,      -4.932768852,      -5.628550984
          0,           0,          15,      -5.579401326,      -4.943129996,      -5.661965479
          0,           0,          16,      -5.598088762,      -4.968098036,      -5.708384066
          0,           0,          17,      -5.640042811,      -5.015989767,      -5.767056243
          0,           0,          18,      -5.724312742,      -5.104434287,      -5.838202035
          0,           0,          19,      -5.864322083,      -5.247660695,      -5.923080563
          0,           0,          20,      -6.065793472,       -5.45286609,      -6.023900151
          0,           0,          21,      -6.265449521,      -5.654317309,      -6.144857041
          0,           0,          22,       -6.25279135,      -5.636902438,      -6.290952137
          0,           0,          23,      -6.184096585,      -5.569375278,      -6.462090927
          0,           0,          24,      -6.159762708,       -5.54722116,      -6.657555854
          0,           0,          25,      -6.159333588,      -5.548945407,      -6.874496171
          0,           0,          26,      -6.180916144,       -5.57165761,      -7.051436825
          0,           0,          27,      -6.235619716,       -5.62595032,      -7.085495124
          0,           0,          28,      -6.334647041,      -5.723163004,      -7.053939889
          0,           0,          29,      -6.487759167,      -5.873495166,      -7.040093783
          0,           0,          30,      -6.705290312,      -6.086375107,      -7.052942952
          0,           0,          31,      -6.935627761,      -6.305783586,      -7.078274822
          0,           0,          32,      -6.926165278,      -6.292911537,      -7.104408445
          0,           0,          33,      -6.843249701,      -6.217382495,      -7.126615869
          0,           0,          34,        -6.8138817,      -6.192617305,      -7.144140302
          0,           0,          35,      -6.812282922,      -6.194735192,      -7.167309244
          0,           0,          36,      -6.834409031,      -6.219536311,       -7.19972509
          0,           0,          37,      -6.891586184,      -6.277944958,      -7.244094148
          0,           0,          38,      -6.995755446,       -6.38215128,      -7.304180495
          0,           0,          39,      -7.156422823,      -6.542480527,      -7.383081642
          0,           0,          40,       -7.37818484,      -6.763744967,      -7.486178256
          0,           0,          41,      -7.564147042,      -6.944861722,      -7.616782599
          0,           0,          42,      -7.513311296,      -6.890559346,      -7.778967949
          0,           0,          43,      -7.446680302,      -6.827194702,      -7.956155704
          0,           0,          44,       -7.42557872,      -6.808704087,      -8.103937935
          0,           0,          45,       -7.42822113,      -6.813784193,      -8.172913968
          0,           0,          46,      -7.456095105,      -6.843221708,      -8.175217651
          0,           0,          47,      -7.520841445,      -6.908250604,      -8.170278205
          0,           0,          48,      -7.632819169,      -7.019479178,      -8.185707651
          0,           0,          49,      -7.802314074,      -7.187565325,       -8.22953449
          0,           0,          50,      -8.034537003,      -7.416266164,      -8.298394587
          0,           0,          51,      -8.213575775,      -7.585671579,       -8.38089738
          0,           0,          52,        -8.1462178,      -7.518671497,      -8.457053135
          0,           0,          53,       -8.08054668,      -7.458681474,      -8.505327032
          0,           0,          54,      -8.061238547,      -7.443007308,      -8.527122933
          0,           0,          55,      -8.065733569,      -7.450539483,      -8.543672417
          0,           0,          56,       -8.09671437,      -7.483414422,      -8.566461635
          0,           0,          57,      -8.166108965,      -7.553257746,      -8.602777643
          0,           0,          58,      -8.284753073,      -7.671349573,       -8.65796944
          0,           0,          59,      -8.462427799,       -7.84816969,      -8.735632953
          0,           0,          60,       -8.69702454,       -8.08061098,       -8.83979787
          0,           0,          61,       -8.83189573,      -8.208293318,      -8.970639922
          0,           0,          62,      -8.751667231,      -8.128062333,      -9.120482564
          0,           0,          63,       -8.69709835,      -8.077370159,      -9.247856788
          0,           0,          64,      -8.682479037,       -8.06563027,      -9.315082882
          0,           0,          65,      -8.690399955,      -8.076014922,      -9.333464773
          0,           0,          66,      -8.726687855,       -8.11372947,      -9.338695836
          0,           0,          67,      -8.802927803,      -8.190112427,      -9.355814064
          0,           0,          68,      -8.929034514,      -8.315458037,      -9.395190106
          0,           0,          69,      -9.115718261,      -8.500742548,      -9.461002793
          0,           0,          70,      -9.355647332,        -8.7365663,      -9.551426227
          0,           0,          71,      -9.462839774,      -8.835386485,      -9.657932842
          0,           0,          72,      -9.375145555,      -8.750353287,      -9.757793416
          0,           0,          73,      -9.325837351,      -8.705564231,      -9.817224818
          0,           0,          74,      -9.313888442,      -8.696917009,       -9.84179823
          0,           0,          75,      -9.324182881,      -8.709860604,      -9.855486183
          0,           0,          76,      -9.364192186,       -8.75127301,      -9.874543369
          0,           0,          77,      -9.445984563,      -8.833086178,      -9.909076486
          0,           0,          78,      -9.579479286,      -8.965797978,      -9.964456826
          0,           0,          79,      -9.774435551,      -9.159665677,      -10.04480861
          0,           0,          80,      -10.01202669,      -9.393368657,      -10.15099973
          0,           0,          81,      -10.07583886,      -9.450164379,      -10.28012357
          0,           0,          82,      -9.988410488,       -9.36545022,       -10.4127029
          0,           0,          83,      -9.947397904,      -9.328114565,      -10.50164801
          0,           0,          84,      -9.939056492,       -9.32275721,      -10.53896027
          0,           0,          85,       -9.95300174,      -9.339026546,      -10.55062894
          0,           0,          86,      -9.998444457,      -9.385610162,      -10.56319975
          0,           0,          87,      -10.08687072,      -9.473927074,      -10.59164295
          0,           0,          88,      -10.22803169,      -9.614210803,      -10.64293834
          0,           0,          89,      -10.43219174,      -9.816762079,      -10.72079728
          0,           0,          90,      -10.66692617,      -10.04613341,       -10.8226351
          0,           0,          91,      -10.69564907,      -10.06857449,      -10.93995982
          0,           0,          92,      -10.60973865,      -9.986814099,      -11.04613288
          0,           0,          93,      -10.57457651,      -9.955393528,       -11.1034112
          0,           0,          94,      -10.56917318,      -9.953135782,      -11.12560181
          0,           0,          95,       -10.5861814,      -9.972462752,       -11.1375895
          0,           0,          96,      -10.63601864,      -10.02326728,       -11.1567431
          0,           0,          97,      -10.73067992,      -10.11761883,       -11.1935251
          0,           0,          98,      -10.87970571,      -10.26570579,       -11.2523043
          0,           0,          99,      -11.09194816,      -10.47650213,      -11.33767668
          0,           0,         100,      -11.31568763,      -10.69425776,      -11.44756715
          0,           0,         101,      -11.30800991,      -10.68179204,      -11.57518191
          0,           0,         102,      -11.22764244,      -10.60570546,      -11.69207902
          0,           0,         103,       -11.1982543,      -10.57967224,      -11.75683756
          0,           0,         104,       -11.1961231,       -10.5804694,      -11.78110337
          0,           0,         105,      -11.21745463,      -10.60387625,      -11.79213498
          0,           0,         106,      -11.27329473,      -10.66050846,      -11.81070133
          0,           0,         107,      -11.37480953,      -10.76167034,      -11.84723467
          0,           0,         108,      -11.53193052,      -10.91782115,      -11.90728524
          0,           0,         109,      -11.75283865,      -11.13668026,      -11.99414451
          0,           0,         110,      -11.96113094,      -11.33796185,      -12.10412897
          0,           0,         111,      -11.92446797,      -11.29810876,      -12.22666246
          0,           0,         112,      -11.85003504,      -11.22846563,      -12.32829632
          0,           0,         113,       -11.8253216,      -11.20710481,      -12.37758325
          0,           0,         114,      -11.82590473,      -11.21063597,      -12.39521696
          0,           0,         115,       -11.8508644,      -11.23757416,      -12.40651523
          0,           0,         116,      -11.91177631,      -11.29906199,      -12.42814079
          0,           0,         117,      -12.02001479,      -11.40674761,      -12.46935857
          0,           0,         118,      -12.18527665,      -11.57096091,      -12.53360326
          0,           0,         119,      -12.41302596,      -11.79657196,      -12.62494491
