"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,       -3.52753396,      -3.594713238,      -4.106867775,      -2.833416459
          0,           0,           1,      -3.869066882,      -3.734484411,      -3.738900086,      -3.169758526
          0,           0,           2,       -3.84441863,      -3.716722632,      -3.820595756,      -3.148971049
          0,           0,           3,      -3.840352303,      -3.687967075,      -3.833643311,      -3.142363859
          0,           0,           4,      -3.864934835,      -3.707136129,      -3.882200823,      -3.168573219
          0,           0,           5,      -3.882746882,       -3.72525398,      -3.936570131,      -3.189786452
          0,           0,           6,      -3.900738402,      -3.748919886,      -3.926110165,      -3.206376743
          0,           0,           7,      -3.929576053,       -3.79456866,      -3.956138697,      -3.229088214
          0,           0,           8,      -3.942487655,      -3.838838524,      -4.011841822,      -3.251599133
          0,           0,           9,      -3.967906893,      -3.863891922,      -4.053683335,      -3.271348234
          0,           0,          10,       -3.99813269,      -3.883145308,      -4.067481103,      -3.298104175
          0,           0,          11,      -4.039591227,      -3.919530701,      -4.096346617,      -3.327383359
          0,           0,          12,       -4.06888504,      -3.980686778,       -4.14791255,      -3.368069043
          0,           0,          13,      -4.102310723,      -4.052841071,      -4.219467475,      -3.405511134
          0,           0,          14,      -4.135886142,      -4.103903969,      -4.271861697,      -3.446733785
          0,           0,          15,       -4.19162129,      -4.137845123,      -4.306787179,      -3.488681303
          0,           0,          16,      -4.253900624,      -4.179718848,      -4.337134089,      -3.547115047
          0,           0,          17,      -4.328496643,      -4.243787994,      -4.392968142,      -3.617786963
          0,           0,          18,       -4.38107075,      -4.318851864,      -4.458616634,      -3.685562304
          0,           0,          19,      -4.401996541,       -4.37591715,      -4.521792824,      -3.711016884
          0,           0,          20,      -4.397859172,      -4.423020739,      -4.562221581,      -3.712607598
          0,           0,          21,      -4.372965415,      -4.463360179,      -4.600726607,      -3.675468998
          0,           0,          22,      -4.367546346,      -4.496511314,      -4.644303549,      -3.673274122
          0,           0,          23,      -4.398876958,       -4.51681762,      -4.702640379,      -3.694490266
          0,           0,          24,      -4.470873147,       -4.56104907,      -4.783029071,      -3.754681098
          0,           0,          25,      -4.552208598,      -4.630645004,      -4.849273719,      -3.845534088
          0,           0,          26,      -4.644446906,      -4.691403538,      -4.921876891,      -3.935999684
          0,           0,          27,      -4.749933512,       -4.75228154,      -4.996529225,      -4.033923628
          0,           0,          28,      -4.837759139,      -4.812282839,      -5.060138543,      -4.130732308
          0,           0,          29,       -4.90165028,      -4.874404077,      -5.139666984,      -4.198662853
          0,           0,          30,      -4.943940419,      -4.930452011,       -5.20856936,      -4.239489196
          0,           0,          31,      -4.974222849,      -4.985649961,       -5.26657834,      -4.274733871
          0,           0,          32,       -4.99202865,      -5.041826457,      -5.328136853,      -4.287891537
          0,           0,          33,      -5.002201503,      -5.091213739,      -5.383881626,        -4.2962981
          0,           0,          34,      -5.007054449,      -5.125378596,      -5.439284336,      -4.296318145
          0,           0,          35,      -5.037917616,      -5.157860796,      -5.482038899,       -4.33436111
          0,           0,          36,      -5.075589843,        -5.1836821,      -5.530332001,      -4.368313738
          0,           0,          37,      -5.115576157,      -5.210801617,      -5.573585315,      -4.400634383
          0,           0,          38,      -5.171847512,      -5.250435025,      -5.622500834,      -4.462424199
          0,           0,          39,      -5.224533942,      -5.297065077,      -5.682582177,      -4.514049069
          0,           0,          40,      -5.271146916,      -5.342541866,      -5.745496959,      -4.554649879
          0,           0,          41,      -5.330752785,      -5.389699623,       -5.80113262,      -4.619966974
          0,           0,          42,      -5.392457856,      -5.436761758,      -5.871544349,      -4.680121262
          0,           0,          43,      -5.462668245,       -5.48383578,      -5.943591832,      -4.744114895
          0,           0,          44,      -5.542393889,      -5.538458574,      -6.001966322,      -4.828756672
          0,           0,          45,      -5.626479303,      -5.596635103,      -6.067314089,      -4.911860999
          0,           0,          46,      -5.713340754,      -5.659254542,      -6.137372192,      -4.993360777
          0,           0,          47,      -5.800652859,      -5.722611821,      -6.197224545,      -5.084789725
          0,           0,          48,      -5.884892007,      -5.790711933,      -6.270301768,      -5.169326619
          0,           0,          49,      -5.965240069,      -5.859336948,      -6.344531313,      -5.245414457
          0,           0,          50,      -6.046444918,      -5.925796265,        -6.4072111,         -5.330681
          0,           0,          51,      -6.129105697,       -5.99517382,       -6.48244866,      -5.412055279
          0,           0,          52,      -6.218404397,      -6.066296353,      -6.564741176,      -5.495999505
          0,           0,          53,      -6.313300952,      -6.131022431,      -6.635854365,      -5.594038902
          0,           0,          54,      -6.422609712,      -6.197835213,      -6.714109902,      -5.700663834
          0,           0,          55,      -6.542542684,      -6.261711458,      -6.782637222,      -5.817154399
          0,           0,          56,      -6.652721113,       -6.31990676,      -6.836075894,      -5.931101083
          0,           0,          57,      -6.740821803,      -6.376242506,      -6.884873813,      -6.022281872
          0,           0,          58,      -6.768719197,      -6.426589999,      -6.921664806,      -6.064755469
          0,           0,          59,      -6.731798429,      -6.472028042,      -6.948262094,      -6.030239755
          0,           0,          60,       -6.68718159,      -6.511616079,      -6.967390954,      -5.995192458
          0,           0,          61,      -6.622903541,      -6.541851103,      -6.975146002,      -5.924971206
          0,           0,          62,      -6.584845776,      -6.568650682,       -6.98188493,      -5.892822167
          0,           0,          63,      -6.536236567,      -6.583942388,      -6.978054949,      -5.837713148
