"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,      -1.437424975,       1.114803229,     0.07178852595,       4.075857377
          0,           0,           1,      -2.175966393,      0.3288972791,      0.3282194138,        3.33084811
          0,           0,           2,      -2.409566665,  -0.0004408494368,     0.07184302563,       3.090433284
          0,           0,           3,      -2.545628334,     -0.1576488311,    -0.09516207144,        2.94453335
          0,           0,           4,      -2.751336994,     -0.3227041913,     -0.3005100759,       2.752260479
          0,           0,           5,      -2.842460253,     -0.4260123423,     -0.4319540032,       2.645482588
          0,           0,           6,      -3.030253899,     -0.6046576739,     -0.5866566895,       2.464784054
          0,           0,           7,      -3.164798679,     -0.7285733568,     -0.6995582558,        2.32739136
          0,           0,           8,      -3.275321886,     -0.8161843206,     -0.8215317726,       2.206138177
          0,           0,           9,      -3.375264294,     -0.9061925988,     -0.9450360453,       2.095364816
          0,           0,          10,      -3.462158212,     -0.9768657419,      -1.056915837,       1.995518453
          0,           0,          11,      -3.559623168,       -1.03567148,      -1.142134938,       1.889842469
          0,           0,          12,      -3.661641325,       -1.10163394,      -1.223765461,       1.781334881
          0,           0,          13,      -3.754396154,       -1.15045622,      -1.301613568,       1.685677917
          0,           0,          14,      -3.832373954,      -1.199207511,      -1.372124386,       1.604673594
          0,           0,          15,       -3.91037671,      -1.242138637,      -1.431805003,       1.520185333
          0,           0,          16,      -3.966567147,      -1.278969371,      -1.490958496,       1.457527182
          0,           0,          17,      -4.027114761,       -1.31470737,      -1.542290899,       1.385229341
          0,           0,          18,      -4.069178045,      -1.347195515,       -1.59510099,        1.33411793
          0,           0,          19,      -4.119396434,      -1.376769975,      -1.639627638,        1.27007285
          0,           0,          20,      -4.155216507,      -1.405948374,      -1.687063801,       1.224085259
          0,           0,          21,      -4.199138574,       -1.43224825,      -1.728781776,       1.164556817
          0,           0,          22,      -4.228450804,      -1.458567003,      -1.774171123,        1.12636402
          0,           0,          23,      -4.266588791,      -1.483192951,      -1.813895291,       1.071520727
          0,           0,          24,      -4.291253462,      -1.507719995,      -1.856805494,       1.039850411
          0,           0,          25,      -4.325289278,      -1.531136705,      -1.893678498,      0.9881164291
          0,           0,          26,      -4.347606809,      -1.554642147,      -1.933885271,      0.9595988175
          0,           0,          27,      -4.378550616,      -1.577043491,      -1.968580899,      0.9100176375
          0,           0,          28,       -4.39939063,      -1.599742254,      -2.007065091,      0.8832010877
          0,           0,          29,      -4.427739302,      -1.621235142,      -2.040473472,      0.8350929223
          0,           0,          30,       -4.44729579,      -1.643106114,      -2.077859923,      0.8094049692
          0,           0,          31,       -4.47311573,      -1.663708381,      -2.110317383,      0.7624185296
          0,           0,          32,       -4.49123697,      -1.684720141,      -2.146803144,      0.7377603427
          0,           0,          33,      -4.514413959,      -1.704417208,      -2.178426586,       0.691977567
          0,           0,          34,      -4.531004544,      -1.724572274,      -2.214013612,       0.668312764
          0,           0,          35,      -4.551605722,      -1.743367089,      -2.244735686,      0.6238139601
          0,           0,          36,      -4.566758433,      -1.762686364,      -2.279258329,      0.6010115031
          0,           0,          37,      -4.585017117,      -1.780606607,      -2.308934099,      0.5577641356
          0,           0,          38,      -4.598899668,      -1.799124912,      -2.342308863,      0.5356462231
          0,           0,          39,      -4.615089879,      -1.816220296,      -2.370967832,      0.4935630587
          0,           0,          40,      -4.627862611,      -1.833995412,      -2.403322472,      0.4719939903
          0,           0,          41,      -4.642249667,      -1.850340623,      -2.431150823,      0.4310444964
          0,           0,          42,      -4.654060116,      -1.867457837,      -2.462694784,      0.4099786766
          0,           0,          43,      -4.666904685,      -1.883151578,      -2.489883013,      0.3701729854
          0,           0,          44,       -4.67789092,      -1.899716051,      -2.520768071,      0.3496060622
          0,           0,          45,      -4.689432825,      -1.914870219,      -2.547421466,      0.3109567658
          0,           0,          46,      -4.699713642,      -1.930991197,      -2.577695343,      0.2909188806
          0,           0,          47,       -4.71016143,       -1.94571211,      -2.603828096,      0.2534487429
          0,           0,          48,      -4.719835911,      -1.961482861,      -2.633454485,      0.2340062494
          0,           0,          49,      -4.729369318,      -1.975854002,       -2.65901653,      0.1977618282
          0,           0,          50,      -4.738527087,      -1.991340757,       -2.68790962,      0.1790059172
          0,           0,          51,       -4.74730452,      -2.005417085,       -2.71282009,      0.1440435395
          0,           0,          52,      -4.756030041,      -2.020658651,      -2.740878137,      0.1260686822
          0,           0,          53,      -4.764191992,      -2.034470232,      -2.765049867,     0.09243352674
          0,           0,          54,      -4.772563655,      -2.049484818,      -2.792175999,      0.0753154302
          0,           0,          55,      -4.780231506,      -2.063044782,      -2.815531405,     0.04302398428
          0,           0,          56,      -4.788317394,      -2.077837902,      -2.841643671,     0.02680879019
          0,           0,          57,       -4.79559069,      -2.091149425,      -2.864123072,   -0.004159874406
          0,           0,          58,       -4.80344541,       -2.10571939,      -2.889161458,     -0.0194534935
          0,           0,          59,      -4.810401095,      -2.118779675,       -2.91073105,    -0.04914784847
          0,           0,          60,      -4.818064553,      -2.133120264,      -2.934665724,    -0.06351388606
          0,           0,          61,      -4.824757885,      -2.145922879,      -2.955322542,    -0.09198798947
          0,           0,          62,      -4.832255862,      -2.160024574,      -2.978155933,     -0.1054124857
          0,           0,          63,      -4.838723931,       -2.17256143,      -2.997923312,      -0.132699335
          0,           0,          64,      -4.846069732,      -2.186413035,      -3.019684535,      -0.145144724
          0,           0,          65,      -4.852337109,      -2.198676512,      -3.038600166,     -0.1712410386
          0,           0,          66,       -4.85953672,      -2.212267829,       -3.05933358,     -0.1826454025
          0,           0,          67,      -4.865620712,      -2.224251924,      -3.077437082,     -0.2075173992
          0,           0,          68,      -4.872678747,      -2.237574848,       -3.09719358,     -0.2178182134
          0,           0,          69,      -4.878593942,      -2.249275019,      -3.114520691,     -0.2414291112
          0,           0,          70,       -4.88551705,      -2.262322547,      -3.133351459,     -0.2505997831
          0,           0,          71,      -4.891278245,      -2.273734386,      -3.149933232,     -0.2729422299
          0,           0,          72,      -4.898077009,      -2.286498745,      -3.167885393,     -0.2810165922
          0,           0,          73,      -4.903701689,      -2.297615958,      -3.183748552,     -0.3021288107
          0,           0,          74,      -4.910391415,      -2.310086413,      -3.200861659,     -0.3092001181
          0,           0,          75,      -4.915899484,      -2.320898985,      -3.216029061,     -0.3291595367
          0,           0,          76,      -4.922498947,      -2.333060511,      -3.232334736,     -0.3353587455
          0,           0,          77,      -4.927911934,       -2.34355401,      -3.246827344,      -0.354261519
          0,           0,          78,      -4.934441785,      -2.355387474,      -3.262353613,     -0.3597289747
          0,           0,          79,      -4.939781283,      -2.365544184,      -3.276194124,     -0.3776708327
          0,           0,          80,      -4.946262118,      -2.377028355,      -3.290972913,     -0.3825351347
          0,           0,          81,      -4.951548475,      -2.386829816,       -3.30419071,     -0.3996004098
          0,           0,          82,      -4.957999328,      -2.397944322,      -3.318265581,     -0.4039666674
          0,           0,          83,      -4.963250456,       -2.40737438,      -3.330901172,     -0.4202263386
          0,           0,          84,      -4.969687426,      -2.418102874,      -3.344331658,     -0.4241722562
          0,           0,          85,      -4.974918028,      -2.427150505,      -3.356438051,     -0.4396874591
          0,           0,          86,      -4.981353638,      -2.437483087,      -3.369297393,     -0.4432639184
          0,           0,          87,       -4.98657492,      -2.446144221,      -3.380936819,     -0.4580913451
          0,           0,          88,      -4.993017656,      -2.456078866,      -3.393302842,     -0.4613263602
          0,           0,          89,      -4.998237151,      -2.464357178,      -3.404538635,     -0.4755236749
          0,           0,          90,      -5.004691324,      -2.473900207,      -3.416480709,     -0.4784284993
          0,           0,          91,       -5.00991288,        -2.4818072,      -3.427367398,     -0.4920585021
          0,           0,          92,      -5.016378709,      -2.490973131,       -3.43893461,     -0.4946354079
          0,           0,          93,      -5.021602791,      -2.498527609,      -3.449510354,     -0.5077676383
          0,           0,          94,      -5.028076837,      -2.507338452,      -3.460726056,     -0.5100168076
          0,           0,          95,      -5.033300953,      -2.514565793,      -3.471010339,     -0.5227259234
          0,           0,          96,      -5.039776735,      -2.523050154,      -3.481874743,     -0.5246507384
          0,           0,          97,      -5.044995987,      -2.529981366,      -3.491871714,     -0.5370120085
          0,           0,          98,      -5.051163294,      -2.536755183,      -3.498577364,     -0.5292720526
          0,           0,          99,       -5.05658886,       -2.54400582,      -3.509352984,     -0.5502716719
          0,           0,         100,      -5.062826323,      -2.550907278,      -3.517788095,     -0.5457178726
          0,           0,         101,      -5.068216954,      -2.558098242,      -3.528823183,     -0.5639980445
          0,           0,         102,      -5.074469261,      -2.564967947,      -3.537526118,     -0.5604398275
          0,           0,         103,      -5.079816452,        -2.5720243,      -3.548242053,     -0.5769601534
          0,           0,         104,      -5.086054089,      -2.578822522,      -3.556777184,     -0.5740442368
          0,           0,         105,      -5.091346482,      -2.585737311,      -3.566983509,     -0.5894108678
          0,           0,         106,      -5.097548552,      -2.592466274,      -3.575235374,     -0.5870220557
          0,           0,         107,      -5.100948397,      -2.594571088,      -3.581454381,      -0.592847345
          0,           0,         108,      -5.107840487,      -2.603032197,      -3.590750634,     -0.5960180964
          0,           0,         109,      -5.111594907,      -2.606262227,      -3.597581638,     -0.6047651696
          0,           0,         110,      -5.118689883,      -2.615319881,      -3.607025151,     -0.6096680475
          0,           0,         111,      -5.122532995,      -2.619016613,      -3.613907442,     -0.6187796477
          0,           0,         112,      -5.129668552,       -2.62827838,      -3.623254218,     -0.6235401483
          0,           0,         113,      -5.133503872,      -2.632194486,      -3.629957484,     -0.6322025302
          0,           0,         114,      -5.140625882,      -2.641515294,      -3.639103452,     -0.6368157487
          0,           0,         115,       -5.14441838,      -2.645554254,      -3.645570522,     -0.6451490509
          0,           0,         116,      -5.151504134,      -2.654880746,      -3.654510521,     -0.6498725362
          0,           0,         117,      -5.155237298,      -2.659002291,      -3.660752129,     -0.6580183162
          0,           0,         118,      -5.162276196,      -2.668313379,      -3.669534169,      -0.662983014
          0,           0,         119,      -5.165942542,      -2.672495999,      -3.675595606,     -0.6709764027
          0,           0,         120,      -5.172930523,      -2.681779818,        -3.6842853,     -0.6762190676
          0,           0,         121,      -5.176527323,      -2.686007073,      -3.690223538,     -0.6840413327
          0,           0,         122,      -5.183463799,      -2.695253139,      -3.698885888,     -0.6895561642
          0,           0,         123,      -5.186991176,      -2.699509226,      -3.704755204,     -0.6971690519
          0,           0,         124,      -5.193877539,      -2.708706101,      -3.713441778,     -0.7029254293
          0,           0,         125,      -5.197337496,      -2.712974742,      -3.719284409,     -0.7102865071
          0,           0,         126,      -5.204176244,      -2.722109791,      -3.728025471,     -0.7162400294
          0,           0,         127,      -5.207571974,      -2.726374525,      -3.733866309,     -0.7233144142
          0,           0,         128,      -5.214366075,      -2.735434584,      -3.742667979,     -0.7294154874
          0,           0,         129,      -5.217701392,      -2.739679595,      -3.748514295,     -0.7361819944
          0,           0,         130,      -5.224453872,       -2.74865187,      -3.757362646,     -0.7423815292
          0,           0,         131,       -5.22773284,      -2.752862761,      -3.763208496,     -0.7488341307
          0,           0,         132,      -5.234446685,      -2.761735613,      -3.772076651,     -0.7550879426
          0,           0,         133,      -5.237673461,      -2.765900038,      -3.777908928,     -0.7612351232
          0,           0,         134,       -5.24435164,      -2.774663602,      -3.786765236,     -0.7675076792
          0,           0,         135,      -5.247530398,      -2.778771656,      -3.792569353,     -0.7733697786
          0,           0,         136,      -5.254175898,      -2.787418216,      -3.801384486,      -0.779636203
          0,           0,         137,      -5.257310743,        -2.7914626,      -3.807148567,     -0.7852414239
          0,           0,         138,      -5.263926584,      -2.799986766,      -3.815899913,     -0.7914881779
          0,           0,         139,       -5.26702145,      -2.803962753,      -3.821616623,     -0.7968685164
          0,           0,         140,      -5.273610629,      -2.812361442,       -3.83029064,     -0.8030928635
          0,           0,         141,      -5.276669206,      -2.816266698,       -3.83595779,     -0.8082806151
          0,           0,         142,      -5.283234611,      -2.824539015,       -3.84455047,     -0.8144885973
          0,           0,         143,      -5.286260275,      -2.828373358,      -3.850170333,     -0.8195137459
          0,           0,         144,      -5.292804561,      -2.836520415,      -3.858685999,     -0.8257177595
          0,           0,         145,       -5.29580031,      -2.840285541,      -3.864264233,     -0.8306062989
          0,           0,         146,       -5.30232577,      -2.848310263,      -3.872713661,     -0.8368210668
          0,           0,         147,       -5.30529418,       -2.85200947,       -3.87825801,     -0.8415944543
          0,           0,         148,      -5.311802618,      -2.859916353,      -3.886655524,      -0.847833257
          0,           0,         149,      -5.314745828,      -2.863554226,      -3.892174372,     -0.8525089087
          0,           0,         150,      -5.321238497,      -2.871349112,      -3.900534558,     -0.8587802247
          0,           0,         151,      -5.324158244,      -2.874931286,       -3.90603546,     -0.8633725783
          0,           0,         152,      -5.330635803,      -2.882621105,      -3.914369614,     -0.8696772136
          0,           0,         153,       -5.33353346,      -2.886153943,       -3.91985752,     -0.8741992577
          0,           0,         154,      -5.339995978,      -2.893746441,      -3.928170201,     -0.8805294243
          0,           0,         155,      -5.342872615,      -2.897236756,      -3.933646104,     -0.8849947755
          0,           0,         156,      -5.349319664,      -2.904740227,      -3.941932831,      -0.891334942
          0,           0,         157,       -5.35217614,      -2.908195021,      -3.947392767,     -0.8957595055
          0,           0,         158,      -5.358606861,      -2.915618028,      -3.955639357,     -0.9020884123
          0,           0,         159,      -5.361443864,      -2.919044218,       -3.96107482,     -0.9064913794
          0,           0,         160,      -5.367857088,      -2.926395327,      -3.969258763,     -0.9127853486
          0,           0,         161,      -5.370675226,      -2.929799517,      -3.974657954,     -0.9171898971
          0,           0,         162,      -5.377069604,      -2.937087045,      -3.982752196,     -0.9234268225
          0,           0,         163,      -5.379869428,      -2.940475322,       -3.98810272,     -0.9278597885
          0,           0,         164,      -5.386243505,      -2.947707124,      -3.996080767,     -0.9340224615
          0,           0,         165,      -5.389025513,      -2.951084877,      -4.001372716,     -0.9385131248
          0,           0,         166,      -5.395377813,      -2.958268158,      -4.009214493,     -0.9445917962
          0,           0,         167,      -5.398142446,       -2.96163997,      -4.014443543,     -0.9491702562
          0,           0,         168,      -5.404471498,      -2.968781153,      -4.022140465,     -0.9551634178
          0,           0,         169,      -5.407219131,      -2.972150723,      -4.027309851,     -0.9598585091
          0,           0,         170,      -5.413523485,      -2.979255346,      -4.034867584,     -0.9657724175
          0,           0,         171,      -5.416254398,      -2.982625465,      -4.039988731,     -0.9706099288
          0,           0,         172,      -5.422532607,       -2.98969815,      -4.047427908,     -0.9764565937
          0,           0,         173,      -5.425246969,      -2.993070718,      -4.052519317,     -0.9814575765
          0,           0,         174,      -5.431497547,      -3.000115151,      -4.059872942,     -0.9872520253
          0,           0,         175,      -5.434195392,      -3.003491217,      -4.064957545,      -0.992432067
          0,           0,         176,      -5.440416783,      -3.010510169,      -4.072266684,     -0.9981893319
          0,           0,         177,      -5.443098026,      -3.013890019,      -4.077368551,      -1.003558345
          0,           0,         178,      -5.449288578,      -3.020885425,      -4.084676685,      -1.009290747
          0,           0,         179,      -5.451953026,      -3.024268691,      -4.089817459,      -1.014853721
          0,           0,         180,      -5.458110975,      -3.031241744,        -4.0971649,      -1.020568929
          0,           0,         181,      -5.460758342,      -3.034627513,       -4.10236081,      -1.026326885
          0,           0,         182,      -5.466881796,      -3.041578767,      -4.109779854,        -1.0320266
          0,           0,         183,      -5.469511726,      -3.044965706,      -4.115039698,      -1.037977981
          0,           0,         184,       -5.47559868,      -3.051895235,      -4.122551468,      -1.043657786
          0,           0,         185,      -5.478210752,       -3.05528172,       -4.12787595,      -1.049799892
          0,           0,         186,      -5.484259108,      -3.062189244,       -4.13548896,      -1.055449648
          0,           0,         187,      -5.486852873,      -3.065573481,      -4.140871191,      -1.061779747
          0,           0,         188,      -5.492860469,      -3.072458533,      -4.148581567,      -1.067384605
          0,           0,         189,      -5.495435435,      -3.075838684,      -4.154008486,        -1.0739008
          0,           0,         190,      -5.501400065,      -3.082700753,      -4.161801557,      -1.079442491
          0,           0,         191,      -5.503955707,       -3.08607504,      -4.167256187,      -1.086144049
          0,           0,         192,      -5.509875157,      -3.092913707,      -4.175108912,      -1.091602269
          0,           0,         193,      -5.512410921,      -3.096280536,      -4.180572758,       -1.09848968
          0,           0,         194,      -5.518282993,      -3.103095626,      -4.188456748,      -1.103843359
          0,           0,         195,      -5.520798301,      -3.106453691,      -4.193912358,       -1.11091811
          0,           0,         196,      -5.526620852,      -3.113245403,       -4.20179704,      -1.116146608
          0,           0,         197,      -5.529115104,      -3.116593786,      -4.207230316,      -1.123410586
          0,           0,         198,       -5.53488608,      -3.123362805,      -4.215085742,      -1.128494442
          0,           0,         199,      -5.537358681,      -3.126701077,      -4.220487594,       -1.13594945
          0,           0,         200,      -5.543076149,       -3.13344869,      -4.228286641,      -1.140871009
          0,           0,         201,      -5.545526515,      -3.136776981,      -4.233653984,      -1.148518194
          0,           0,         202,      -5.551188715,      -3.143505158,      -4.241374009,      -1.153261852
          0,           0,         203,      -5.553616322,      -3.146824233,      -4.246710239,      -1.161101247
          0,           0,         204,      -5.559221713,      -3.153535701,         -4.254334,      -1.165653542
          0,           0,         205,      -5.561626112,       -3.15684701,      -4.259648758,      -1.173683899
          0,           0,         206,      -5.567173409,      -3.163545288,       -4.26716465,      -1.178033356
          0,           0,         207,      -5.569554272,      -3.166850983,       -4.27247304,      -1.186251982
          0,           0,         208,      -5.575042481,      -3.173540384,      -4.279874874,       -1.19038875
          0,           0,         209,       -5.57739962,      -3.176843321,      -4.285196458,      -1.198791566
          0,           0,         210,      -5.582828066,      -3.183528909,      -4.292482843,      -1.202706878
          0,           0,         211,      -5.585161463,      -3.186832604,      -4.297840271,      -1.211288526
          0,           0,         212,      -5.590529801,      -3.193520125,      -4.305013764,      -1.214974091
          0,           0,         213,      -5.592839617,      -3.196828687,      -4.310431425,      -1.223728192
          0,           0,         214,      -5.598147832,      -3.203524456,      -4.317497572,      -1.227175615
          0,           0,         215,      -5.600434415,      -3.206842487,      -4.323000284,      -1.236095127
          0,           0,         216,       -5.60568282,      -3.213553251,      -4.329966751,      -1.239295437
          0,           0,         217,      -5.607946712,       -3.21688573,      -4.335578669,      -1.248373149
          0,           0,         218,      -5.613135935,      -3.223618518,      -4.342454293,      -1.251316366
          0,           0,         219,       -5.61537786,      -3.226970677,       -4.34819774,      -1.260545395
          0,           0,         220,      -5.620508809,      -3.233732635,      -4.354991738,      -1.263220359
          0,           0,         221,      -5.622729659,      -3.237109823,      -4.360886503,      -1.272594763
          0,           0,         222,      -5.627803497,      -3.243908061,      -4.367607748,      -1.274989158
          0,           0,         223,      -5.630004318,      -3.247315616,      -4.373670411,      -1.284504589
          0,           0,         224,       -5.63502243,       -3.25415706,      -4.380326919,      -1.286605193
          0,           0,         225,      -5.637204398,      -3.257600199,      -4.386570487,      -1.296259518
          0,           0,         226,      -5.642168357,      -3.264491466,      -4.393168879,       -1.29805273
          0,           0,         227,      -5.644332769,      -3.267975185,      -4.399602448,       -1.30784666
          0,           0,         228,      -5.649244303,      -3.274922471,      -4.406147721,      -1.309319149
          0,           0,         229,      -5.651392549,      -3.278451461,      -4.412776564,      -1.319256689
          0,           0,         230,      -5.656253514,       -3.28546046,       -4.41927196,      -1.320396116
          0,           0,         231,       -5.65838706,      -3.289039041,      -4.426097569,      -1.330484808
          0,           0,         232,      -5.663199415,      -3.296114872,      -4.432544578,      -1.331280571
          0,           0,         233,      -5.665319783,       -3.29974694,      -4.439564932,      -1.341531567
