"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,           0,      -5.204927974,      -5.218571093,      -6.418470115,      -6.101420299,      -4.597761973
          0,           0,           1,       -4.90234602,      -4.679666873,      -4.933840997,      -4.765106688,      -4.275510962
          0,           0,           2,      -4.811531238,      -4.655027964,      -4.679990034,      -4.548212092,      -4.203678069
          0,           0,           3,      -4.725562551,      -4.593348467,      -4.586841761,      -4.375543129,      -4.111988451
          0,           0,           4,      -4.723851471,       -4.59064096,      -4.540606902,      -4.308956341,      -4.110831579
          0,           0,           5,      -4.722168552,      -4.638650856,       -4.50603023,      -4.302220573,      -4.111672555
          0,           0,           6,      -4.722216648,      -4.731440837,      -4.511578558,      -4.328076685,      -4.129690097
          0,           0,           7,      -4.701904211,      -4.735986875,      -4.541083627,      -4.366836247,       -4.10003892
          0,           0,           8,      -4.724768964,      -4.686276653,      -4.585794671,      -4.404376204,      -4.096879302
          0,           0,           9,      -4.769984728,      -4.729190005,      -4.636871511,       -4.44497113,      -4.151887301
          0,           0,          10,      -4.817381733,      -4.820821576,      -4.713499358,      -4.510269693,      -4.212487121
          0,           0,          11,      -4.886380009,      -4.936356906,      -4.806159458,      -4.593230439,      -4.281113036
          0,           0,          12,      -4.945275798,      -5.012376165,      -4.882974895,      -4.666237734,       -4.34615824
          0,           0,          13,      -5.001903755,      -5.049238126,      -4.967304558,      -4.747782314,      -4.393182423
          0,           0,          14,      -5.071995689,      -5.074768358,      -5.064911898,      -4.839142683,      -4.448236707
          0,           0,          15,      -5.131994814,      -5.122781003,      -5.153131717,      -4.923424915,      -4.516161628
          0,           0,          16,      -5.206090842,      -5.203398426,      -5.254644469,      -5.022197839,      -4.594578907
          0,           0,          17,      -5.306746321,      -5.313989372,      -5.358273534,      -5.128016929,      -4.690322411
          0,           0,          18,      -5.408404092,      -5.435252913,      -5.465212542,      -5.242918813,      -4.787523399
          0,           0,          19,      -5.481091846,      -5.526508235,      -5.553057655,      -5.345780242,      -4.870882728
          0,           0,          20,       -5.55728589,      -5.615625461,      -5.658861167,      -5.468656928,       -4.95087047
          0,           0,          21,      -5.662344058,      -5.710839033,      -5.777522559,      -5.597559859,      -5.049409545
          0,           0,          22,      -5.791123753,       -5.81647572,      -5.903066116,      -5.717774944,      -5.170095167
          0,           0,          23,       -5.89720773,      -5.900227165,      -6.002664258,      -5.807301412,      -5.282475526
          0,           0,          24,        -5.9966645,      -5.978007293,       -6.11481587,      -5.911377248,       -5.38478398
          0,           0,          25,      -6.092147072,      -6.050239532,      -6.232270771,      -6.034388198,      -5.475563436
          0,           0,          26,      -6.192263031,      -6.132485223,      -6.353734008,      -6.173147706,      -5.570494571
          0,           0,          27,      -6.283529016,      -6.214950816,      -6.450685315,      -6.288809411,      -5.668494642
          0,           0,          28,       -6.39177129,      -6.318547465,      -6.566301217,      -6.403514715,      -5.779786184
          0,           0,          29,      -6.514860352,      -6.434460428,      -6.689558992,      -6.508023139,      -5.899533957
          0,           0,          30,      -6.641013811,       -6.55517239,      -6.806803643,      -6.605318558,       -6.02076723
          0,           0,          31,       -6.74137102,      -6.655972818,      -6.891940913,      -6.685946677,      -6.128500732
          0,           0,          32,      -6.836303977,      -6.759813743,      -6.977033365,      -6.774664033,      -6.227386909
          0,           0,          33,      -6.931239357,      -6.858722654,      -7.053829652,      -6.861347929,      -6.319145507
          0,           0,          34,      -7.025178036,      -6.952158784,      -7.119667927,       -6.93517348,      -6.410111791
          0,           0,          35,      -7.117824419,      -7.043808565,      -7.177779862,      -6.995521726,      -6.501369965
          0,           0,          36,      -7.209957949,      -7.135440266,      -7.230161315,      -7.047296622,      -6.592678431
          0,           0,          37,       -7.30215326,      -7.228361918,      -7.279531351,      -7.094136842,      -6.682246579
          0,           0,          38,      -7.383329885,      -7.311793786,      -7.325979552,      -7.141070828,      -6.769875164
          0,           0,          39,      -7.460412626,      -7.399535316,      -7.381109187,      -7.194374933,      -6.849493346
          0,           0,          40,      -7.537144767,      -7.484675535,       -7.43524672,      -7.246247031,      -6.922342785
          0,           0,          41,      -7.606860002,       -7.55972464,      -7.481612513,      -7.292577083,      -6.996098971
          0,           0,          42,      -7.675540534,      -7.638955366,      -7.531343813,      -7.342076112,      -7.064271892
          0,           0,          43,       -7.74668615,       -7.71565849,      -7.577498127,       -7.38989942,      -7.130229794
          0,           0,          44,      -7.810425984,      -7.780972188,       -7.61905299,      -7.435086989,      -7.197326358
          0,           0,          45,      -7.876233937,      -7.850474998,      -7.667825467,       -7.48616546,      -7.262574616
          0,           0,          46,       -7.94548456,      -7.915866025,      -7.719220842,      -7.539040183,      -7.327568114
          0,           0,          47,      -8.012535292,       -7.97716944,       -7.77345537,      -7.593080256,      -7.392024625
          0,           0,          48,      -8.077692918,      -8.038604505,      -7.831665658,      -7.649466934,      -7.456017947
          0,           0,          49,      -8.145253871,      -8.102747712,      -7.894566115,      -7.708621277,      -7.521135673
          0,           0,          50,      -8.205196424,      -8.166918797,      -7.952661507,       -7.76708049,      -7.587678005
          0,           0,          51,       -8.27361982,      -8.240384179,      -8.022482068,      -7.836327085,      -7.656890744
          0,           0,          52,       -8.34721609,      -8.313056761,      -8.098548219,      -7.909819604,      -7.726869475
          0,           0,          53,      -8.423811859,      -8.387614697,      -8.174895149,       -7.98170136,      -7.799308724
          0,           0,          54,      -8.494359443,      -8.462613577,      -8.240339872,       -8.04582887,      -7.875129459
          0,           0,          55,      -8.571395004,      -8.542864939,       -8.31390893,       -8.11819828,       -7.95222278
          0,           0,          56,      -8.647679147,       -8.61633706,      -8.390405558,      -8.194482076,      -8.024801635
          0,           0,          57,      -8.722739085,      -8.683714783,       -8.46627388,      -8.269185862,      -8.095880025
          0,           0,          58,      -8.789403067,       -8.74774861,      -8.530972337,      -8.334425421,      -8.167917966
          0,           0,          59,      -8.859375057,      -8.815597382,      -8.603883221,      -8.407241477,      -8.238493465
          0,           0,          60,      -8.928220429,      -8.880086102,      -8.679067283,      -8.483719324,      -8.304425795
          0,           0,          61,      -8.996254239,      -8.942059856,      -8.754178049,      -8.559376744,      -8.368934143
          0,           0,          62,      -9.059490517,      -9.006014814,      -8.818263176,      -8.626149763,      -8.437679639
          0,           0,          63,      -9.128142489,      -9.075712197,      -8.890861413,      -8.700226299,      -8.506350968
          0,           0,          64,      -9.200589954,      -9.147410296,      -8.966366137,      -8.777761867,      -8.575101739
          0,           0,          65,      -9.275364753,      -9.221147506,      -9.044036184,      -8.856380348,      -8.645508072
          0,           0,          66,      -9.343027993,      -9.294956837,      -9.111093291,      -8.926918178,      -8.720048982
          0,           0,          67,      -9.415009395,      -9.372479102,      -9.189671169,      -9.006266734,      -8.792193475
          0,           0,          68,      -9.490670571,      -9.448779188,      -9.274625647,      -9.090029319,      -8.863655045
          0,           0,          69,      -9.566572662,      -9.526124613,      -9.360862038,      -9.174101057,      -8.935115819
          0,           0,          70,      -9.629627638,      -9.599151076,      -9.432559604,       -9.24629634,      -9.007106758
          0,           0,          71,      -9.696949105,      -9.675845121,      -9.512939713,      -9.325120846,      -9.075563531
          0,           0,          72,      -9.770072526,      -9.751846184,      -9.594745007,      -9.405703866,      -9.144422848
          0,           0,          73,      -9.845980234,      -9.828057634,      -9.672309087,      -9.482108871,      -9.215939241
          0,           0,          74,      -9.913076336,      -9.900818935,       -9.73636442,      -9.547476751,      -9.290791864
