Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,0.886048,0,2.53314,0,6.05E-08,0,0,0,0,0,0,0.392089,0.65,-0.0154776,0.759259,1.01326,-0.000515967,0.00396069,-4.61E-05,-0.0011433,0.00412266,1.12832,0,0,0,0,1.69646
1,0.969134,0,2.77469,0,6.05E-08,0,0,0,0,0,0,0.384997,0.65,-0.0126823,0.755568,1.10988,0.192722,0.00380153,0.000205506,-0.00187892,0.00424549,1.12995,0,0,0,0,1.79925
2,0.825529,0,2.35637,0,6.04E-08,0,0,0,0,0,0,0.797634,0.65,-0.0208367,1.02915,0.942549,-0.141933,0.00245712,3.30E-05,0.000201519,0.00246559,1.12653,0,0,0,0,1.26788
3,0.824766,0,2.35415,0,6.04E-08,0,0,0,0,0,0,0.796671,0.65,-0.0209118,1.02841,0.94166,-0.143713,0.00246266,3.15E-05,0.000201132,0.00247106,1.1265,0,0,0,0,1.26868
4,0.966966,0,2.77188,0,6.06E-08,0,0,0,0,0,0,0.966196,0.65,0.00304552,1.16449,1.10875,0.190471,0.000665755,0.000267524,-7.72E-05,0.000721638,1.13134,0,0,0,0,0.73998
5,0.97345,0,2.79129,0,6.06E-08,0,0,0,0,0,0,0.972556,0.65,0.00221359,1.16977,1.11651,0.205997,0.000593355,0.000275175,-6.75E-05,0.000657526,1.13167,0,0,0,0,0.708481
6,0.97454,0,2.79454,0,6.06E-08,0,0,0,0,0,0,0.973548,0.65,0.00208386,1.1706,1.11782,0.208598,0.000582549,0.000276461,-6.60E-05,0.000648188,1.13172,0,0,0,0,0.703874
7,0.82559,0,2.35401,0,6.03E-08,0,0,0,0,0,0,0.48821,0.65,-0.0264954,0.813358,0.941605,-0.143821,0.00341803,-9.63E-05,-0.000208561,0.00342574,1.12531,0,0,0,0,1.49575
8,0.83567,0,2.38333,0,6.03E-08,0,0,0,0,0,0,0.470419,0.65,-0.0252269,0.802764,0.95333,-0.120371,0.00345268,-7.73E-05,-0.000258094,0.00346317,1.12558,0,0,0,0,1.51283
9,0.842728,0,2.40389,0,6.04E-08,0,0,0,0,0,0,0.457652,0.65,-0.024281,0.795321,0.961557,-0.103917,0.00347664,-6.38E-05,-0.000293798,0.00348961,1.12579,0,0,0,0,1.52473
