"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.875196878,      -9.672383691,       -16.0470857,       -10.9443717,      -4.268030877,      -10.91811899
          0,           0,           1,      -5.223515643,      -5.095525499,      -5.709287771,      -4.858032073,      -4.592037631,      -11.63903696
          0,           0,           2,       -5.21564903,      -4.991627411,      -5.253906953,       -5.08580693,       -4.58177249,      -11.65179502
          0,           0,           3,      -5.146371714,      -4.968460318,      -5.019509799,      -4.910706183,      -4.527696894,      -11.51147323
          0,           0,           4,      -5.028116205,       -4.94004457,      -4.907672023,      -4.796828447,      -4.420898178,      -11.43690231
          0,           0,           5,      -4.952747932,      -4.922244734,      -4.864590502,      -4.771627601,      -4.350122716,       -11.4171871
          0,           0,           6,      -4.922737956,      -4.919242405,      -4.871310954,      -4.796550893,      -4.319175409,       -11.3925296
          0,           0,           7,      -4.901147656,      -4.936786591,      -4.896071099,      -4.831691212,      -4.298355998,      -11.35726497
          0,           0,           8,      -4.873747246,      -4.983887896,      -4.916823091,       -4.85804064,      -4.275576995,      -11.34180741
          0,           0,           9,      -4.855379214,      -5.028817395,      -4.945546968,      -4.891137593,       -4.25960307,      -11.34717041
          0,           0,          10,      -4.850411971,      -5.022499414,      -4.981030995,      -4.933829263,      -4.251878171,      -11.36840423
          0,           0,          11,      -4.859306392,      -4.984358786,      -5.021682469,      -4.976047664,      -4.254049132,      -11.39864573
          0,           0,          12,      -4.883392691,      -4.969029476,      -5.074686773,      -5.016725541,      -4.272798059,      -11.43132168
          0,           0,          13,      -4.919145626,      -4.993378547,      -5.139983535,      -5.068477985,      -4.308587329,      -11.46520482
          0,           0,          14,      -4.958690347,      -5.044674936,        -5.2061719,      -5.134209325,      -4.352292156,       -11.5007346
          0,           0,          15,      -4.997444096,      -5.099945285,      -5.261757832,      -5.198811919,      -4.394182149,      -11.53900638
          0,           0,          16,      -5.036403508,      -5.144926152,      -5.307994223,      -5.247980067,      -4.432114375,      -11.58034985
          0,           0,          17,      -5.077838421,      -5.185287206,      -5.354954637,      -5.287071734,      -4.470209586,       -11.6239745
          0,           0,          18,      -5.122515135,      -5.233395862,       -5.40978838,      -5.330664195,      -4.512525573,       -11.6665716
          0,           0,          19,      -5.170208562,      -5.293710973,       -5.47241841,      -5.386198966,      -4.560020299,      -11.70188306
          0,           0,          20,      -5.220302104,      -5.360979644,      -5.537079298,        -5.4514184,      -4.611080268,      -11.72262655
          0,           0,          21,      -5.271841223,      -5.425538712,      -5.597652484,      -5.518734441,       -4.66319916,      -11.72289029
          0,           0,          22,      -5.323759496,       -5.48194303,      -5.652835216,      -5.580590572,      -4.714652838,      -11.69998505
          0,           0,          23,      -5.375184472,      -5.533374614,      -5.705930311,      -5.634008302,      -4.765055258,      -11.65693355
          0,           0,          24,      -5.425613325,      -5.586587129,      -5.760214485,       -5.68112648,        -4.8147668,      -11.60012715
          0,           0,          25,      -5.474775123,      -5.644940239,      -5.815932713,      -5.725715081,      -4.863969208,      -11.53621514
          0,           0,          26,      -5.522567176,      -5.706210528,      -5.871133891,      -5.769803412,      -4.912386395,      -11.47120909
          0,           0,          27,      -5.569030851,      -5.764406323,      -5.923808473,      -5.813309198,      -4.959559117,      -11.40945828
          0,           0,          28,      -5.614359189,      -5.814143699,      -5.973634061,      -5.855327304,      -5.005262889,      -11.35359064
          0,           0,          29,      -5.658855235,       -5.85460737,      -6.021543088,      -5.895391373,      -5.049667136,      -11.30497119
          0,           0,          30,      -5.702739086,      -5.889230086,      -6.068322913,       -5.93414095,      -5.093089321,      -11.26437543
          0,           0,          31,      -5.746210268,      -5.922445836,      -6.113641327,      -5.972818883,      -5.135900247,      -11.23220178
          0,           0,          32,      -5.789484111,      -5.957292942,      -6.156376211,        -6.0122549,      -5.178446638,      -11.20894085
          0,           0,          33,      -5.832836392,      -5.994882943,      -6.195664655,      -6.052109165,      -5.221071568,      -11.19537018
          0,           0,          34,      -5.876636572,      -6.035234149,      -6.231861044,      -6.091261945,      -5.264198314,      -11.19119235
          0,           0,          35,      -5.921114893,      -6.077892639,      -6.266746982,      -6.128409872,      -5.308142633,      -11.19509159
          0,           0,          36,      -5.966181056,        -6.1224027,      -6.302696968,      -6.163230713,      -5.352933816,      -11.20451936
          0,           0,          37,      -6.011383232,      -6.168523784,      -6.341890494,      -6.196735118,      -5.398226387,      -11.21746864
          0,           0,          38,      -6.056058614,      -6.216207095,      -6.385588892,      -6.230679929,       -5.44337366,      -11.23335309
          0,           0,          39,      -6.099707641,      -6.265421229,      -6.433649635,      -6.266676724,       -5.48775361,      -11.25252946
          0,           0,          40,      -6.142224301,      -6.315997363,      -6.484306277,      -6.305391397,      -5.531032736,      -11.27589082
          0,           0,          41,      -6.183969666,      -6.367452407,      -6.534117396,      -6.346184633,      -5.573335825,      -11.30321088
          0,           0,          42,      -6.225571681,       -6.41887711,      -6.578743895,      -6.387289178,      -5.615140572,      -11.33335967
          0,           0,          43,      -6.267600764,      -6.468948445,      -6.614644278,      -6.426362748,      -5.656994151,      -11.36530762
          0,           0,          44,      -6.310347191,      -6.516201768,      -6.641112395,      -6.461503002,      -5.699263468,      -11.39704597
          0,           0,          45,      -6.353656191,      -6.559446646,       -6.66063971,      -6.492124629,      -5.741921029,      -11.42703861
          0,           0,          46,      -6.397140113,      -6.598211654,      -6.677329682,      -6.519268291,      -5.784722791,      -11.45389263
          0,           0,          47,      -6.440332398,      -6.632851187,      -6.695066665,      -6.545039382,      -5.827341136,      -11.47668958
          0,           0,          48,      -6.482889584,      -6.664307559,      -6.716632392,      -6.571727483,      -5.869552651,      -11.49514975
          0,           0,          49,      -6.524613077,      -6.693594098,      -6.743626516,      -6.601176851,      -5.911241393,       -11.5090325
          0,           0,          50,      -6.565448483,       -6.72138862,      -6.776786178,      -6.634503927,      -5.952374095,      -11.51867138
