Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,0.961029,0,2.75948,-0,6.06584e-08,0,0,0,0,0,0,0.979446,0.65,-0.00116675,1.17551,1.10379,0.18055,0.000572133,0.000177039,7.03113e-05,0.000603011,1.13323,0,0,0,0,6.79064
1,0.951351,0,2.73122,-0,6.06505e-08,0,0,0,0,0,0,0.970653,0.65,-0.00233669,1.16819,1.09249,0.157943,0.000578197,0.000145187,7.08778e-05,0.000600346,1.13304,0,0,0,0,6.73035
2,0.940296,0,2.69905,-0,6.06432e-08,0,0,0,0,0,0,0.961449,0.65,-0.0035397,1.16056,1.07962,0.132206,0.000619702,0.000130106,7.56691e-05,0.000637718,1.13286,0,0,0,0,6.89283
3,0.929493,0,2.6674,-0,6.06322e-08,0,0,0,0,0,0,0.951675,0.65,-0.00479854,1.15248,1.06696,0.106884,0.00066803,0.000117622,8.10221e-05,0.000683127,1.13258,0,0,0,0,7.10346
4,0.918473,0,2.63507,-0,6.06202e-08,0,0,0,0,0,0,0.941201,0.65,-0.00612263,1.14385,1.05403,0.0810268,0.000717064,0.000105954,8.56598e-05,0.000729894,1.13228,0,0,0,0,7.31796
5,0.907527,0,2.60297,-0,6.06078e-08,0,0,0,0,0,0,0.929921,0.65,-0.00750901,1.1346,1.04119,0.0553411,0.000764796,9.44232e-05,8.91117e-05,0.000775738,1.13198,0,0,0,0,7.52449
6,0.896817,0,2.57157,-0,6.05957e-08,0,0,0,0,0,0,0.917759,0.65,-0.00895114,1.12466,1.02863,0.0302221,0.000809333,8.33305e-05,9.12428e-05,0.000818711,1.13168,0,0,0,0,7.71561
7,0.886631,0,2.54171,-0,6.05841e-08,0,0,0,0,0,0,0.904661,0.65,-0.0104404,1.11401,1.01668,0.0063363,0.000849647,7.2992e-05,9.21504e-05,0.000857741,1.13139,0,0,0,0,7.88379
8,0.877022,0,2.51356,-0,6.05732e-08,0,0,0,0,0,0,0.890598,0.65,-0.0119682,1.10264,1.00542,-0.0161834,0.000884824,6.3674e-05,9.20394e-05,0.000891874,1.13112,0,0,0,0,8.0333
9,0.86069,0,2.46591,-0,6.05576e-08,0,0,0,0,0,0,0.428645,0.65,-0.0215344,0.77891,0.986365,-0.054301,0.00148587,-2.31941e-05,-0.000175102,0.00149633,1.13073,0,0,0,0,9.76571
10,0.870931,0,2.49627,-0,6.05761e-08,0,0,0,0,0,0,0.41782,0.65,-0.0201793,0.772969,0.998507,-0.0300171,0.00149713,-1.13623e-05,-0.000200277,0.00151051,1.13119,0,0,0,0,9.71896
11,0.876631,0,2.51356,-0,6.05935e-08,0,0,0,0,0,0,0.408221,0.65,-0.018815,0.767788,1.00542,-0.0161843,0.00152474,-5.07283e-06,-0.000229832,0.00154198,1.13162,0,0,0,0,9.66737
12,0.86837,0,2.49033,-0,6.06018e-08,0,0,0,0,0,0,0.39982,0.65,-0.0174718,0.763323,0.996131,-0.0347705,0.00164124,-2.45073e-05,-0.000296962,0.00166807,1.13183,0,0,0,0,9.753
13,0.862975,0,2.47705,-0,6.06422e-08,0,0,0,0,0,0,0.392596,0.65,-0.0160135,0.759532,0.990819,-0.0453945,0.00175469,-5.79256e-05,-0.000448839,0.00181211,1.13283,0,0,0,0,9.75948
14,0.901413,0,2.59003,-0,6.06889e-08,0,0,0,0,0,0,0.386573,0.65,-0.0141486,0.756399,1.03601,0.0449892,0.00183364,-2.52106e-05,-0.000725756,0.0019722,1.13399,0,0,0,0,9.98177
15,0.799857,0,2.28757,-0,6.0477e-08,0,0,0,0,0,0,0.536941,0.65,-0.0288672,0.843587,0.915029,-0.196974,0.00137771,-6.62305e-05,-4.90054e-05,0.00138017,1.12874,0,0,0,0,9.5997
16,0.808403,0,2.31256,-0,6.04877e-08,0,0,0,0,0,0,0.518383,0.65,-0.0281472,0.831873,0.925022,-0.176987,0.00138272,-6.08516e-05,-6.20314e-05,0.00138544,1.129,0,0,0,0,9.61905
17,0.868035,0,2.48724,-0,6.05628e-08,0,0,0,0,0,0,0.875564,0.65,-0.0135276,1.09055,0.994896,-0.0372396,0.000915236,5.54797e-05,9.12616e-05,0.000921447,1.13086,0,0,0,0,8.16106
18,0.859421,0,2.46203,-0,6.0553e-08,0,0,0,0,0,0,0.859571,0.65,-0.0151135,1.07777,0.98481,-0.0574115,0.000941832,4.82637e-05,9.01628e-05,0.000947368,1.13062,0,0,0,0,8.26235
19,0.850906,0,2.43711,-0,6.05432e-08,0,0,0,0,0,0,0.842652,0.65,-0.016722,1.06435,0.974845,-0.077342,0.000965488,4.15763e-05,8.89338e-05,0.000970466,1.13038,0,0,0,0,8.35135
20,0.842076,0,2.41128,-0,6.0533e-08,0,0,0,0,0,0,0.824856,0.65,-0.0183479,1.05034,0.964514,-0.0980045,0.000989282,3.48847e-05,8.77644e-05,0.000993779,1.13012,0,0,0,0,8.432
21,0.832637,0,2.38367,-0,6.05219e-08,0,0,0,0,0,0,0.806246,0.65,-0.0199817,1.03582,0.953468,-0.120096,0.00101538,2.74875e-05,8.65577e-05,0.00101944,1.12985,0,0,0,0,8.51173
22,0.822365,0,2.35362,-0,6.05094e-08,0,0,0,0,0,0,0.786898,0.65,-0.0216062,1.02087,0.941448,-0.144136,0.00104558,1.87134e-05,8.50102e-05,0.00104919,1.12954,0,0,0,0,8.6027
23,0.811315,0,2.3213,-0,6.04958e-08,0,0,0,0,0,0,0.766903,0.65,-0.0231948,1.00557,0.928521,-0.16999,0.00108151,8.04216e-06,8.26864e-05,0.00108469,1.1292,0,0,0,0,8.70202
24,0.799782,0,2.2876,-0,6.04818e-08,0,0,0,0,0,0,0.746357,0.65,-0.0247114,0.99003,0.91504,-0.196951,0.00112268,-4.74844e-06,7.89425e-05,0.00112546,1.12885,0,0,0,0,8.81431
25,0.788431,0,2.25448,-0,6.04687e-08,0,0,0,0,0,0,0.725368,0.65,-0.0261126,0.974341,0.901794,-0.223444,0.00116687,-1.9383e-05,7.30962e-05,0.00116932,1.12853,0,0,0,0,8.92452
26,0.77825,0,2.22482,-0,6.04575e-08,0,0,0,0,0,0,0.70405,0.65,-0.0273526,0.958611,0.88993,-0.247172,0.00121131,-3.49295e-05,6.46656e-05,0.00121354,1.12825,0,0,0,0,9.03371
27,0.770439,0,2.20207,-0,6.04488e-08,0,0,0,0,0,0,0.682526,0.65,-0.0283886,0.942946,0.880829,-0.265373,0.00125389,-4.99274e-05,5.35706e-05,0.00125602,1.12804,0,0,0,0,9.14396
28,0.782372,0,2.23653,-0,6.04559e-08,0,0,0,0,0,0,0.576337,0.65,-0.0298398,0.869227,0.894612,-0.237809,0.00137253,-7.5929e-05,-2.18567e-05,0.0013748,1.12821,0,0,0,0,9.54823
29,0.791042,0,2.26182,-0,6.0466e-08,0,0,0,0,0,0,0.556296,0.65,-0.0294397,0.856056,0.904728,-0.217575,0.0013754,-7.15526e-05,-3.58293e-05,0.00137773,1.12846,0,0,0,0,9.57826
30,0.797592,0,2.28684,-0,6.05917e-08,0,0,0,0,0,0,0.746357,0.65,0.0247114,0.99003,0.914736,-0.19756,0.000703396,7.17415e-05,-4.82675e-05,0.00070869,1.13158,0,0,0,0,6.97032
31,0.80957,0,2.32122,-0,6.05924e-08,0,0,0,0,0,0,0.766903,0.65,0.0231948,1.00557,0.928489,-0.170053,0.000718434,7.58234e-05,-5.36276e-05,0.000724412,1.1316,0,0,0,0,7.09224
32,0.823502,0,2.36143,-0,6.05975e-08,0,0,0,0,0,0,0.786898,0.65,0.0216062,1.02087,0.944572,-0.137888,0.000709222,8.09536e-05,-5.62714e-05,0.000716041,1.13172,0,0,0,0,7.10134
