Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus,,
0,1.00024,0,79.8265,0,8.57E-08,0,0,0,0,0,0,1,5.35E-08,0,1,31.9306,0.3691,1.61E-16,8.16E-07,0,8.16E-07,1.00557,0,0,0,0,0.00615563,,123
1,0.999933,0,79.7819,0,8.57E-08,0,0,0,0,0,0,0.999001,-0.000141592,0,0.999001,31.9128,0.333469,0.00294589,0.00041742,0,0.00297532,1.00532,0,0,0,0,0.372426,,
2,0.999761,0,79.7619,0,8.57E-08,0,0,0,0,0,0,0.997966,-0.000288179,0,0.997966,31.9048,0.317437,0.00283942,0.000401813,0,0.00286771,1.00524,0,0,0,0,0.365415,,
3,0.999615,0,79.7412,0,8.57E-08,0,0,0,0,0,0,0.996893,-0.000439859,0,0.996893,31.8965,0.300874,0.00268155,0.000378958,0,0.0027082,1.00513,0,0,0,0,0.35492,,
4,0.999465,0,79.7228,0,8.57E-08,0,0,0,0,0,0,0.995782,-0.000596789,0,0.995782,31.8891,0.286146,0.0026344,0.000371775,0,0.0026605,1.00504,0,0,0,0,0.351593,,
5,0.999314,0,79.7068,0,8.57E-08,0,0,0,0,0,0,0.994631,-0.000759131,0,0.994631,31.8827,0.273381,0.00265621,0.000374311,0,0.00268245,1.005,0,0,0,0,0.352849,,
6,0.999169,0,79.693,0,8.57E-08,0,0,0,0,0,0,0.993438,-0.000927049,0,0.993439,31.8772,0.262316,0.00270789,0.000381025,0,0.00273457,1.00497,0,0,0,0,0.35607,,
7,0.999035,0,79.6806,0,8.57E-08,0,0,0,0,0,0,0.992203,-0.00110071,0,0.992204,31.8723,0.252454,0.00276771,0.00038884,0,0.00279489,1.00495,0,0,0,0,0.35979,,
8,0.998913,0,79.6694,0,8.57E-08,0,0,0,0,0,0,0.990924,-0.00128029,0,0.990925,31.8678,0.243449,0.0028261,0.000396408,0,0.00285376,1.00493,0,0,0,0,0.363379,,
9,0.998801,0,79.6589,0,8.56E-08,0,0,0,0,0,0,0.989599,-0.00146596,0,0.9896,31.8636,0.23507,0.00287953,0.000403235,0,0.00290762,1.00491,0,0,0,0,0.366618,,
10,0.998697,0,79.649,0,8.56E-08,0,0,0,0,0,0,0.988228,-0.00165789,0,0.988229,31.8596,0.227163,0.00292737,0.000409233,0,0.00295584,1.00489,0,0,0,0,0.369477,,
11,0.9986,0,79.6396,0,8.56E-08,0,0,0,0,0,0,0.986807,-0.00185628,0,0.986809,31.8559,0.219653,0.00297025,0.000414494,0,0.00299904,1.00487,0,0,0,0,0.372005,,
12,0.998508,0,79.6307,0,8.56E-08,0,0,0,0,0,0,0.985337,-0.00206129,0,0.985339,31.8523,0.212486,0.00300922,0.000419164,0,0.00303827,1.00485,0,0,0,0,0.374275,,
13,0.998421,0,79.6221,0,8.56E-08,0,0,0,0,0,0,0.983815,-0.00227313,0,0.983817,31.8488,0.205622,0.00304526,0.000423382,0,0.00307455,1.00483,0,0,0,0,0.376351,,
14,0.998337,0,79.6139,0,8.56E-08,0,0,0,0,0,0,0.982239,-0.00249197,0,0.982242,31.8455,0.199027,0.00307908,0.000427249,0,0.00310858,1.00481,0,0,0,0,0.378282,,
15,0.998257,0,79.6059,0,8.56E-08,0,0,0,0,0,0,0.980609,-0.00271801,0,0.980612,31.8424,0.192674,0.00311115,0.000430827,0,0.00314084,1.00479,0,0,0,0,0.380099,,
16,0.99818,0,79.5983,0,8.56E-08,0,0,0,0,0,0,0.978921,-0.00295145,0,0.978926,31.8393,0.186537,0.00314172,0.000434152,0,0.00317158,1.00477,0,0,0,0,0.381818,,
17,0.998106,0,79.5908,0,8.56E-08,0,0,0,0,0,0,0.977175,-0.00319247,0,0.97718,31.8363,0.180598,0.00317094,0.000437246,0,0.00320095,1.00475,0,0,0,0,0.383449,,
18,0.998035,0,79.5836,0,8.56E-08,0,0,0,0,0,0,0.975369,-0.00344128,0,0.975375,31.8335,0.174839,0.00319894,0.000440124,0,0.00322907,1.00473,0,0,0,0,0.385003,,
19,0.997966,0,79.5766,0,8.56E-08,0,0,0,0,0,0,0.9735,-0.00369808,0,0.973507,31.8307,0.169246,0.00322581,0.0004428,0,0.00325606,1.00471,0,0,0,0,0.386485,,
20,0.997899,0,79.5698,0,8.56E-08,0,0,0,0,0,0,0.971568,-0.00396307,0,0.971576,31.8279,0.163808,0.00325166,0.000445289,0,0.003282,1.00469,0,0,0,0,0.387903,,
21,0.997834,0,79.5632,0,8.56E-08,0,0,0,0,0,0,0.969569,-0.00423645,0,0.969578,31.8253,0.158514,0.00327657,0.000447601,0,0.003307,1.00467,0,0,0,0,0.389263,,
22,0.997772,0,79.5568,0,8.56E-08,0,0,0,0,0,0,0.967502,-0.00451843,0,0.967513,31.8227,0.153355,0.00330064,0.000449748,0,0.00333114,1.00465,0,0,0,0,0.39057,,
23,0.997711,0,79.5505,0,8.56E-08,0,0,0,0,0,0,0.965366,-0.0048092,0,0.965378,31.8202,0.148322,0.00332393,0.000451739,0,0.00335449,1.00464,0,0,0,0,0.39183,,
