Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,0.998747,0,79.6809,-0,8.56711e-08,0,0,0,0,0,0,1,5.3522e-08,0,1,31.8724,0.252685,5.69523e-15,2.8823e-05,0,2.8823e-05,1.00524,0,0,0,0,0.0365662
1,0.998817,0,79.6808,-0,8.56664e-08,0,0,0,0,0,0,0.999001,-0.000141592,0,0.999001,31.8723,0.25258,0.00308195,0.000436699,0,0.00311274,1.00517,0,0,0,0,0.380762
2,0.998785,0,79.6716,-0,8.56609e-08,0,0,0,0,0,0,0.997966,-0.000288179,0,0.997966,31.8687,0.245245,0.00280421,0.000396829,0,0.00283215,1.00508,0,0,0,0,0.363008
3,0.998771,0,79.6611,-0,8.5653e-08,0,0,0,0,0,0,0.996893,-0.000439859,0,0.996893,31.8644,0.236835,0.00245245,0.000346582,0,0.00247682,1.00497,0,0,0,0,0.339319
4,0.99871,0,79.6512,-0,8.56488e-08,0,0,0,0,0,0,0.995782,-0.000596789,0,0.995782,31.8605,0.228928,0.00228189,0.000322028,0,0.00230451,1.0049,0,0,0,0,0.327138
5,0.998629,0,79.6428,-0,8.56472e-08,0,0,0,0,0,0,0.994631,-0.000759131,0,0.994631,31.8571,0.222196,0.002247,0.000316646,0,0.0022692,1.00488,0,0,0,0,0.324452
6,0.998546,0,79.6358,-0,8.56469e-08,0,0,0,0,0,0,0.993438,-0.000927049,0,0.993439,31.8543,0.216606,0.00227378,0.000319941,0,0.00229618,1.00487,0,0,0,0,0.326204
7,0.998468,0,79.6298,-0,8.56471e-08,0,0,0,0,0,0,0.992203,-0.00110071,0,0.992204,31.8519,0.211806,0.00231683,0.000325495,0,0.00233958,1.00488,0,0,0,0,0.329106
8,0.998397,0,79.6245,-0,8.56473e-08,0,0,0,0,0,0,0.990924,-0.00128029,0,0.990925,31.8498,0.207504,0.00235864,0.00033084,0,0.00238174,1.00488,0,0,0,0,0.331895
9,0.998333,0,79.6195,-0,8.56474e-08,0,0,0,0,0,0,0.989599,-0.00146596,0,0.9896,31.8478,0.203521,0.00239526,0.00033542,0,0.00241863,1.00488,0,0,0,0,0.3343
10,0.998275,0,79.6148,-0,8.56474e-08,0,0,0,0,0,0,0.988228,-0.00165789,0,0.988229,31.8459,0.199773,0.00242692,0.000339273,0,0.00245052,1.00488,0,0,0,0,0.336347
11,0.99822,0,79.6104,-0,8.56473e-08,0,0,0,0,0,0,0.986807,-0.00185628,0,0.986809,31.8441,0.196226,0.00245472,0.000342552,0,0.00247851,1.00488,0,0,0,0,0.338117
12,0.998169,0,79.6062,-0,8.56472e-08,0,0,0,0,0,0,0.985337,-0.00206129,0,0.985339,31.8425,0.192863,0.0024797,0.000345406,0,0.00250364,1.00488,0,0,0,0,0.339687
13,0.99812,0,79.6022,-0,8.56471e-08,0,0,0,0,0,0,0.983815,-0.00227313,0,0.983817,31.8409,0.189672,0.0025027,0.00034795,0,0.00252677,1.00488,0,0,0,0,0.341117
14,0.998075,0,79.5984,-0,8.5647e-08,0,0,0,0,0,0,0.982239,-0.00249197,0,0.982242,31.8394,0.186639,0.00252425,0.000350261,0,0.00254843,1.00487,0,0,0,0,0.342445
15,0.998031,0,79.5948,-0,8.56469e-08,0,0,0,0,0,0,0.980609,-0.00271801,0,0.980612,31.8379,0.183752,0.00254467,0.000352381,0,0.00256895,1.00487,0,0,0,0,0.343695
16,0.99799,0,79.5913,-0,8.56468e-08,0,0,0,0,0,0,0.978921,-0.00295145,0,0.978926,31.8365,0.180998,0.00256411,0.000354333,0,0.00258848,1.00487,0,0,0,0,0.344877
17,0.99795,0,79.588,-0,8.56467e-08,0,0,0,0,0,0,0.977175,-0.00319247,0,0.97718,31.8352,0.178367,0.00258265,0.000356126,0,0.00260709,1.00487,0,0,0,0,0.345997
18,0.997913,0,79.5849,-0,8.56465e-08,0,0,0,0,0,0,0.975369,-0.00344128,0,0.975375,31.834,0.175852,0.00260037,0.00035777,0,0.00262486,1.00487,0,0,0,0,0.347061
19,0.997877,0,79.5819,-0,8.56464e-08,0,0,0,0,0,0,0.9735,-0.00369808,0,0.973507,31.8328,0.173446,0.00261731,0.000359273,0,0.00264185,1.00487,0,0,0,0,0.348072
20,0.997843,0,79.579,-0,8.56463e-08,0,0,0,0,0,0,0.971568,-0.00396307,0,0.971576,31.8316,0.171144,0.00263354,0.000360643,0,0.00265812,1.00486,0,0,0,0,0.349037
21,0.997811,0,79.5763,-0,8.56461e-08,0,0,0,0,0,0,0.969569,-0.00423645,0,0.969578,31.8305,0.168942,0.00264914,0.00036189,0,0.00267374,1.00486,0,0,0,0,0.349959
22,0.99778,0,79.5736,-0,8.5646e-08,0,0,0,0,0,0,0.967502,-0.00451843,0,0.967513,31.8295,0.166837,0.00266415,0.00036302,0,0.00268877,1.00486,0,0,0,0,0.350843
23,0.99775,0,79.5711,-0,8.56459e-08,0,0,0,0,0,0,0.965366,-0.0048092,0,0.965378,31.8284,0.164825,0.00267863,0.000364039,0,0.00270326,1.00486,0,0,0,0,0.351691
24,0.997722,0,79.5687,-0,8.56457e-08,0,0,0,0,0,0,0.963157,-0.00510898,0,0.96317,31.8275,0.162904,0.00269261,0.000364953,0,0.00271723,1.00485,0,0,0,0,0.352508
25,0.997695,0,79.5664,-0,8.56456e-08,0,0,0,0,0,0,0.960874,-0.00541796,0,0.960889,31.8266,0.161071,0.00270613,0.000365766,0,0.00273074,1.00485,0,0,0,0,0.353295
26,0.99767,0,79.5642,-0,8.56454e-08,0,0,0,0,0,0,0.958515,-0.00573636,0,0.958532,31.8257,0.159323,0.00271923,0.000366481,0,0.00274381,1.00485,0,0,0,0,0.354054
27,0.997646,0,79.5621,-0,8.56453e-08,0,0,0,0,0,0,0.956078,-0.00606436,0,0.956097,31.8249,0.157658,0.00273191,0.000367102,0,0.00275647,1.00485,0,0,0,0,0.354787
28,0.997623,0,79.5602,-0,8.56452e-08,0,0,0,0,0,0,0.95356,-0.00640218,0,0.953582,31.8241,0.156073,0.00274422,0.000367631,0,0.00276873,1.00485,0,0,0,0,0.355497
29,0.997601,0,79.5583,-0,8.56451e-08,0,0,0,0,0,0,0.95096,-0.00675,0,0.950984,31.8233,0.154563,0.00275617,0.000368071,0,0.00278063,1.00484,0,0,0,0,0.356184
30,0.997581,0,79.5565,-0,8.56449e-08,0,0,0,0,0,0,0.948275,-0.00710804,0,0.948301,31.8226,0.153124,0.00276777,0.000368423,0,0.00279218,1.00484,0,0,0,0,0.356849
31,0.997561,0,79.5548,-0,8.56448e-08,0,0,0,0,0,0,0.945502,-0.00747646,0,0.945532,31.8219,0.151751,0.00277905,0.00036869,0,0.0028034,1.00484,0,0,0,0,0.357494
