Point ID,Density,Eddy_Viscosity,Energy,Heat_Flux,Laminar_Viscosity,Mach,Momentum_0,Momentum_1,Momentum_2,Momentum_Magnitude,Nu_Tilde,Points_0,Points_1,Points_2,Points_Magnitude,Pressure,Pressure_Coefficient,Skin_Friction_Coefficient_0,Skin_Friction_Coefficient_1,Skin_Friction_Coefficient_2,Skin_Friction_Coefficient_Magnitude,Temperature,Velocity_0,Velocity_1,Velocity_2,Velocity_Magnitude,Y_Plus
0,0.9992,0,79.771,-0,8.57161e-08,0,0,0,0,0,0,1,5.3522e-08,0,1,31.9084,0.324724,5.74207e-15,2.906e-05,0,2.906e-05,1.00592,0,0,0,0,0.0367053
1,0.999142,0,79.7488,-0,8.57015e-08,0,0,0,0,0,0,0.999001,-0.000141592,0,0.999001,31.8995,0.307012,0.00466179,0.000660555,0,0.00470836,1.0057,0,0,0,0,0.468177
2,0.999092,0,79.7284,-0,8.56878e-08,0,0,0,0,0,0,0.997966,-0.000288179,0,0.997966,31.8914,0.290643,0.00443973,0.000628275,0,0.00448396,1.00549,0,0,0,0,0.456689
3,0.999074,0,79.7073,-0,8.56714e-08,0,0,0,0,0,0,0.996893,-0.000439859,0,0.996893,31.8829,0.273764,0.0039915,0.000564081,0,0.00403116,1.00524,0,0,0,0,0.432861
4,0.998967,0,79.6889,-0,8.56631e-08,0,0,0,0,0,0,0.995782,-0.000596789,0,0.995782,31.8756,0.259044,0.00379206,0.000535147,0,0.00382963,1.00512,0,0,0,0,0.4217
5,0.998838,0,79.6743,-0,8.56595e-08,0,0,0,0,0,0,0.994631,-0.000759131,0,0.994631,31.8697,0.247373,0.00377684,0.00053223,0,0.00381416,1.00506,0,0,0,0,0.420626
6,0.998714,0,79.6629,-0,8.56583e-08,0,0,0,0,0,0,0.993438,-0.000927049,0,0.993439,31.8652,0.238241,0.00383223,0.000539229,0,0.00386998,1.00505,0,0,0,0,0.423467
7,0.998604,0,79.6535,-0,8.56578e-08,0,0,0,0,0,0,0.992203,-0.00110071,0,0.992204,31.8614,0.23075,0.00389998,0.000547914,0,0.00393828,1.00504,0,0,0,0,0.426968
8,0.998511,0,79.6454,-0,8.56573e-08,0,0,0,0,0,0,0.990924,-0.00128029,0,0.990925,31.8582,0.224278,0.00396171,0.000555697,0,0.00400049,1.00503,0,0,0,0,0.430116
9,0.99843,0,79.6382,-0,8.56566e-08,0,0,0,0,0,0,0.989599,-0.00146596,0,0.9896,31.8553,0.218499,0.00401379,0.000562071,0,0.00405295,1.00502,0,0,0,0,0.432725
10,0.998359,0,79.6317,-0,8.56558e-08,0,0,0,0,0,0,0.988228,-0.00165789,0,0.988229,31.8527,0.21326,0.00405697,0.000567146,0,0.00409642,1.00501,0,0,0,0,0.434846
11,0.998296,0,79.6257,-0,8.5655e-08,0,0,0,0,0,0,0.986807,-0.00185628,0,0.986809,31.8503,0.208487,0.00409332,0.000571216,0,0.00413298,1.005,0,0,0,0,0.436597
12,0.99824,0,79.6202,-0,8.56543e-08,0,0,0,0,0,0,0.985337,-0.00206129,0,0.985339,31.8481,0.204129,0.00412499,0.000574583,0,0.00416481,1.00498,0,0,0,0,0.438097
13,0.998188,0,79.6153,-0,8.56535e-08,0,0,0,0,0,0,0.983815,-0.00227313,0,0.983817,31.8461,0.20014,0.00415357,0.000577471,0,0.00419352,1.00497,0,0,0,0,0.439432
14,0.998141,0,79.6107,-0,8.56529e-08,0,0,0,0,0,0,0.982239,-0.00249197,0,0.982242,31.8443,0.196477,0.00417998,0.000580007,0,0.00422003,1.00496,0,0,0,0,0.440653
15,0.998098,0,79.6065,-0,8.56522e-08,0,0,0,0,0,0,0.980609,-0.00271801,0,0.980612,31.8426,0.193101,0.00420464,0.000582251,0,0.00424477,1.00495,0,0,0,0,0.441784
16,0.998059,0,79.6026,-0,8.56516e-08,0,0,0,0,0,0,0.978921,-0.00295145,0,0.978926,31.841,0.189981,0.00422777,0.000584232,0,0.00426794,1.00494,0,0,0,0,0.442835
17,0.998023,0,79.5989,-0,8.56509e-08,0,0,0,0,0,0,0.977175,-0.00319247,0,0.97718,31.8396,0.18709,0.00424949,0.000585968,0,0.0042897,1.00493,0,0,0,0,0.443815
18,0.99799,0,79.5956,-0,8.56503e-08,0,0,0,0,0,0,0.975369,-0.00344128,0,0.975375,31.8382,0.18441,0.00426994,0.000587477,0,0.00431017,1.00492,0,0,0,0,0.44473
19,0.997959,0,79.5925,-0,8.56498e-08,0,0,0,0,0,0,0.9735,-0.00369808,0,0.973507,31.837,0.181922,0.00428927,0.00058878,0,0.00432949,1.00492,0,0,0,0,0.445589
20,0.997932,0,79.5896,-0,8.56492e-08,0,0,0,0,0,0,0.971568,-0.00396307,0,0.971576,31.8358,0.179611,0.00430762,0.000589894,0,0.00434782,1.00491,0,0,0,0,0.4464
21,0.997906,0,79.5869,-0,8.56486e-08,0,0,0,0,0,0,0.969569,-0.00423645,0,0.969578,31.8348,0.177462,0.0043251,0.000590836,0,0.00436527,1.0049,0,0,0,0,0.447168
22,0.997883,0,79.5844,-0,8.56481e-08,0,0,0,0,0,0,0.967502,-0.00451843,0,0.967513,31.8338,0.175461,0.00434181,0.000591618,0,0.00438193,1.00489,0,0,0,0,0.447899
23,0.997862,0,79.5821,-0,8.56476e-08,0,0,0,0,0,0,0.965366,-0.0048092,0,0.965378,31.8328,0.173592,0.00435784,0.000592251,0,0.0043979,1.00488,0,0,0,0,0.448597
24,0.997842,0,79.5799,-0,8.56471e-08,0,0,0,0,0,0,0.963157,-0.00510898,0,0.96317,31.832,0.171842,0.00437324,0.000592743,0,0.00441323,1.00488,0,0,0,0,0.449265
25,0.997823,0,79.5778,-0,8.56466e-08,0,0,0,0,0,0,0.960874,-0.00541796,0,0.960889,31.8311,0.170194,0.00438808,0.0005931,0,0.00442798,1.00487,0,0,0,0,0.449907
26,0.997806,0,79.5759,-0,8.56461e-08,0,0,0,0,0,0,0.958515,-0.00573636,0,0.958532,31.8303,0.168632,0.0044024,0.00059333,0,0.0044422,1.00486,0,0,0,0,0.450524
27,0.99779,0,79.574,-0,8.56456e-08,0,0,0,0,0,0,0.956078,-0.00606436,0,0.956097,31.8296,0.16714,0.00441625,0.000593436,0,0.00445594,1.00485,0,0,0,0,0.451119
28,0.997774,0,79.5722,-0,8.56451e-08,0,0,0,0,0,0,0.95356,-0.00640218,0,0.953582,31.8289,0.165703,0.00442967,0.000593424,0,0.00446924,1.00485,0,0,0,0,0.451695
