"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.140310537,      -13.62814339,      -13.67262966,      -2.092603105,      -9.859766366
          0,           0,           1,      -4.313279717,      -4.134507428,       -3.49005765,      -2.261652449,      -10.20435931
          0,           0,           2,      -4.842903581,      -4.538503095,      -4.063625448,       -2.79637384,      -10.63721349
          0,           0,           3,      -4.981903156,      -4.657626691,      -4.161673727,      -2.934773776,      -11.00932012
          0,           0,           4,      -5.029129083,      -4.723992454,      -4.209575367,      -2.981698508,       -11.1473356
          0,           0,           5,      -5.058690637,      -4.771606977,      -4.238788111,       -3.01124707,      -11.23100944
          0,           0,           6,      -5.079858135,      -4.806384663,      -4.259363535,      -3.032387203,      -11.29162217
          0,           0,           7,      -5.094833394,       -4.82928636,      -4.273423162,      -3.047326171,      -11.35037809
          0,           0,           8,      -5.104124015,      -4.839828716,      -4.281239781,      -3.056579116,      -11.39111484
          0,           0,           9,      -5.107695936,      -4.836154728,      -4.282529168,      -3.060111997,      -11.42181843
          0,           0,          10,      -5.105588804,      -4.816542993,      -4.277235383,      -3.057971463,        -11.446943
          0,           0,          11,      -5.098342597,      -4.781361343,      -4.266014899,      -3.050710929,      -11.46884625
          0,           0,          12,      -5.087107977,      -4.733968379,      -4.250330562,      -3.039493977,      -11.48317108
          0,           0,          13,         -5.073422,        -4.6796107,      -4.232127113,      -3.025863927,      -11.49247323
          0,           0,          14,      -5.058853477,      -4.623418148,      -4.213344127,        -3.0113869,      -11.49849754
          0,           0,          15,      -5.044692937,      -4.569123421,      -4.195504391,      -2.997343625,      -11.50351694
          0,           0,          16,      -5.031806201,      -4.518864188,      -4.179545115,      -2.984586022,      -11.50770504
          0,           0,          17,      -5.020626803,      -4.473517624,      -4.165839975,      -2.973533249,      -11.51068041
          0,           0,          18,      -5.011225218,      -4.433130947,      -4.154341873,      -2.964244356,      -11.51276965
          0,           0,          19,       -5.00340567,      -4.397298169,      -4.144753318,      -2.956517293,       -11.5142851
          0,           0,          20,      -4.996806266,       -4.36543901,      -4.136675481,      -2.949989655,      -11.51532832
          0,           0,          21,      -4.991001733,      -4.336978202,      -4.129716644,      -2.944240599,      -11.51608327
          0,           0,          22,      -4.985586637,      -4.311426434,      -4.123561196,      -2.938871291,      -11.51617502
          0,           0,          23,      -4.980251864,      -4.288392665,       -4.11797486,      -2.933578595,      -11.51549088
          0,           0,          24,      -4.974813846,      -4.267561107,      -4.112802013,       -2.92818227,       -11.5138393
          0,           0,          25,      -4.969221759,      -4.248660262,      -4.107938464,      -2.922630694,      -11.51139557
          0,           0,          26,      -4.963508637,      -4.231439148,      -4.103320399,      -2.916952511,      -11.50830775
          0,           0,          27,      -4.957759798,      -4.215665997,      -4.098906467,      -2.911226264,      -11.50473621
          0,           0,          28,      -4.952062522,      -4.201131776,      -4.094675785,      -2.905531494,      -11.50085178
          0,           0,          29,      -4.946477627,      -4.187663119,      -4.090622555,      -2.899922137,      -11.49664799
          0,           0,          30,      -4.941019605,       -4.17512958,      -4.086756032,      -2.894407963,       -11.4921565
          0,           0,          31,      -4.935648172,      -4.163441281,      -4.083102108,      -2.888946717,      -11.48718736
          0,           0,          32,      -4.930282677,      -4.152542041,      -4.079696268,      -2.883459071,      -11.48172586
          0,           0,          33,      -4.924821058,      -4.142395607,      -4.076575603,      -2.877847591,      -11.47574187
          0,           0,          34,      -4.919161931,      -4.132972857,      -4.073768775,      -2.872018358,      -11.46921932
          0,           0,          35,      -4.913227506,      -4.124243434,      -4.071287813,      -2.865902745,      -11.46217544
          0,           0,          36,      -4.906974781,      -4.116172262,      -4.069122439,      -2.859467396,      -11.45466192
          0,           0,          37,      -4.900396061,       -4.10872123,       -4.06723749,      -2.852713504,      -11.44678128
          0,           0,          38,      -4.893514029,      -4.101852212,       -4.06557755,      -2.845670641,      -11.43858737
          0,           0,          39,       -4.88637284,      -4.095530177,      -4.064073151,      -2.838387208,      -11.43007432
          0,           0,          40,      -4.879025948,      -4.089723293,      -4.062648983,      -2.830918283,      -11.42132629
          0,           0,          41,      -4.871529144,      -4.084400645,      -4.061233126,      -2.823319055,      -11.41240208
          0,           0,          42,      -4.863935462,      -4.079526946,      -4.059763375,      -2.815640465,      -11.40332816
          0,           0,          43,      -4.856294265,      -4.075055996,      -4.058190788,      -2.807929017,      -11.39408851
          0,           0,          44,      -4.848651254,      -4.070926152,      -4.056480173,      -2.800227379,        -11.384694
          0,           0,          45,      -4.841048443,      -4.067058112,      -4.054607757,      -2.792574794,      -11.37513656
          0,           0,          46,      -4.833523787,       -4.06335584,      -4.052559516,       -2.78500689,      -11.36539861
          0,           0,          47,      -4.826110634,      -4.059711969,      -4.050328237,       -2.77755511,      -11.35548718
          0,           0,          48,      -4.818836676,      -4.056015761,      -4.047912572,      -2.770245553,      -11.34539201
          0,           0,          49,      -4.811723181,      -4.052163688,       -4.04531653,      -2.763098129,      -11.33510702
          0,           0,          50,      -4.804784441,      -4.048069513,      -4.042549209,      -2.756125974,      -11.32465153
          0,           0,          51,      -4.798027306,      -4.043672269,      -4.039623855,      -2.749334969,      -11.31403704
          0,           0,          52,      -4.791451522,      -4.038941213,         -4.036557,      -2.742724141,      -11.30325139
          0,           0,          53,      -4.785049495,      -4.033872759,      -4.033365164,      -2.736285371,      -11.29231516
          0,           0,          54,      -4.778807591,      -4.028489497,      -4.030062567,      -2.730004716,      -11.28124901
          0,           0,          55,       -4.77270712,      -4.022833041,      -4.026659504,      -2.723863444,      -11.27004308
          0,           0,          56,      -4.766725923,      -4.016955399,      -4.023160617,      -2.717839622,      -11.25872731
          0,           0,          57,      -4.760840133,       -4.01091074,       -4.01956429,      -2.711909819,      -11.24731929
          0,           0,          58,       -4.75502666,      -4.004750048,       -4.01586273,      -2.706051538,      -11.23580677
          0,           0,          59,      -4.749264844,      -3.998514037,      -4.012043788,      -2.700244825,      -11.22424688
          0,           0,          60,      -4.743538593,      -3.992232943,      -4.008092117,      -2.694474312,      -11.21270354
          0,           0,          61,      -4.737837117,      -3.985926628,      -4.003991117,      -2.688729956,      -11.20117857
          0,           0,          62,      -4.732155727,      -3.979605447,      -3.999723612,      -2.683007821,      -11.18969395
