"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,           0,      -4.135939208,      -13.63175982,       -13.6725769,      -2.088231776,      -9.859755034
          0,           0,           1,      -4.308689548,      -4.131894421,      -3.485519472,      -2.257060615,      -10.20426935
          0,           0,           2,      -4.838482156,      -4.536799427,      -4.058990394,      -2.791948015,      -10.63706846
          0,           0,           3,      -4.977454972,      -4.656008374,      -4.157207145,      -2.930327503,      -11.00891374
          0,           0,           4,      -5.024698495,      -4.722276066,      -4.205098611,      -2.977269523,      -11.14671038
          0,           0,           5,      -5.054264113,      -4.769740323,      -4.234318224,      -3.006821311,      -11.23032424
          0,           0,           6,      -5.075442948,      -4.804377295,      -4.254908232,      -3.027972528,      -11.29081792
          0,           0,           7,      -5.090435664,       -4.82716912,       -4.26899021,      -3.042928704,      -11.34937983
          0,           0,           8,      -5.099750299,      -4.837626475,      -4.276838347,       -3.05220529,      -11.38998614
          0,           0,           9,      -5.103350243,      -4.833876462,      -4.278165796,      -3.055765637,      -11.42053973
          0,           0,          10,      -5.101270366,      -4.814177485,      -4.272910319,      -3.053651534,      -11.44547317
          0,           0,          11,      -5.094044978,      -4.778883063,      -4.261721039,      -3.046410717,      -11.46714377
          0,           0,          12,      -5.082820675,      -4.731355128,      -4.246055414,      -3.035202722,      -11.48126755
          0,           0,          13,      -5.069133163,      -4.676853206,      -4.227856549,      -3.021569596,       -11.4903623
          0,           0,          14,      -5.054552692,      -4.620521231,      -4.209065715,      -3.007078962,      -11.49618486
          0,           0,          15,      -5.040373359,      -4.566100899,      -4.191209539,      -2.993015163,      -11.50099805
          0,           0,          16,      -5.027464668,       -4.51573349,      -4.175229206,      -2.980233859,      -11.50498391
          0,           0,          17,      -5.016263995,      -4.470296227,      -4.161502281,      -2.969158075,      -11.50780238
          0,           0,          18,      -5.006844858,      -4.429834442,      -4.149984231,      -2.959849952,      -11.50975602
          0,           0,          19,      -4.999013034,       -4.39393887,      -4.140379171,      -2.952108998,      -11.51115697
          0,           0,          20,      -4.992407667,      -4.362026119,      -4.132288836,      -2.945573862,      -11.51210129
          0,           0,          21,      -4.986603334,       -4.33351786,      -4.125321552,      -2.939823556,      -11.51276458
          0,           0,          22,      -4.981193935,      -4.307922839,      -4.119161154,       -2.93445857,      -11.51276929
          0,           0,          23,      -4.975869171,      -4.284848684,      -4.113573019,       -2.92917458,      -11.51201682
          0,           0,          24,      -4.970444526,      -4.263979107,      -4.108401105,      -2.923790398,      -11.51030658
          0,           0,          25,      -4.964868289,      -4.245042375,      -4.103540937,      -2.918253518,      -11.50781244
          0,           0,          26,       -4.95917282,      -4.227787389,      -4.098928495,       -2.91259193,      -11.50468188
          0,           0,          27,      -4.953442958,       -4.21198227,       -4.09452218,      -2.906883704,      -11.50107402
          0,           0,          28,      -4.947765818,      -4.197417769,      -4.090300856,      -2.901208229,      -11.49715793
          0,           0,          29,      -4.942202245,      -4.183920326,      -4.086258398,      -2.895619485,       -11.4929263
          0,           0,          30,      -4.936766773,      -4.171359263,      -4.082403711,      -2.890127296,      -11.48841498
          0,           0,          31,       -4.93141934,      -4.159644565,        -4.0787623,      -2.884689635,      -11.48343401
          0,           0,          32,      -4.926079494,      -4.148720009,       -4.07536924,      -2.879227373,      -11.47796572
          0,           0,          33,      -4.920645202,      -4.138549395,      -4.072261274,      -2.873643092,      -11.47197926
          0,           0,          34,      -4.915014915,      -4.129103647,      -4.069466854,      -2.867842699,      -11.46545758
          0,           0,          35,      -4.909110532,      -4.120352485,      -4.066997851,      -2.861757232,      -11.45841651
          0,           0,          36,      -4.902888544,      -4.112260931,      -4.064843956,       -2.85535281,      -11.45090651
          0,           0,          37,      -4.896340654,      -4.104790896,      -4.062970042,      -2.848630012,      -11.44302838
          0,           0,          38,       -4.88948892,      -4.097904302,      -4.061320792,      -2.841617775,      -11.43483729
          0,           0,          39,      -4.882376915,       -4.09156614,      -4.059826929,      -2.834363913,      -11.42632529
          0,           0,          40,      -4.875057478,      -4.085744687,       -4.05841339,      -2.826922888,      -11.41757782
          0,           0,          41,      -4.867585846,      -4.080409183,      -4.057008662,      -2.819349336,      -11.40865105
          0,           0,          42,      -4.860014613,      -4.075524668,      -4.055551174,      -2.811693755,      -11.39957047
          0,           0,          43,      -4.852392775,       -4.07104559,      -4.053992454,      -2.804002288,      -11.39032276
          0,           0,          44,      -4.844765921,      -4.066910754,      -4.052297997,      -2.796317486,      -11.38091721
          0,           0,          45,      -4.837176161,      -4.063041445,      -4.050444732,      -2.788678685,      -11.37134589
          0,           0,          46,      -4.829661682,      -4.059342218,      -4.048418845,      -2.781121739,      -11.36158838
          0,           0,          47,      -4.822256209,      -4.055706196,      -4.046213243,      -2.773678469,      -11.35165661
          0,           0,          48,       -4.81498802,      -4.052022853,      -4.043826509,      -2.766375556,      -11.34153973
          0,           0,          49,      -4.807878905,      -4.048188561,      -4.041262097,      -2.759233428,      -11.33123073
          0,           0,          50,       -4.80094357,      -4.044116644,      -4.038528287,      -2.752265624,      -11.32075137
          0,           0,          51,       -4.79418929,      -4.039745284,      -4.035637475,       -2.74547844,      -11.31011324
          0,           0,          52,      -4.787616038,      -4.035042388,      -4.032605252,      -2.738871106,       -11.2993033
          0,           0,          53,      -4.781216356,      -4.030003855,      -4.029447286,      -2.732435645,      -11.28834723
          0,           0,          54,       -4.77497668,      -4.024650646,      -4.026177072,      -2.726158185,      -11.27726004
          0,           0,          55,      -4.768878274,      -4.019023053,      -4.022804218,      -2.720019918,      -11.26603117
          0,           0,          56,      -4.762898947,      -4.013171951,      -4.019332856,      -2.713998867,       -11.2546965
          0,           0,          57,       -4.75701487,      -4.007150697,      -4.015761209,      -2.708071635,      -11.24327335
          0,           0,          58,      -4.751202966,      -4.001009518,      -4.012081337,      -2.702215733,      -11.23174644
          0,           0,          59,      -4.745442648,      -3.994789369,      -4.008281001,      -2.696411278,      -11.22017237
          0,           0,          60,       -4.73971781,      -3.988519944,      -4.004344904,      -2.690642899,      -11.20861776
          0,           0,          61,       -4.73401782,      -3.982221045,      -4.000256542,      -2.684900701,      -11.19707929
          0,           0,          62,      -4.728338033,      -3.975903301,      -3.995998824,      -2.679180788,      -11.18558221
          0,           0,          63,      -4.722679459,      -3.969570079,      -3.991556443,      -2.673484914,      -11.17415904
          0,           0,          64,      -4.717047737,      -3.963219218,      -3.986916808,      -2.667819407,      -11.16282643
          0,           0,          65,      -4.711451913,      -3.956845275,      -3.982070666,      -2.662193938,      -11.15160803
          0,           0,          66,       -4.70590404,      -3.950443681,      -3.977009843,      -2.656621099,      -11.14049852
          0,           0,          67,      -4.700417147,      -3.944010216,      -3.971731454,      -2.651114413,      -11.12950292
