    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,       "CD"       ,       "CL"       
      -4.562590421,      -13.62893418,      -13.67121264,       -2.51488299,      -9.860275031,       1.759880027,       2.185311511
      -4.832110422,        -4.0613657,      -4.078859264,      -2.783013164,      -11.27612357,      0.2867097417,     -0.4803012331
      -4.530478051,      -3.768528701,       -3.78931026,      -2.488064082,      -10.69735802,   -0.004009331144,     -0.4159095219
      -4.644409173,      -3.856995954,      -3.893766118,       -2.60286082,      -10.45781804,     0.03592979126,      0.1420804413
      -4.921158584,       -3.93464501,      -4.067277005,       -2.89019434,       -10.3587491,     0.07374197376,      0.5632954782
      -5.367549835,      -4.129591807,      -4.406971121,      -3.321155125,      -10.31893208,     0.05197294603,      0.5685727478
      -5.543986572,      -4.290118342,       -4.61256951,      -3.496637244,      -10.29449353,     0.02251015118,      0.3383749522
      -5.708761735,      -4.447264037,      -4.772279152,      -3.665832738,      -10.26843628,     0.01994378095,      0.1461013113
      -5.951910498,      -4.602394462,      -5.022862535,      -3.897246439,      -10.25326008,     0.01053651622,      0.1461707246
      -6.100313917,      -4.762092468,      -5.272052904,      -4.041524349,      -10.25067842,      0.0127554272,      0.2771924914
      -6.227632246,      -4.863678914,      -5.383890002,      -4.173100683,      -10.24774922,     0.01844391614,      0.3962198544
      -6.315632535,      -4.948035112,      -5.464386744,      -4.262660069,      -10.24677012,      0.0190005439,      0.4143764352
      -6.405319257,      -5.030961377,      -5.568850885,      -4.351692882,       -10.2479551,     0.01469238291,      0.3570500231
      -6.572550309,      -5.087151612,      -5.606728715,      -4.511176878,       -10.2480251,     0.01060646971,      0.2986420233
      -6.669619691,      -5.143102612,      -5.635266082,        -4.5984709,      -10.24363178,    0.009118086725,      0.2886387075
      -6.745374398,      -5.214274827,      -5.671580913,      -4.677726962,      -10.23071568,     0.01000914183,      0.3190668785
      -6.913791889,      -5.269203862,      -5.659033904,      -4.845373754,      -10.20727135,     0.01154151706,      0.3520241311
      -7.055200792,      -5.310412165,      -5.677648722,      -4.958894759,      -10.17424404,     0.01196856284,      0.3605687561
      -7.085467252,      -5.350512954,      -5.740058988,      -4.983243202,      -10.13641186,     0.01114714965,       0.346916013
       -7.14889915,      -5.383227468,      -5.787459514,      -5.060715239,      -10.09954446,     0.01002977602,      0.3303370505
      -7.228378702,      -5.406512418,      -5.792230603,      -5.141776349,      -10.06745846,    0.009500047611,       0.325585476
      -7.351867257,      -5.424348445,      -5.778899434,      -5.218597324,      -10.04106604,    0.009673125077,      0.3327374216
      -7.441606963,      -5.448209202,      -5.775636558,      -5.268575716,      -10.02121856,     0.01008154485,      0.3422936019
      -7.371340319,      -5.479694911,      -5.796369149,      -5.251570658,      -10.00843866,     0.01024183588,      0.3461608987
       -7.39565746,      -5.502549747,      -5.837358272,      -5.291784594,      -10.00101189,     0.01004579379,      0.3437272897
